var,year,source,value,unit
TREFHT,2015,cesm2,1.1217315702483217,K
TREFHT,2016,cesm2,1.1633331634677688,K
TREFHT,2017,cesm2,1.2743196243379438,K
TREFHT,2018,cesm2,1.2671260594978289,K
TREFHT,2019,cesm2,1.296435179363822,K
TREFHT,2020,cesm2,1.36303938984855,K
TREFHT,2021,cesm2,1.3862558558623221,K
TREFHT,2022,cesm2,1.453994598823424,K
TREFHT,2023,cesm2,1.5313445077760954,K
TREFHT,2024,cesm2,1.5655830748346329,K
TREFHT,2025,cesm2,1.6067648889614525,K
TREFHT,2026,cesm2,1.6266748348016482,K
TREFHT,2027,cesm2,1.6916281044029593,K
TREFHT,2028,cesm2,1.7378062480442147,K
TREFHT,2029,cesm2,1.749848539046002,K
TREFHT,2030,cesm2,1.8459844615963903,K
TREFHT,2031,cesm2,1.9024678024759107,K
TREFHT,2032,cesm2,2.0109300167007285,K
TREFHT,2033,cesm2,2.0444906363791957,K
TREFHT,2034,cesm2,1.990719627519472,K
TREFHT,2035,cesm2,2.1033260286748927,K
TREFHT,2036,cesm2,2.165031282913381,K
TREFHT,2037,cesm2,2.166558925882435,K
TREFHT,2038,cesm2,2.2313129423116678,K
TREFHT,2039,cesm2,2.295344603887009,K
TREFHT,2040,cesm2,2.352428237689743,K
TREFHT,2041,cesm2,2.374498031736768,K
TREFHT,2042,cesm2,2.4706105851670417,K
TREFHT,2043,cesm2,2.48906617827661,K
TREFHT,2044,cesm2,2.53251376213787,K
TREFHT,2045,cesm2,2.6332040306745887,K
TREFHT,2046,cesm2,2.66745452079386,K
TREFHT,2047,cesm2,2.7318418021319824,K
TREFHT,2048,cesm2,2.8168668484520865,K
TREFHT,2049,cesm2,2.805686345954573,K
TREFHT,2050,cesm2,2.922819108714747,K
TREFHT,2051,cesm2,2.9258814184697806,K
TREFHT,2052,cesm2,2.960161959764984,K
TREFHT,2053,cesm2,3.0315849830451542,K
TREFHT,2054,cesm2,3.106392712304835,K
TREFHT,2055,cesm2,3.173289415773488,K
TREFHT,2056,cesm2,3.198726505202136,K
TREFHT,2057,cesm2,3.2362588799094416,K
TREFHT,2058,cesm2,3.310712688410283,K
TREFHT,2059,cesm2,3.3786777649004933,K
TREFHT,2060,cesm2,3.4101827567215066,K
TREFHT,2061,cesm2,3.4430529139705954,K
TREFHT,2062,cesm2,3.433627687445336,K
TREFHT,2063,cesm2,3.587329420151223,K
TREFHT,2064,cesm2,3.666314577128689,K
TREFHT,2065,cesm2,3.712918027217513,K
TREFHT,2066,cesm2,3.7551864029095183,K
TREFHT,2067,cesm2,3.8314893922633013,K
TREFHT,2068,cesm2,3.8886607740898853,K
TREFHT,2069,cesm2,3.9368939811389567,K
TREFHT,2070,cesm2,3.9424926098066018,K
TREFHT,2071,cesm2,3.9940814819797574,K
TREFHT,2072,cesm2,4.032999311159498,K
TREFHT,2073,cesm2,4.1379465042683545,K
TREFHT,2074,cesm2,4.118292257831888,K
TREFHT,2075,cesm2,4.118586124725206,K
TREFHT,2076,cesm2,4.26098463771354,K
TREFHT,2077,cesm2,4.281184624235788,K
TREFHT,2078,cesm2,4.338545690856836,K
TREFHT,2079,cesm2,4.404648391978307,K
TREFHT,2015,cesm2_se,0.04617088221015893,K
TREFHT,2016,cesm2_se,0.04302638657971427,K
TREFHT,2017,cesm2_se,0.028168626970455628,K
TREFHT,2018,cesm2_se,0.032791688978658765,K
TREFHT,2019,cesm2_se,0.042993961347132785,K
TREFHT,2020,cesm2_se,0.023319866354002808,K
TREFHT,2021,cesm2_se,0.029823456778655878,K
TREFHT,2022,cesm2_se,0.04403559832993423,K
TREFHT,2023,cesm2_se,0.03945323772237275,K
TREFHT,2024,cesm2_se,0.037621607442791576,K
TREFHT,2025,cesm2_se,0.0487721723778435,K
TREFHT,2026,cesm2_se,0.04338812948918633,K
TREFHT,2027,cesm2_se,0.030739098294061015,K
TREFHT,2028,cesm2_se,0.04724535617652367,K
TREFHT,2029,cesm2_se,0.0449209671945944,K
TREFHT,2030,cesm2_se,0.03640354981688781,K
TREFHT,2031,cesm2_se,0.0495519685509312,K
TREFHT,2032,cesm2_se,0.040693753556196886,K
TREFHT,2033,cesm2_se,0.041482287253207184,K
TREFHT,2034,cesm2_se,0.04386459976557444,K
TREFHT,2035,cesm2_se,0.0484684501601137,K
TREFHT,2036,cesm2_se,0.05222811384917361,K
TREFHT,2037,cesm2_se,0.04755349091929455,K
TREFHT,2038,cesm2_se,0.04710824816494606,K
TREFHT,2039,cesm2_se,0.030236714668264296,K
TREFHT,2040,cesm2_se,0.039024282529761097,K
TREFHT,2041,cesm2_se,0.04228955794978477,K
TREFHT,2042,cesm2_se,0.04370436092688995,K
TREFHT,2043,cesm2_se,0.06427873328317267,K
TREFHT,2044,cesm2_se,0.049308062377999846,K
TREFHT,2045,cesm2_se,0.042363892098574385,K
TREFHT,2046,cesm2_se,0.032551174000861445,K
TREFHT,2047,cesm2_se,0.05060137457101871,K
TREFHT,2048,cesm2_se,0.04347080768376154,K
TREFHT,2049,cesm2_se,0.03451790017804064,K
TREFHT,2050,cesm2_se,0.03663878601986978,K
TREFHT,2051,cesm2_se,0.03472122804938085,K
TREFHT,2052,cesm2_se,0.03739350008992034,K
TREFHT,2053,cesm2_se,0.03732828322904805,K
TREFHT,2054,cesm2_se,0.028370732522467183,K
TREFHT,2055,cesm2_se,0.02876757575248001,K
TREFHT,2056,cesm2_se,0.031262340367545424,K
TREFHT,2057,cesm2_se,0.034072813596753876,K
TREFHT,2058,cesm2_se,0.016659756982631224,K
TREFHT,2059,cesm2_se,0.020994608923503914,K
TREFHT,2060,cesm2_se,0.04268401462639371,K
TREFHT,2061,cesm2_se,0.04066831153188817,K
TREFHT,2062,cesm2_se,0.030020517376013467,K
TREFHT,2063,cesm2_se,0.02768140009697739,K
TREFHT,2064,cesm2_se,0.03782414827289294,K
TREFHT,2065,cesm2_se,0.029519914136348926,K
TREFHT,2066,cesm2_se,0.03264586164969602,K
TREFHT,2067,cesm2_se,0.0446465032994533,K
TREFHT,2068,cesm2_se,0.043269436720258,K
TREFHT,2069,cesm2_se,0.046631267536177724,K
TREFHT,2070,cesm2_se,0.049115442232334224,K
TREFHT,2071,cesm2_se,0.042331606259277434,K
TREFHT,2072,cesm2_se,0.028654910264417188,K
TREFHT,2073,cesm2_se,0.03595931147924375,K
TREFHT,2074,cesm2_se,0.05623635908021178,K
TREFHT,2075,cesm2_se,0.04386637256182673,K
TREFHT,2076,cesm2_se,0.03818635447022187,K
TREFHT,2077,cesm2_se,0.03505226623974601,K
TREFHT,2078,cesm2_se,0.044987255897192276,K
TREFHT,2079,cesm2_se,0.040568193780218455,K
TREFHT,2015,emulator,1.169744088588609,K
TREFHT,2016,emulator,1.251996764865645,K
TREFHT,2017,emulator,1.329879042443737,K
TREFHT,2018,emulator,1.3140454982470342,K
TREFHT,2019,emulator,1.4120747195500332,K
TREFHT,2020,emulator,1.5271969578942486,K
TREFHT,2021,emulator,1.497595824278556,K
TREFHT,2022,emulator,1.5843655720389216,K
TREFHT,2023,emulator,1.5908697555915758,K
TREFHT,2024,emulator,1.719377477100316,K
TREFHT,2025,emulator,1.6888012224056472,K
TREFHT,2026,emulator,1.7631102730010546,K
TREFHT,2027,emulator,1.8177021076258393,K
TREFHT,2028,emulator,1.9332054616588017,K
TREFHT,2029,emulator,1.913534727697256,K
TREFHT,2030,emulator,2.0104595616840335,K
TREFHT,2031,emulator,1.9881012116661574,K
TREFHT,2032,emulator,2.0635320218316373,K
TREFHT,2033,emulator,2.132834751217494,K
TREFHT,2034,emulator,2.163254039221514,K
TREFHT,2035,emulator,2.1893733707736054,K
TREFHT,2036,emulator,2.279049255773979,K
TREFHT,2037,emulator,2.3290569935867027,K
TREFHT,2038,emulator,2.3139607710710353,K
TREFHT,2039,emulator,2.3959954302314554,K
TREFHT,2040,emulator,2.40871345350218,K
TREFHT,2041,emulator,2.460138840545797,K
TREFHT,2042,emulator,2.46611615137673,K
TREFHT,2043,emulator,2.557032941579836,K
TREFHT,2044,emulator,2.5759470823757376,K
TREFHT,2045,emulator,2.6018123525569363,K
TREFHT,2046,emulator,2.7035199694925427,K
TREFHT,2047,emulator,2.7292596861065848,K
TREFHT,2048,emulator,2.7316716163126866,K
TREFHT,2049,emulator,2.7868586110278635,K
TREFHT,2050,emulator,2.778004951004763,K
TREFHT,2051,emulator,2.8681149435666735,K
TREFHT,2052,emulator,2.901666719234578,K
TREFHT,2053,emulator,2.8891707888293228,K
TREFHT,2054,emulator,2.9273046666747304,K
TREFHT,2055,emulator,2.9725541968462323,K
TREFHT,2056,emulator,3.028234205468907,K
TREFHT,2057,emulator,3.0352743066692742,K
TREFHT,2058,emulator,3.10500875082787,K
TREFHT,2059,emulator,3.119271302183222,K
TREFHT,2060,emulator,3.1036208423042537,K
TREFHT,2061,emulator,3.1575773588308387,K
TREFHT,2062,emulator,3.2312861226415874,K
TREFHT,2063,emulator,3.267462638876282,K
TREFHT,2064,emulator,3.3160060270742147,K
TREFHT,2065,emulator,3.3287226036212534,K
TREFHT,2066,emulator,3.3265764437273724,K
TREFHT,2067,emulator,3.3997949244805117,K
TREFHT,2068,emulator,3.469396664571878,K
TREFHT,2069,emulator,3.4713728673427693,K
TREFHT,2070,emulator,3.5302180524006816,K
TREFHT,2071,emulator,3.5515664052029705,K
TREFHT,2072,emulator,3.5588990370995672,K
TREFHT,2073,emulator,3.6655205887198394,K
TREFHT,2074,emulator,3.6771877580846426,K
TREFHT,2075,emulator,3.71548272682149,K
TREFHT,2076,emulator,3.748941636503039,K
TREFHT,2077,emulator,3.807269575739689,K
TREFHT,2078,emulator,3.891130151265122,K
TREFHT,2079,emulator,3.937064750289011,K
TREFHT,2015,emulator_se,0.029325137543128328,K
TREFHT,2016,emulator_se,0.03648122128608193,K
TREFHT,2017,emulator_se,0.02547245150526753,K
TREFHT,2018,emulator_se,0.03163244886910129,K
TREFHT,2019,emulator_se,0.03122741315767067,K
TREFHT,2020,emulator_se,0.028489691802854406,K
TREFHT,2021,emulator_se,0.029185835795226066,K
TREFHT,2022,emulator_se,0.026872090222881277,K
TREFHT,2023,emulator_se,0.03131873136389189,K
TREFHT,2024,emulator_se,0.028948319369642584,K
TREFHT,2025,emulator_se,0.026247327759545573,K
TREFHT,2026,emulator_se,0.024193519482239488,K
TREFHT,2027,emulator_se,0.029577509597028297,K
TREFHT,2028,emulator_se,0.028715119457025103,K
TREFHT,2029,emulator_se,0.02517291275694522,K
TREFHT,2030,emulator_se,0.03132207869706828,K
TREFHT,2031,emulator_se,0.024297242734161697,K
TREFHT,2032,emulator_se,0.03601261613415278,K
TREFHT,2033,emulator_se,0.0264634100106081,K
TREFHT,2034,emulator_se,0.029306839467249223,K
TREFHT,2035,emulator_se,0.02565734820870026,K
TREFHT,2036,emulator_se,0.0288741606846702,K
TREFHT,2037,emulator_se,0.030463335098833005,K
TREFHT,2038,emulator_se,0.030505715532313786,K
TREFHT,2039,emulator_se,0.030380938438338327,K
TREFHT,2040,emulator_se,0.03099995268905769,K
TREFHT,2041,emulator_se,0.03577366506199686,K
TREFHT,2042,emulator_se,0.0343004849783573,K
TREFHT,2043,emulator_se,0.023701724113264502,K
TREFHT,2044,emulator_se,0.02846985281303201,K
TREFHT,2045,emulator_se,0.028075635294985808,K
TREFHT,2046,emulator_se,0.027953651711779347,K
TREFHT,2047,emulator_se,0.028919702577173634,K
TREFHT,2048,emulator_se,0.03062818071868691,K
TREFHT,2049,emulator_se,0.030244778318074046,K
TREFHT,2050,emulator_se,0.028093918218930546,K
TREFHT,2051,emulator_se,0.021701926036563415,K
TREFHT,2052,emulator_se,0.027439496420579086,K
TREFHT,2053,emulator_se,0.02742155509514288,K
TREFHT,2054,emulator_se,0.02894470122267707,K
TREFHT,2055,emulator_se,0.022446028776887585,K
TREFHT,2056,emulator_se,0.02224234179325376,K
TREFHT,2057,emulator_se,0.028841668369496205,K
TREFHT,2058,emulator_se,0.025211850302513057,K
TREFHT,2059,emulator_se,0.026661201756071073,K
TREFHT,2060,emulator_se,0.031695383201958076,K
TREFHT,2061,emulator_se,0.0246715891499047,K
TREFHT,2062,emulator_se,0.02289322182725138,K
TREFHT,2063,emulator_se,0.028081555265058955,K
TREFHT,2064,emulator_se,0.02648457961182015,K
TREFHT,2065,emulator_se,0.030558716550297627,K
TREFHT,2066,emulator_se,0.02360830357683573,K
TREFHT,2067,emulator_se,0.030306299324547887,K
TREFHT,2068,emulator_se,0.024654204782382567,K
TREFHT,2069,emulator_se,0.034439626984460625,K
TREFHT,2070,emulator_se,0.019120950401592843,K
TREFHT,2071,emulator_se,0.023219577737618593,K
TREFHT,2072,emulator_se,0.02668098102246163,K
TREFHT,2073,emulator_se,0.027102111891034814,K
TREFHT,2074,emulator_se,0.01822063100459837,K
TREFHT,2075,emulator_se,0.02477140488641816,K
TREFHT,2076,emulator_se,0.02597860616679944,K
TREFHT,2077,emulator_se,0.029805352332973063,K
TREFHT,2078,emulator_se,0.023899356025957587,K
TREFHT,2079,emulator_se,0.024220919548207858,K
PRECT,2015,cesm2,0.38517360097418407,%
PRECT,2016,cesm2,0.3411508619868783,%
PRECT,2017,cesm2,0.612687033131666,%
PRECT,2018,cesm2,0.7019043061145689,%
PRECT,2019,cesm2,0.6804277117485579,%
PRECT,2020,cesm2,0.8847518501002771,%
PRECT,2021,cesm2,1.1121900471417003,%
PRECT,2022,cesm2,1.1797232657608234,%
PRECT,2023,cesm2,1.4109125671616272,%
PRECT,2024,cesm2,1.3408458264234073,%
PRECT,2025,cesm2,1.7595221718380323,%
PRECT,2026,cesm2,1.678693157337753,%
PRECT,2027,cesm2,1.8275448393580132,%
PRECT,2028,cesm2,2.037023965658976,%
PRECT,2029,cesm2,1.9063510834110502,%
PRECT,2030,cesm2,2.0302778933071894,%
PRECT,2031,cesm2,2.329490451877841,%
PRECT,2032,cesm2,2.5779514431436437,%
PRECT,2033,cesm2,2.6882803981348324,%
PRECT,2034,cesm2,2.3958761057277593,%
PRECT,2035,cesm2,2.6477074450425477,%
PRECT,2036,cesm2,3.014095643153559,%
PRECT,2037,cesm2,2.680658136377251,%
PRECT,2038,cesm2,2.950598761282178,%
PRECT,2039,cesm2,2.95860571805942,%
PRECT,2040,cesm2,3.175418662104957,%
PRECT,2041,cesm2,3.0256707743146496,%
PRECT,2042,cesm2,3.536370321274633,%
PRECT,2043,cesm2,3.4276884274638584,%
PRECT,2044,cesm2,3.3862210045002654,%
PRECT,2045,cesm2,3.680820372046253,%
PRECT,2046,cesm2,3.832748721370561,%
PRECT,2047,cesm2,3.6496707625283604,%
PRECT,2048,cesm2,4.278803858528707,%
PRECT,2049,cesm2,3.820173811561358,%
PRECT,2050,cesm2,4.155080766633948,%
PRECT,2051,cesm2,4.33142965767904,%
PRECT,2052,cesm2,4.149297267443052,%
PRECT,2053,cesm2,4.459998023373025,%
PRECT,2054,cesm2,4.659284864289111,%
PRECT,2055,cesm2,4.791847879677123,%
PRECT,2056,cesm2,4.808580829770879,%
PRECT,2057,cesm2,4.72926634247139,%
PRECT,2058,cesm2,4.920022093376994,%
PRECT,2059,cesm2,5.157193717752261,%
PRECT,2060,cesm2,5.153747538940322,%
PRECT,2061,cesm2,5.237829055435073,%
PRECT,2062,cesm2,4.968553318459028,%
PRECT,2063,cesm2,5.428920067334417,%
PRECT,2064,cesm2,5.4439011500319685,%
PRECT,2065,cesm2,5.7391177820991945,%
PRECT,2066,cesm2,5.77456529818832,%
PRECT,2067,cesm2,5.8255316469972405,%
PRECT,2068,cesm2,5.9388382073046,%
PRECT,2069,cesm2,6.162421339343604,%
PRECT,2070,cesm2,6.098680584521924,%
PRECT,2071,cesm2,5.940748184570068,%
PRECT,2072,cesm2,6.213652816439157,%
PRECT,2073,cesm2,6.551704697888583,%
PRECT,2074,cesm2,6.552351414764837,%
PRECT,2075,cesm2,6.034460340872513,%
PRECT,2076,cesm2,6.516273853618399,%
PRECT,2077,cesm2,6.705054391939347,%
PRECT,2078,cesm2,6.5155736996552776,%
PRECT,2079,cesm2,6.807345558618468,%
PRECT,2015,cesm2_se,0.15550126486498703,%
PRECT,2016,cesm2_se,0.14021489223126776,%
PRECT,2017,cesm2_se,0.12159754578352935,%
PRECT,2018,cesm2_se,0.11532028502279416,%
PRECT,2019,cesm2_se,0.17097221173194227,%
PRECT,2020,cesm2_se,0.11270551387679524,%
PRECT,2021,cesm2_se,0.1682935034953271,%
PRECT,2022,cesm2_se,0.21212411510527837,%
PRECT,2023,cesm2_se,0.13707638492251153,%
PRECT,2024,cesm2_se,0.15362245475927674,%
PRECT,2025,cesm2_se,0.20048519416435426,%
PRECT,2026,cesm2_se,0.24249435382197163,%
PRECT,2027,cesm2_se,0.1601381189712729,%
PRECT,2028,cesm2_se,0.17894190560761483,%
PRECT,2029,cesm2_se,0.18742126920668103,%
