var,year,source,value,unit
TREFHT,2015,cesm2,-0.039428923980205255,K
TREFHT,2016,cesm2,-0.05039778548145435,K
TREFHT,2017,cesm2,0.03639023930630003,K
TREFHT,2018,cesm2,0.03185518427759426,K
TREFHT,2019,cesm2,0.03192607451059715,K
TREFHT,2020,cesm2,0.03520626965168461,K
TREFHT,2021,cesm2,0.12038186281497687,K
TREFHT,2022,cesm2,0.22342061626172338,K
TREFHT,2023,cesm2,0.2540230924614413,K
TREFHT,2024,cesm2,0.18413161874054573,K
TREFHT,2025,cesm2,0.19752830290165413,K
TREFHT,2026,cesm2,0.21916388486391547,K
TREFHT,2027,cesm2,0.30016314633891383,K
TREFHT,2028,cesm2,0.2738492813305573,K
TREFHT,2029,cesm2,0.26449714285532444,K
TREFHT,2030,cesm2,0.32116213173213204,K
TREFHT,2031,cesm2,0.3099265499957635,K
TREFHT,2032,cesm2,0.3474109340248237,K
TREFHT,2033,cesm2,0.37558571379097927,K
TREFHT,2034,cesm2,0.22390686752111222,K
TREFHT,2035,cesm2,0.24839027805548497,K
TREFHT,2036,cesm2,0.3433162926550466,K
TREFHT,2037,cesm2,0.32314051632032204,K
TREFHT,2038,cesm2,0.3275811616404205,K
TREFHT,2039,cesm2,0.3560085829658952,K
TREFHT,2040,cesm2,0.40166468753204043,K
TREFHT,2041,cesm2,0.3801601790562614,K
TREFHT,2042,cesm2,0.44712583062120714,K
TREFHT,2043,cesm2,0.42747219750917864,K
TREFHT,2044,cesm2,0.46914109421713945,K
TREFHT,2045,cesm2,0.5361514000000263,K
TREFHT,2046,cesm2,0.4254840346387816,K
TREFHT,2047,cesm2,0.48759122165284907,K
TREFHT,2048,cesm2,0.5533785356436418,K
TREFHT,2049,cesm2,0.5020074410651176,K
TREFHT,2050,cesm2,0.5638020004684421,K
TREFHT,2051,cesm2,0.5762846097498731,K
TREFHT,2052,cesm2,0.626788148899859,K
TREFHT,2053,cesm2,0.6050893718799237,K
TREFHT,2054,cesm2,0.5775958503234762,K
TREFHT,2055,cesm2,0.6185245309610856,K
TREFHT,2056,cesm2,0.5923912165621061,K
TREFHT,2057,cesm2,0.5703952714263636,K
TREFHT,2058,cesm2,0.659077284111298,K
TREFHT,2059,cesm2,0.6989016654751055,K
TREFHT,2060,cesm2,0.5966976028411644,K
TREFHT,2061,cesm2,0.6179602397171955,K
TREFHT,2062,cesm2,0.6940794743292074,K
TREFHT,2063,cesm2,0.7373959774342538,K
