year,source,value
2015,cesm2,-0.039428923980210584
2016,cesm2,-0.05039778548155027
2017,cesm2,0.03639023930628582
2018,cesm2,0.031855184277617354
2019,cesm2,0.031926074510636226
2020,cesm2,0.03520626965161
2021,cesm2,0.120381862814952
2022,cesm2,0.22342061626176246
2023,cesm2,0.254023092461523
2024,cesm2,0.1841316187405937
2025,cesm2,0.19752830290167367
2026,cesm2,0.2191638848639741
2027,cesm2,0.30016314633900265
2028,cesm2,0.2738492813305129
2029,cesm2,0.2644971428553049
2030,cesm2,0.32116213173213737
2031,cesm2,0.3099265499957937
2032,cesm2,0.3474109340248219
2033,cesm2,0.37558571379099703
2034,cesm2,0.22390686752112288
2035,cesm2,0.24839027805552405
2036,cesm2,0.3433162926550608
2037,cesm2,0.3231405163202794
2038,cesm2,0.3275811616404667
2039,cesm2,0.3560085829659556
2040,cesm2,0.40166468753204754
2041,cesm2,0.3801601790562472
2042,cesm2,0.4471258306212462
2043,cesm2,0.4274721975091893
2044,cesm2,0.46914109421709327
2045,cesm2,0.5361514000000511
2046,cesm2,0.4254840346388846
2047,cesm2,0.48759122165279223
2048,cesm2,0.5533785356436738
2049,cesm2,0.5020074410651318
2050,cesm2,0.5638020004684563
2051,cesm2,0.5762846097499619
2052,cesm2,0.626788148899891
2053,cesm2,0.6050893718799557
2054,cesm2,0.5775958503235188
2055,cesm2,0.6185245309610536
2056,cesm2,0.5923912165621914
2057,cesm2,0.570395271426321
2058,cesm2,0.6590772841112198
2059,cesm2,0.6989016654750912
2060,cesm2,0.596697602841175
2061,cesm2,0.6179602397172062
2062,cesm2,0.6940794743292713
2063,cesm2,0.7373959774342893
2064,cesm2,0.7524304095676939
2065,cesm2,0.7826390431728214
2066,cesm2,0.7426233258463526
2067,cesm2,0.7507284920170605
2068,cesm2,0.7650048694072211
2069,cesm2,0.7819038245432921
2070,cesm2,0.7743839026728665
2071,cesm2,0.7593423811306366
2072,cesm2,0.8012221890460296
2073,cesm2,0.8535530880615738
2074,cesm2,0.7504083770745638
2075,cesm2,0.7297143367779881
2076,cesm2,0.8147324685534727
2077,cesm2,0.80969373272967
2078,cesm2,0.7960866220066123
2079,cesm2,0.7563315964540607
2015,emulator,0.00045556054798367995
2016,emulator,0.025477734334025115
2017,emulator,0.054351487115663843
2018,emulator,0.0881707682992321
2019,emulator,0.12891471820285183
2020,emulator,0.18158773983045862
2021,emulator,0.20773998142765748
2022,emulator,0.2194557402790469
2023,emulator,0.22934836946060067
2024,emulator,0.24816799743450701
2025,emulator,0.2736872552912395
2026,emulator,0.28757627648138673
2027,emulator,0.31109852006747474
2028,emulator,0.3222414024366955
2029,emulator,0.35001360425434846
2030,emulator,0.35550341669376806
2031,emulator,0.36314741908327797
2032,emulator,0.38028791274012796
2033,emulator,0.37431739197450753
2034,emulator,0.37485698960013103
2035,emulator,0.390597356754105
2036,emulator,0.4039757525779528
2037,emulator,0.39579052441492557
2038,emulator,0.39998362087561823
2039,emulator,0.391809674214219
2040,emulator,0.4061701189593414
2041,emulator,0.4220021864898058
2042,emulator,0.41417108236302624
2043,emulator,0.40318476894202604
2044,emulator,0.4290609559722611
2045,emulator,0.42634322643408495
2046,emulator,0.4252081344888694
2047,emulator,0.4267122396406684
2048,emulator,0.44152314968308914
2049,emulator,0.43678304530505585
2050,emulator,0.447998591069652
2051,emulator,0.4351094929875252
2052,emulator,0.4318202510660889
2053,emulator,0.4253496982310061
2054,emulator,0.42376460989227027
2055,emulator,0.40997172805002435
2056,emulator,0.40153376568294874
2057,emulator,0.41014632325340017
2058,emulator,0.39160736651052375
2059,emulator,0.3954967900763009
2060,emulator,0.3782934765653323
2061,emulator,0.3758956963610913
2062,emulator,0.3583213760253585
2063,emulator,0.349633375826766
2064,emulator,0.3433042622055069
2065,emulator,0.3351641070127833
2066,emulator,0.3288481191150119
