scenario,source,value,unit
ssp126,emulator,3.5050092094225533,%
ssp126,emulator,3.6049347080050658,%
ssp126,emulator,3.5124798712737078,%
ssp126,emulator,1.1706906692931949,%
ssp126,emulator,2.513392590258085,%
ssp126,emulator,1.5766453497839135,%
ssp126,emulator,2.87622178896479,%
ssp126,emulator,3.0270825010128877,%
ssp126,emulator,1.859168416785942,%
ssp126,emulator,3.492033900766349,%
ssp126,emulator,3.031330039386638,%
ssp126,emulator,2.603227693921557,%
ssp126,emulator,4.066169204310274,%
ssp126,emulator,3.391260177748317,%
ssp126,emulator,3.553869913421263,%
ssp126,emulator,2.4053861402693877,%
ssp126,emulator,3.963611345026417,%
ssp126,emulator,2.4435032997618076,%
ssp126,emulator,3.073371539160407,%
ssp126,emulator,1.7797394660623167,%
ssp126,emulator,4.457726334189083,%
ssp126,emulator,3.9460140589482187,%
ssp126,emulator,2.774282805304187,%
ssp126,emulator,1.9740641388406366,%
ssp126,emulator,1.8822451144949086,%
ssp126,emulator,3.030086446559949,%
ssp126,emulator,3.229768483492432,%
ssp126,emulator,3.503855608387657,%
ssp126,emulator,2.374965999920142,%
ssp126,emulator,2.3831755307531526,%
ssp126,emulator,3.1800240377077924,%
ssp126,emulator,3.5348751815720476,%
ssp126,emulator,2.3690518093308643,%
ssp126,emulator,2.9793162357456344,%
ssp126,emulator,3.2499756146742045,%
ssp126,emulator,3.0831918932562092,%
ssp126,emulator,3.9197578361989636,%
ssp126,emulator,3.0886121827874575,%
ssp126,emulator,1.8383433715187751,%
ssp126,emulator,3.7033199082160597,%
ssp126,emulator,2.418038413542609,%
ssp126,emulator,2.713549968882079,%
ssp126,emulator,3.6089972230307876,%
ssp126,emulator,2.847999765051381,%
ssp126,emulator,4.089145124379796,%
ssp126,emulator,2.676731759568066,%
ssp126,emulator,2.534326010976985,%
ssp126,emulator,2.56003340095785,%
ssp126,emulator,2.968671980166742,%
ssp126,emulator,3.069921325964644,%
ssp126,emulator,4.171010235598971,%
ssp126,emulator,2.6758034840239335,%
ssp126,emulator,3.526693865638334,%
ssp126,emulator,3.1417493605851017,%
ssp126,emulator,2.6282023965468806,%
ssp126,emulator,2.7454156694676524,%
ssp126,emulator,3.4075396484340748,%
ssp126,emulator,2.180087345043319,%
ssp126,emulator,2.4749695956345095,%
ssp126,emulator,3.0798715792725373,%
ssp126,emulator,2.948481971468822,%
ssp126,emulator,3.621557692368719,%
ssp126,emulator,2.8757642513275274,%
ssp126,emulator,1.9525984986953313,%
ssp126,emulator,2.495455581005986,%
ssp126,emulator,2.900023567267883,%
ssp126,emulator,2.695507331570584,%
ssp126,emulator,3.1451515068642233,%
ssp126,emulator,1.9989869332859496,%
ssp126,emulator,4.1280044950913535,%
ssp126,emulator,2.8506423676071115,%
ssp126,emulator,3.613043097309768,%
ssp126,emulator,2.587555332013236,%
ssp126,emulator,2.585992297912397,%
ssp126,emulator,2.4126790419230026,%
ssp126,emulator,2.642727998893654,%
ssp126,emulator,3.527834113720541,%
ssp126,emulator,3.74272682499426,%
ssp126,emulator,3.3312587803217233,%
ssp126,emulator,2.60359466290382,%
ssp126,emulator,2.0696688558506753,%
ssp126,emulator,2.270384491330846,%
ssp126,emulator,3.932337198907818,%
ssp126,emulator,2.5522748239685056,%
ssp126,emulator,3.0361700824621263,%
ssp126,emulator,2.8779177956195565,%
ssp126,emulator,2.7138327599902463,%
ssp126,emulator,2.003957704639927,%
ssp126,emulator,3.596615114840495,%
ssp126,emulator,3.452882830016762,%
ssp126,emulator,3.479045080789605,%
ssp126,emulator,3.226726545054159,%
ssp126,emulator,3.201151746474266,%
ssp126,emulator,2.7816966836081067,%
ssp126,emulator,2.0170618804540927,%
ssp126,emulator,2.6424780976326376,%
ssp126,emulator,3.5405739312177773,%
ssp126,emulator,2.3333880158850375,%
ssp126,emulator,2.124394280601874,%
ssp126,emulator,2.337715303907031,%
ssp126,emulator,2.328762464311672,%
ssp126,emulator,2.4866951031017543,%
ssp126,emulator,3.207423144377855,%
ssp126,emulator,3.550340200194827,%
ssp126,emulator,3.7140945187184786,%
ssp126,emulator,3.8313816273106753,%
ssp126,emulator,3.8720197239783465,%
ssp126,emulator,3.007892736791138,%
ssp126,emulator,2.374849735281154,%
ssp126,emulator,3.902636531378603,%
ssp126,emulator,2.1031427210856446,%
ssp126,emulator,3.806425634202079,%
ssp126,emulator,1.649336404300805,%
ssp126,emulator,2.6295220679577516,%
ssp126,emulator,2.2848074120286763,%
ssp126,emulator,2.6267386366652885,%
ssp126,emulator,2.466785830099162,%
ssp126,emulator,3.668689440999526,%
ssp126,emulator,2.017732483928246,%
ssp126,emulator,2.802041758591559,%
ssp126,emulator,4.051634727483574,%
ssp126,emulator,3.5755779440192454,%
ssp126,emulator,3.40900863652474,%
ssp126,emulator,1.208449343141654,%
ssp126,emulator,2.9224649831588296,%
ssp126,emulator,2.992348581071399,%
ssp126,emulator,2.144765213110203,%
ssp126,emulator,2.8652141210845095,%
ssp126,emulator,2.7557076447690854,%
ssp126,emulator,2.9317588368998715,%
ssp126,emulator,2.773410410480062,%
ssp126,emulator,3.0938018933206846,%
ssp126,emulator,2.6608204284453687,%
ssp126,emulator,2.920894157371948,%
ssp126,emulator,2.833736248779357,%
ssp126,emulator,2.5705151567127964,%
ssp126,emulator,2.8787884961557544,%
ssp126,emulator,2.1226090438914613,%
ssp126,emulator,2.7818751560801753,%
ssp126,emulator,2.9726997003192794,%
ssp126,emulator,3.1517006943827988,%
ssp126,emulator,3.1626451297621863,%
ssp126,emulator,2.537052383579225,%
ssp126,emulator,2.4188247013640574,%
ssp126,emulator,2.3263299078288835,%
ssp126,emulator,2.178133260392999,%
ssp126,emulator,2.1148148283913732,%
ssp126,emulator,3.3322126392534783,%
ssp126,emulator,2.7128797380678127,%
ssp126,emulator,3.4311729960398623,%
ssp126,emulator,2.002309948208151,%
ssp126,emulator,3.4406959622707114,%
ssp126,emulator,3.9096657608746472,%
ssp126,emulator,2.427921040772471,%
ssp126,emulator,2.7409089924229213,%
ssp126,emulator,2.8428954633656414,%
ssp126,emulator,2.5741507321302746,%
ssp126,emulator,3.152733001954514,%
ssp126,emulator,2.7997402262175015,%
ssp126,emulator,2.8350178023715698,%
ssp126,emulator,3.385086843009002,%
ssp126,emulator,3.1254900604230214,%
ssp126,emulator,2.71113398809472,%
ssp126,emulator,3.0957849195635303,%
ssp126,emulator,2.5204486690253853,%
ssp126,emulator,3.0321733306919785,%
ssp126,emulator,3.120789390029582,%
ssp126,emulator,4.781539800961217,%
ssp126,emulator,3.0178600724560654,%
ssp126,emulator,1.9753628952350823,%
ssp126,emulator,3.545762858327437,%
ssp126,emulator,2.7813896822962167,%
ssp126,emulator,3.551122263558288,%
ssp126,emulator,1.5182750933591302,%
ssp126,emulator,3.899076315426469,%
ssp126,emulator,2.196495962703855,%
ssp126,emulator,2.96968169718932,%
ssp126,emulator,2.0672712442954517,%
ssp126,emulator,3.0670991810180612,%
ssp126,emulator,2.595613806136917,%
ssp126,emulator,2.5549743074412463,%
ssp126,emulator,3.651344617500932,%
ssp126,emulator,2.8932523002812673,%
ssp126,emulator,3.27343731390624,%
ssp126,emulator,3.0151316593526367,%
ssp126,emulator,3.5601265000494897,%
ssp126,emulator,3.8016480316006183,%
ssp126,emulator,3.1687226531707924,%
ssp126,emulator,2.473841974268518,%
ssp126,emulator,3.6095125420185044,%
ssp126,emulator,1.601279143153973,%
ssp126,emulator,3.0926077094189317,%
