scenario,source,value,unit
ssp126,emulator,2.320950978747886,degC
ssp126,emulator,2.351579390330402,degC
ssp126,emulator,2.1379972652176225,degC
ssp126,emulator,2.1512453752599487,degC
ssp126,emulator,2.162202320551968,degC
ssp126,emulator,2.2329170649720087,degC
ssp126,emulator,1.8995345015505087,degC
ssp126,emulator,2.1926603303861345,degC
ssp126,emulator,2.0692032989149016,degC
ssp126,emulator,2.2769825665921264,degC
ssp126,emulator,1.8801447348225846,degC
ssp126,emulator,2.094705180544734,degC
ssp126,emulator,2.010524894162666,degC
ssp126,emulator,2.424216407756882,degC
ssp126,emulator,2.1704052959346622,degC
ssp126,emulator,2.236583585229644,degC
ssp126,emulator,2.1192359591174625,degC
ssp126,emulator,2.2361537419880495,degC
ssp126,emulator,2.261587655039575,degC
ssp126,emulator,2.0802038976822974,degC
ssp126,emulator,2.2720620632945536,degC
ssp126,emulator,2.2265826520797365,degC
ssp126,emulator,2.1249043733324786,degC
ssp126,emulator,2.1641873162025806,degC
ssp126,emulator,2.0026890880910013,degC
ssp126,emulator,2.1178136374627936,degC
ssp126,emulator,2.11201175672298,degC
ssp126,emulator,2.211799105976274,degC
ssp126,emulator,2.1626324316516357,degC
ssp126,emulator,1.8289409816361069,degC
ssp126,emulator,2.1219070602041494,degC
ssp126,emulator,2.098449272445217,degC
ssp126,emulator,1.8400546866689176,degC
ssp126,emulator,2.41877571937062,degC
ssp126,emulator,2.3413673331672253,degC
ssp126,emulator,2.096982186774449,degC
ssp126,emulator,2.60151452018024,degC
ssp126,emulator,2.3378449898431395,degC
ssp126,emulator,1.9291704089388588,degC
ssp126,emulator,2.202487405647121,degC
ssp126,emulator,1.987614964486232,degC
ssp126,emulator,2.1680890940385016,degC
ssp126,emulator,2.360996334805561,degC
ssp126,emulator,1.9999274716761182,degC
ssp126,emulator,2.2038497175945846,degC
ssp126,emulator,1.9636379617166444,degC
ssp126,emulator,2.381518103942698,degC
ssp126,emulator,2.2714481871294137,degC
ssp126,emulator,2.086929597336491,degC
ssp126,emulator,2.034164283028433,degC
ssp126,emulator,2.407908570989788,degC
ssp126,emulator,2.162491934207649,degC
ssp126,emulator,2.3255977273376214,degC
ssp126,emulator,2.2449562412925115,degC
ssp126,emulator,1.9460494749864736,degC
ssp126,emulator,2.1514088201849564,degC
ssp126,emulator,1.986313722014641,degC
ssp126,emulator,1.932531541986874,degC
ssp126,emulator,1.9301846874497866,degC
ssp126,emulator,2.2671997504838135,degC
ssp126,emulator,2.1210194937186575,degC
ssp126,emulator,2.3953216762745395,degC
ssp126,emulator,2.2211273234737074,degC
ssp126,emulator,2.1940630277754014,degC
ssp126,emulator,2.1456631355302793,degC
ssp126,emulator,2.234621884141747,degC
ssp126,emulator,2.05862507885662,degC
ssp126,emulator,1.9471782442735837,degC
ssp126,emulator,1.9768527264321012,degC
ssp126,emulator,2.012307873049254,degC
ssp126,emulator,2.392539724054343,degC
ssp126,emulator,2.329750518949643,degC
ssp126,emulator,1.8407064886495395,degC
ssp126,emulator,1.9686968937722558,degC
ssp126,emulator,2.00731020216797,degC
ssp126,emulator,2.4521339508289355,degC
ssp126,emulator,2.3598974085970337,degC
ssp126,emulator,2.4473433686700634,degC
ssp126,emulator,2.2864785974113513,degC
ssp126,emulator,2.14430112980442,degC
ssp126,emulator,2.2014565959828527,degC
ssp126,emulator,2.3090376196078513,degC
ssp126,emulator,2.385444630827477,degC
ssp126,emulator,2.14037898035439,degC
ssp126,emulator,2.1226648053754733,degC
ssp126,emulator,2.2325956992595035,degC
ssp126,emulator,2.041764830721105,degC
ssp126,emulator,2.1270251466271493,degC
ssp126,emulator,2.255446422068852,degC
ssp126,emulator,2.170792089991364,degC
ssp126,emulator,2.209804040906393,degC
ssp126,emulator,2.288969395926257,degC
ssp126,emulator,2.3480992982706947,degC
ssp126,emulator,2.0814430629906955,degC
ssp126,emulator,1.987282347657919,degC
ssp126,emulator,1.8794074188859504,degC
ssp126,emulator,1.9578173931589102,degC
ssp126,emulator,2.071284927450998,degC
ssp126,emulator,1.8068243428260242,degC
ssp126,emulator,1.8505137890761798,degC
ssp126,emulator,1.7620895752865948,degC
ssp126,emulator,2.101240766882361,degC
ssp126,emulator,2.1839829778665507,degC
ssp126,emulator,2.158117611636124,degC
ssp126,emulator,2.4251158352849256,degC
ssp126,emulator,2.2466923291905037,degC
ssp126,emulator,2.180482591118187,degC
ssp126,emulator,2.077952628686356,degC
ssp126,emulator,2.0040422776464215,degC
ssp126,emulator,2.225647892632848,degC
ssp126,emulator,2.1715686799897487,degC
ssp126,emulator,2.506592193706359,degC
ssp126,emulator,1.9604932069967145,degC
ssp126,emulator,2.286902297713505,degC
ssp126,emulator,2.1459099694556034,degC
ssp126,emulator,2.1860576533557445,degC
ssp126,emulator,2.054677164610437,degC
ssp126,emulator,2.270934481309853,degC
ssp126,emulator,1.9304205155446326,degC
ssp126,emulator,2.1583206952675607,degC
ssp126,emulator,2.238984019549351,degC
ssp126,emulator,2.2070936646457593,degC
ssp126,emulator,2.2961725157353623,degC
ssp126,emulator,2.280917411585735,degC
ssp126,emulator,2.1927828958006703,degC
ssp126,emulator,2.0965783193104084,degC
ssp126,emulator,2.2122342088941824,degC
ssp126,emulator,2.228087460242561,degC
ssp126,emulator,2.029128563679949,degC
ssp126,emulator,2.165296944576136,degC
ssp126,emulator,2.263799993575292,degC
ssp126,emulator,2.1256533658758645,degC
ssp126,emulator,2.008667989552526,degC
ssp126,emulator,2.1829308619920145,degC
