scenario,year,source,member,value,unit
ssp126,2015,cesm2,r10i1p1f1,1.1247402613039401,%
ssp126,2016,cesm2,r10i1p1f1,0.5420648634155928,%
ssp126,2017,cesm2,r10i1p1f1,0.8295823869627363,%
ssp126,2018,cesm2,r10i1p1f1,0.7918158614644619,%
ssp126,2019,cesm2,r10i1p1f1,0.6844568883241556,%
ssp126,2020,cesm2,r10i1p1f1,0.5895489033566443,%
ssp126,2021,cesm2,r10i1p1f1,0.054182832422063315,%
ssp126,2022,cesm2,r10i1p1f1,1.287817048027696,%
ssp126,2023,cesm2,r10i1p1f1,1.252546629666548,%
ssp126,2024,cesm2,r10i1p1f1,0.7451786743927233,%
ssp126,2025,cesm2,r10i1p1f1,1.7644462330800201,%
ssp126,2026,cesm2,r10i1p1f1,2.344494700756379,%
ssp126,2027,cesm2,r10i1p1f1,1.2074108027791775,%
ssp126,2028,cesm2,r10i1p1f1,2.030779393252074,%
ssp126,2029,cesm2,r10i1p1f1,1.5642907018159893,%
ssp126,2030,cesm2,r10i1p1f1,1.8983431131240325,%
ssp126,2031,cesm2,r10i1p1f1,2.6002770057187434,%
ssp126,2032,cesm2,r10i1p1f1,1.432891911064908,%
ssp126,2033,cesm2,r10i1p1f1,1.9821072894977831,%
ssp126,2034,cesm2,r10i1p1f1,2.4775122670823917,%
ssp126,2035,cesm2,r10i1p1f1,2.1793014307542746,%
ssp126,2036,cesm2,r10i1p1f1,2.87348625946267,%
ssp126,2037,cesm2,r10i1p1f1,3.122002874240547,%
ssp126,2038,cesm2,r10i1p1f1,2.2564221640047695,%
ssp126,2039,cesm2,r10i1p1f1,2.72633531904253,%
ssp126,2040,cesm2,r10i1p1f1,3.089565372582557,%
ssp126,2041,cesm2,r10i1p1f1,3.5719127026164794,%
ssp126,2042,cesm2,r10i1p1f1,2.437232581627509,%
ssp126,2043,cesm2,r10i1p1f1,2.1114563846902565,%
ssp126,2044,cesm2,r10i1p1f1,2.391929341253375,%
ssp126,2045,cesm2,r10i1p1f1,3.1710541611695544,%
ssp126,2046,cesm2,r10i1p1f1,2.5263324452769287,%
ssp126,2047,cesm2,r10i1p1f1,3.9135364565101245,%
ssp126,2048,cesm2,r10i1p1f1,2.7128247815447297,%
ssp126,2049,cesm2,r10i1p1f1,3.1349506187979483,%
ssp126,2050,cesm2,r10i1p1f1,3.5145000524129015,%
ssp126,2051,cesm2,r10i1p1f1,3.2948762771647115,%
ssp126,2052,cesm2,r10i1p1f1,2.9983061912533677,%
ssp126,2053,cesm2,r10i1p1f1,2.9530748788837853,%
ssp126,2054,cesm2,r10i1p1f1,3.7642616414094503,%
ssp126,2055,cesm2,r10i1p1f1,2.000018593480497,%
ssp126,2056,cesm2,r10i1p1f1,2.4151988423151374,%
ssp126,2057,cesm2,r10i1p1f1,4.108913665130409,%
ssp126,2058,cesm2,r10i1p1f1,2.297644451953919,%
