scenario,year,source,member,value,unit
ssp126,2015,cesm2,r10i1p1f1,1.2121818217602254,degC
ssp126,2016,cesm2,r10i1p1f1,1.0996985049069394,degC
ssp126,2017,cesm2,r10i1p1f1,1.1079242494255368,degC
ssp126,2018,cesm2,r10i1p1f1,1.1842654042555978,degC
ssp126,2019,cesm2,r10i1p1f1,1.1321620300450377,degC
ssp126,2020,cesm2,r10i1p1f1,1.12689993384447,degC
ssp126,2021,cesm2,r10i1p1f1,1.0828477428140104,degC
ssp126,2022,cesm2,r10i1p1f1,1.318786157809825,degC
ssp126,2023,cesm2,r10i1p1f1,1.373085254162902,degC
ssp126,2024,cesm2,r10i1p1f1,1.3442834295968282,degC
ssp126,2025,cesm2,r10i1p1f1,1.494390219744389,degC
ssp126,2026,cesm2,r10i1p1f1,1.570862616849979,degC
ssp126,2027,cesm2,r10i1p1f1,1.4793356992474855,degC
ssp126,2028,cesm2,r10i1p1f1,1.5815903501380717,degC
ssp126,2029,cesm2,r10i1p1f1,1.4696997909308038,degC
ssp126,2030,cesm2,r10i1p1f1,1.4749064286892235,degC
ssp126,2031,cesm2,r10i1p1f1,1.58655723897175,degC
ssp126,2032,cesm2,r10i1p1f1,1.4608826145157536,degC
ssp126,2033,cesm2,r10i1p1f1,1.6012181919737145,degC
ssp126,2034,cesm2,r10i1p1f1,1.7629454414917518,degC
ssp126,2035,cesm2,r10i1p1f1,1.7163175294706434,degC
ssp126,2036,cesm2,r10i1p1f1,1.8951031444544242,degC
ssp126,2037,cesm2,r10i1p1f1,1.8633529084403335,degC
ssp126,2038,cesm2,r10i1p1f1,1.7400688458434956,degC
ssp126,2039,cesm2,r10i1p1f1,1.9091238621270463,degC
ssp126,2040,cesm2,r10i1p1f1,2.1093662248125042,degC
ssp126,2041,cesm2,r10i1p1f1,2.027580097328155,degC
ssp126,2042,cesm2,r10i1p1f1,1.7154340479825123,degC
ssp126,2043,cesm2,r10i1p1f1,1.749653028851128,degC
ssp126,2044,cesm2,r10i1p1f1,1.860772551812147,degC
ssp126,2045,cesm2,r10i1p1f1,1.9123755143654648,degC
ssp126,2046,cesm2,r10i1p1f1,1.9752885575340429,degC
ssp126,2047,cesm2,r10i1p1f1,2.0568519006865245,degC
ssp126,2048,cesm2,r10i1p1f1,1.8517908751047116,degC
ssp126,2049,cesm2,r10i1p1f1,2.0226381941010914,degC
ssp126,2050,cesm2,r10i1p1f1,2.1388530683839804,degC
ssp126,2051,cesm2,r10i1p1f1,2.0629286270097964,degC
ssp126,2052,cesm2,r10i1p1f1,1.9928529419617576,degC
ssp126,2053,cesm2,r10i1p1f1,1.9704532886773904,degC
ssp126,2054,cesm2,r10i1p1f1,1.9582842430154415,degC
ssp126,2055,cesm2,r10i1p1f1,1.6710029701046665,degC
ssp126,2056,cesm2,r10i1p1f1,1.8776408838318162,degC
ssp126,2057,cesm2,r10i1p1f1,2.050500426165854,degC
ssp126,2058,cesm2,r10i1p1f1,1.8388206667653435,degC
ssp126,2059,cesm2,r10i1p1f1,1.9939822753417502,degC
ssp126,2060,cesm2,r10i1p1f1,2.1106312409444286,degC
ssp126,2061,cesm2,r10i1p1f1,2.0266542270007903,degC
ssp126,2062,cesm2,r10i1p1f1,2.2162551169703875,degC
ssp126,2063,cesm2,r10i1p1f1,2.143725800620416,degC
ssp126,2064,cesm2,r10i1p1f1,2.245522666429224,degC
ssp126,2065,cesm2,r10i1p1f1,2.193248476551446,degC
ssp126,2066,cesm2,r10i1p1f1,2.205907949771813,degC
ssp126,2067,cesm2,r10i1p1f1,2.099917303403231,degC
ssp126,2068,cesm2,r10i1p1f1,2.1905820598909145,degC
ssp126,2069,cesm2,r10i1p1f1,2.281469317422534,degC
ssp126,2070,cesm2,r10i1p1f1,2.2718164025354213,degC
ssp126,2071,cesm2,r10i1p1f1,2.0008746257057055,degC
ssp126,2072,cesm2,r10i1p1f1,2.1951807990246266,degC
ssp126,2073,cesm2,r10i1p1f1,2.3084285540039673,degC
