scenario,year,cumulative_GtCO2,annual_GtCO2,scaled_to_published
cmip7_vl,1850,0.048062,,0
cmip7_vl,1851,0.0959577,0.0478958,0
cmip7_vl,1852,0.145712,0.0497541,0
cmip7_vl,1853,0.19763,0.0519177,0
cmip7_vl,1854,0.258485,0.0608553,0
cmip7_vl,1855,0.319515,0.0610299,0
cmip7_vl,1856,0.385016,0.0655014,0
cmip7_vl,1857,0.451335,0.0663193,0
cmip7_vl,1858,0.51879,0.0674547,0
cmip7_vl,1859,0.591211,0.0724206,0
cmip7_vl,1860,0.67127,0.0800588,0
cmip7_vl,1861,0.755557,0.0842871,0
cmip7_vl,1862,0.841504,0.085947,0
cmip7_vl,1863,0.933167,0.0916635,0
cmip7_vl,1864,1.03197,0.0988063,0
cmip7_vl,1865,1.13722,0.105246,0
cmip7_vl,1866,1.24629,0.10907,0
cmip7_vl,1867,1.36251,0.11622,0
cmip7_vl,1868,1.48167,0.119165,0
cmip7_vl,1869,1.60825,0.126577,0
cmip7_vl,1870,1.73785,0.129596,0
cmip7_vl,1871,1.8764,0.138558,0
cmip7_vl,1872,2.02969,0.153287,0
cmip7_vl,1873,2.19267,0.162975,0
cmip7_vl,1874,2.35163,0.158962,0
cmip7_vl,1875,2.51966,0.168027,0
cmip7_vl,1876,2.69021,0.170556,0
cmip7_vl,1877,2.86457,0.174362,0
cmip7_vl,1878,3.04034,0.175766,0
cmip7_vl,1879,3.22724,0.186902,0
cmip7_vl,1880,3.43712,0.209875,0
cmip7_vl,1881,3.65371,0.216592,0
cmip7_vl,1882,3.88102,0.227305,0
cmip7_vl,1883,4.1218,0.240781,0
cmip7_vl,1884,4.36463,0.242831,0
cmip7_vl,1885,4.60938,0.244754,0
cmip7_vl,1886,4.85827,0.248892,0
cmip7_vl,1887,5.11942,0.26115,0
cmip7_vl,1888,5.40607,0.286646,0
cmip7_vl,1889,5.6939,0.28783,0
cmip7_vl,1890,6.00441,0.310508,0
cmip7_vl,1891,6.3285,0.324091,0
cmip7_vl,1892,6.65484,0.326341,0
cmip7_vl,1893,6.97543,0.320591,0
cmip7_vl,1894,7.31032,0.334886,0
cmip7_vl,1895,7.66335,0.353034,0
cmip7_vl,1896,8.02767,0.364319,0
cmip7_vl,1897,8.40785,0.380181,0
cmip7_vl,1898,8.80638,0.398523,0
cmip7_vl,1899,9.23929,0.432913,0
cmip7_vl,1900,9.69351,0.454224,0
cmip7_vl,1901,10.1611,0.467631,0
cmip7_vl,1902,10.6413,0.480195,0
cmip7_vl,1903,11.1602,0.518893,0
cmip7_vl,1904,11.6851,0.524876,0
cmip7_vl,1905,12.2407,0.555615,0
cmip7_vl,1906,12.8312,0.590488,0
cmip7_vl,1907,13.4842,0.652969,0
cmip7_vl,1908,14.1159,0.631716,0
cmip7_vl,1909,14.7723,0.656377,0
cmip7_vl,1910,15.4591,0.686797,0
cmip7_vl,1911,16.161,0.701923,0
cmip7_vl,1912,16.8932,0.732167,0
cmip7_vl,1913,17.6817,0.788568,0
cmip7_vl,1914,18.4014,0.719639,0
cmip7_vl,1915,19.1147,0.713303,0
cmip7_vl,1916,19.8803,0.765629,0
cmip7_vl,1917,20.6716,0.79133,0
cmip7_vl,1918,21.4485,0.77683,0
cmip7_vl,1919,22.1308,0.682387,0
cmip7_vl,1920,22.9114,0.780518,0
cmip7_vl,1921,23.5904,0.679061,0
cmip7_vl,1922,24.316,0.725583,0
cmip7_vl,1923,25.1081,0.792066,0
cmip7_vl,1924,25.9101,0.801985,0
cmip7_vl,1925,26.7252,0.815144,0
cmip7_vl,1926,27.5316,0.806376,0
cmip7_vl,1927,28.4122,0.880577,0
cmip7_vl,1928,29.2927,0.880564,0
cmip7_vl,1929,30.2397,0.946962,0
cmip7_vl,1930,31.1128,0.873163,0
cmip7_vl,1931,31.9019,0.789086,0
cmip7_vl,1932,32.616,0.714111,0
cmip7_vl,1933,33.3633,0.747219,0
cmip7_vl,1934,34.1712,0.807924,0
cmip7_vl,1935,35.0178,0.846635,0
cmip7_vl,1936,35.9423,0.924477,0
cmip7_vl,1937,36.9272,0.984909,0
cmip7_vl,1938,37.8539,0.926678,0
cmip7_vl,1939,38.8299,0.976043,0
cmip7_vl,1940,39.9018,1.07186,0
cmip7_vl,1941,41.0018,1.09998,0
cmip7_vl,1942,42.1064,1.10463,0
cmip7_vl,1943,43.2483,1.14194,0
