scenario,year,GtCO2_per_yr
h,1850,0.19084720311641623
h,1851,0.19292355211640042
h,1852,0.2020690374946241
h,1853,0.2124468793585036
h,1854,0.24769959899059926
h,1855,0.25172253830020364
h,1856,0.26833252753679343
h,1857,0.2714682357173056
h,1858,0.2771634998315983
h,1859,0.2935166340005797
h,1860,0.3211069573470775
h,1861,0.33813620394435717
h,1862,0.34567778257238213
h,1863,0.3685313041792614
h,1864,0.39639607085696615
h,1865,0.4210947491746373
h,1866,0.4345977709716095
h,1867,0.4652040368323021
h,1868,0.4784542720252866
h,1869,0.5075517480947791
h,1870,0.5197039480467873
h,1871,0.5549316608346175
h,1872,0.6156083924064597
h,1873,0.6551327658631911
h,1874,0.6374888239164889
h,1875,0.6711892525370601
h,1876,0.6850150035274478
h,1877,0.700877988738015
h,1878,0.7102208806778414
h,1879,0.7626967858314923
h,1880,0.8632127240436723
h,1881,0.8843712055722721
h,1882,0.9339506672436519
h,1883,0.9919133171545707
h,1884,1.0056906987317304
h,1885,1.0172349994951841
h,1886,1.0372185463112746
h,1887,1.0912470626919952
h,1888,1.2049825466135984
h,1889,1.20551326304831
h,1890,1.3082513799754887
h,1891,1.3694255261017583
h,1892,1.3839483546841902
h,1893,1.3747362285495481
h,1894,1.4233980187147837
h,1895,1.5088799318737824
h,1896,1.5567698123534537
h,1897,1.6275759806212378
h,1898,1.7141700723445745
h,1899,1.8641735362736083
h,1900,1.963620599143328
h,1901,2.0349117420430796
h,1902,2.0908005453079057
h,1903,2.273055544802917
h,1904,2.3046870673031012
h,1905,2.4521070809056056
h,1906,2.610627286710224
h,1907,2.9003454860971885
h,1908,2.811475405003306
h,1909,2.9203042425701735
h,1910,3.0654690661194337
h,1911,3.1231013731339416
h,1912,3.2769058921975383
h,1913,3.536983780050245
h,1914,3.2187472806151574
h,1915,3.171128816445608
h,1916,3.4036883908412396
h,1917,3.5231584460656005
h,1918,3.465965302269309
h,1919,3.0259181887587583
h,1920,3.468017207865939
h,1921,3.05244572410576
h,1922,3.2275946504656314
h,1923,3.6152734761145604
h,1924,3.638786834080479
h,1925,3.703076424070992
h,1926,3.7025145802666715
h,1927,4.016406820364546
h,1928,4.0280847773559385
h,1929,4.327301959514735
h,1930,3.9843899295190797
h,1931,3.592930310548872
h,1932,3.252952391772245
h,1933,3.4077286554966153
h,1934,3.6921146069402915
h,1935,3.876561120056186
h,1936,4.240445170298415
h,1937,4.5253104763260374
h,1938,4.265908639772012
h,1939,4.497689881435647
h,1940,4.965632672023056
h,1941,5.094648624928683
h,1942,5.110141827225665
h,1943,5.282467985602381
h,1944,5.233093565687719
h,1945,4.42179685630461
h,1946,4.66681694143757
h,1947,5.1727345494556864
h,1948,5.46905906885792
h,1949,5.375502328479928
h,1950,5.837740861889648
h,1951,6.27725832259884
h,1952,6.415620635720624
h,1953,6.579343591724937
h,1954,6.754437734396949
h,1955,7.369583168064947
h,1956,7.8479175092218085
h,1957,8.119819193725531
h,1958,8.446108877310067
h,1959,8.85199647971202
h,1960,9.454097211835691
h,1961,9.516483920772853
h,1962,9.890338674299098
h,1963,10.453288750804703
h,1964,11.004662662596633
h,1965,11.518698197114144
h,1966,12.074899847886602
h,1967,12.489529573926603
h,1968,13.228990268515
h,1969,13.977354451614378
h,1970,15.044503534142963
h,1971,15.627810182889927
h,1972,16.33224744083347
h,1973,17.267022556736542
h,1974,17.208195555600252
h,1975,17.17784569394095
h,1976,18.073783817022747
h,1977,18.653857734975404
h,1978,19.24028423877714
h,1979,19.770857515039182
