year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
1850,2.940042,2.941631,2.922915,2.924739,2.904991,2.944481,2.926438,2.929087,2.945857,2.915823,2.933692
1851,2.961686,2.912526,2.945370,2.931210,2.914147,2.927527,2.921285,2.939889,2.929442,2.950496,2.952811
1852,2.933086,2.931287,2.949202,2.907920,2.933072,2.923283,2.947877,2.930570,2.944320,2.916550,2.958960
1853,2.958486,2.915698,2.933168,2.944847,2.924180,2.894250,2.915132,2.919439,2.942657,2.938278,2.906514
1854,2.920679,2.921564,2.939793,2.915003,2.934159,2.901882,2.933522,2.887340,2.949919,2.921601,2.931510
1855,2.925027,2.956812,2.935205,2.951757,2.954599,2.916411,2.938332,2.969087,2.942779,2.950320,2.924145
1856,2.954630,2.936146,2.915959,2.923515,2.946123,2.952731,2.930142,2.917942,2.924610,2.915459,2.957825
1857,2.908628,2.944319,2.949997,2.930217,2.909550,2.957294,2.924071,2.923794,2.951974,2.923797,2.914828
1858,2.949065,2.935048,2.953442,2.936487,2.902689,2.911143,2.923196,2.938949,2.915925,2.900290,2.939962
1859,2.942794,2.949652,2.921457,2.898884,2.912124,2.930525,2.942862,2.928848,2.897329,2.925027,2.917797
1860,2.943391,2.948761,2.937158,2.945790,2.926667,2.925489,2.936700,2.923210,2.930657,2.945022,2.947728
1861,2.931348,2.897049,2.950896,2.933208,2.924700,2.928035,2.939006,2.935271,2.930417,2.930406,2.947179
1862,2.914159,2.896590,2.919962,2.923864,2.906854,2.938442,2.941096,2.939777,2.911427,2.921638,2.932075
1863,2.930591,2.969427,2.933741,2.954547,2.902680,2.938924,2.937218,2.949569,2.925643,2.951606,2.918454
1864,2.919388,2.943419,2.934207,2.948932,2.920408,2.940681,2.956115,2.930701,2.937648,2.937097,2.967635
1865,2.926954,2.950491,2.939904,2.888811,2.943019,2.935372,2.947227,2.940614,2.925760,2.933441,2.938163
1866,2.948179,2.919381,2.925699,2.901031,2.942213,2.937651,2.926122,2.914472,2.942567,2.947841,2.913211
1867,2.936499,2.909448,2.940054,2.959893,2.935410,2.920829,2.969724,2.910358,2.941335,2.926072,2.922246
1868,2.935545,2.955305,2.928538,2.938958,2.924857,2.953338,2.944667,2.921170,2.959586,2.954966,2.930296
1869,2.928174,2.918953,2.935124,2.906887,2.935758,2.941339,2.915469,2.917612,2.914208,2.950407,2.976391
1870,2.940956,2.934751,2.951661,2.925673,2.942378,2.920483,2.911828,2.933501,2.919471,2.924614,2.942302
1871,2.942330,2.938928,2.941491,2.947732,2.938098,2.924254,2.921852,2.910660,2.946239,2.947439,2.947506
1872,2.951638,2.918800,2.908028,2.926993,2.946329,2.938190,2.960278,2.958794,2.940627,2.925595,2.946017
1873,2.918614,2.944731,2.922528,2.928852,2.928723,2.918193,2.941959,2.940465,2.911058,2.910929,2.938741
1874,2.955109,2.951378,2.949526,2.933148,2.921714,2.934761,2.932175,2.939776,2.932066,2.946615,2.934444
