year,m1,m2,m3,m4,m5,m6
1850,2.945365,2.943009,2.927814,2.929104,2.909865,2.950565
1851,2.965756,2.917146,2.950152,2.936081,2.918319,2.932623
1852,2.937510,2.935410,2.954280,2.912135,2.937423,2.928484
1853,2.962164,2.919012,2.937544,2.948845,2.928700,2.898392
1854,2.925171,2.925277,2.943984,2.919043,2.939489,2.906213
1855,2.929588,2.960729,2.938533,2.956554,2.959447,2.920061
1856,2.959165,2.940398,2.919908,2.928324,2.950129,2.956908
1857,2.912075,2.948386,2.953550,2.933924,2.913136,2.960212
1858,2.952769,2.937899,2.956953,2.940044,2.906029,2.914634
1859,2.946180,2.953827,2.924750,2.902764,2.915230,2.933860
1860,2.946891,2.951951,2.940163,2.949753,2.930242,2.929039
1861,2.935983,2.899939,2.954306,2.935557,2.927998,2.931217
1862,2.916665,2.899442,2.922772,2.926772,2.909509,2.941778
1863,2.933673,2.971183,2.937613,2.956850,2.905471,2.941511
1864,2.922591,2.945484,2.937285,2.951082,2.924045,2.943962
1865,2.931499,2.952502,2.941825,2.893527,2.945444,2.938386
1866,2.951562,2.921733,2.929364,2.904345,2.945540,2.941095
1867,2.940414,2.912613,2.942351,2.962705,2.939024,2.924196
1868,2.939152,2.959156,2.932239,2.942520,2.928622,2.957382
1869,2.932028,2.923051,2.938667,2.910926,2.939589,2.944715
1870,2.943709,2.938656,2.955373,2.929203,2.946248,2.924837
1871,2.946206,2.943767,2.948010,2.952301,2.943357,2.929306
1872,2.958037,2.924655,2.913598,2.931204,2.951957,2.943381
1873,2.923691,2.948944,2.927363,2.933682,2.934838,2.924240
1874,2.959777,2.958982,2.956202,2.938321,2.926600,2.940468
1875,2.943217,2.924309,2.929591,2.943255,2.939516,2.935289
1876,2.938904,2.944550,2.929315,2.922395,2.921030,2.923320
1877,2.907598,2.943842,2.945008,2.961941,2.950419,2.944237
1878,2.919621,2.920634,2.916317,2.927617,2.965823,2.918824
1879,2.964942,2.940102,2.918817,2.930411,2.935395,2.947796
1880,2.938266,2.918144,2.925507,2.964350,2.950344,2.945504
1881,2.935424,2.934243,2.926765,2.929285,2.993235,2.943158
1882,2.940626,2.921713,2.936410,2.956808,2.929753,2.966040
1883,2.973582,2.928544,2.952402,2.919718,2.908446,2.922501
1884,2.930942,2.917133,2.948607,2.939491,2.952231,2.976356
1885,2.919669,2.930295,2.951719,2.952604,2.955825,2.937557
1886,2.921464,2.932412,2.943095,2.902327,2.910811,2.925442
1887,2.904399,2.952721,2.952674,2.912582,2.963118,2.940755
1888,2.932425,2.942587,2.933186,2.953086,2.927652,2.917282
1889,2.924239,2.911840,2.937796,2.930092,2.946754,2.956354
1890,2.950164,2.920017,2.942918,2.928085,2.935894,2.926326
1891,2.912371,2.941520,2.906833,2.953396,2.932458,2.946411
1892,2.957326,2.946021,2.948274,2.933551,2.952816,2.954901
1893,2.936406,2.951836,2.930218,2.920681,2.917907,2.900847
1894,2.950279,2.919510,2.925524,2.929999,2.924186,2.911368
1895,2.924303,2.932720,2.958472,2.952250,2.937749,2.928741
1896,2.936753,2.931929,2.938985,2.941015,2.926330,2.934835
1897,2.938526,2.955611,2.938853,2.907339,2.914286,2.927979
1898,2.944552,2.950319,2.923850,2.940360,2.931919,2.932587
1899,2.919232,2.947359,2.931474,2.949597,2.946745,2.937390
1900,2.899638,2.958288,2.925759,2.921572,2.955007,2.950023
1901,2.946473,2.972549,2.937801,2.925525,2.949764,2.952860
1902,2.936610,2.942315,2.932155,2.945338,2.943293,2.960203
1903,2.956919,2.956610,2.949852,2.966573,2.946200,2.938339
1904,2.931063,2.905993,2.953197,2.938884,2.958738,2.924750
1905,2.961361,2.960933,2.941553,2.939158,2.943481,2.965062
1906,2.909168,2.925204,2.945292,2.948980,2.919865,2.929599
1907,2.943186,2.962089,2.899351,2.926301,2.955906,2.936443
1908,2.902217,2.903827,2.949021,2.926217,2.953610,2.929401
1909,2.951889,2.970537,2.931972,2.979813,2.935802,2.934357
1910,2.944857,2.990416,2.940545,2.944513,2.910110,2.913330
1911,2.959882,2.935621,2.935407,2.927599,2.932402,2.939900
1912,2.955217,2.930374,2.926304,2.949727,2.947262,2.947195
1913,2.933040,2.938315,2.966683,2.944869,2.955012,2.934251
1914,2.954710,2.929670,2.965427,2.921050,2.940381,2.972302
1915,2.951328,2.933069,2.966547,2.883364,2.961623,2.982678
1916,2.954652,2.947100,2.944729,2.933226,2.969220,2.929041
1917,2.929692,2.971162,2.926633,2.952773,2.964086,2.927085
1918,2.933810,2.941036,2.959432,2.942451,2.948753,2.943895
1919,2.936302,2.946951,2.957255,2.953891,2.929515,2.945508
1920,2.958501,2.919625,2.930393,2.935289,2.930762,2.954846
1921,2.932164,2.972188,2.945185,2.920801,2.934050,2.917426
1922,2.917565,2.941372,2.948676,2.923885,2.942861,2.925182
1923,2.952920,2.931966,2.960426,2.923463,2.935166,2.951963
1924,2.942677,2.958121,2.955701,2.968955,2.943763,2.934084
1925,2.922707,2.939042,2.980109,2.915646,2.924982,2.972671
1926,2.961094,2.957312,2.989317,2.960930,2.937476,2.943494
1927,2.965227,2.944562,2.966735,2.965993,2.939261,2.937713
1928,2.966364,2.980624,2.942654,2.939422,2.964316,2.959672
1929,2.907697,2.951850,2.918871,2.946391,2.950468,2.950591
1930,2.971878,2.946814,2.924587,2.937554,2.976649,2.952091
1931,2.939852,2.956520,2.952966,2.934006,2.945827,2.959704
1932,2.934781,2.943122,2.952725,2.953873,2.930466,2.958245
1933,2.944986,2.929887,2.964320,2.983759,2.956120,2.959021
1934,2.929692,2.918085,2.920905,2.960934,2.938688,2.945667
1935,2.945244,2.948127,2.959644,2.956815,2.922916,2.951996
1936,2.972966,2.943233,2.949565,2.940519,2.955332,2.957432
1937,2.947527,2.942390,2.942827,2.944125,2.963896,2.970549
1938,2.949955,2.923919,2.983770,2.961193,2.946956,2.937866
1939,2.970158,2.956652,2.970271,2.965015,2.934212,2.956486
1940,2.965157,2.943904,2.951513,2.954046,2.959333,2.951084
1941,2.932898,2.955765,2.956894,2.952445,2.954997,2.953524
1942,2.951821,2.922731,2.957993,2.957486,2.936290,2.943154
1943,2.962845,2.946625,2.935592,2.958988,2.953594,2.961492
1944,2.946955,2.949414,2.941082,2.953011,2.952197,2.940549
1945,2.925612,2.974006,2.952949,2.951573,2.944037,2.974041
