year,LE2-1231.001,LE2-1231.002,LE2-1231.003,LE2-1231.004,LE2-1231.005,LE2-1231.011,LE2-1231.012,LE2-1231.013,LE2-1231.014,LE2-1231.015
1850,2.948359,2.955222,2.939453,2.956696,2.951103,2.944706,2.949578,2.951577,2.946491,2.946436
1851,2.950803,2.936825,2.975083,2.934897,2.964224,2.944794,2.944712,2.933427,2.944134,2.971082
1852,2.954955,2.953289,2.958207,2.955327,2.965806,2.952574,2.958240,2.976454,2.961049,2.951383
1853,2.961955,2.962901,2.953354,2.947081,2.944320,2.933672,2.947485,2.947513,2.961552,2.944478
1854,2.940240,2.929600,2.935487,2.937868,2.942584,2.950960,2.935252,2.939986,2.958557,2.953753
1855,2.918766,2.947379,2.945420,2.948662,2.953046,2.950195,2.966562,2.941761,2.955398,2.941512
1856,2.940966,2.933772,2.961729,2.939818,2.952869,2.953783,2.934708,2.948672,2.934748,2.943642
1857,2.938361,2.937412,2.930970,2.937484,2.930218,2.945709,2.923187,2.940499,2.933144,2.939974
1858,2.944510,2.953049,2.940267,2.950388,2.937931,2.949525,2.960052,2.951014,2.949311,2.950283
1859,2.967873,2.944578,2.943518,2.942846,2.950664,2.936763,2.945414,2.965523,2.934029,2.953626
1860,2.956417,2.959136,2.945019,2.924360,2.935975,2.947689,2.953013,2.972696,2.934935,2.959805
1861,2.929471,2.956597,2.952527,2.946690,2.926685,2.963369,2.959589,2.947656,2.953213,2.955716
1862,2.941349,2.932219,2.933763,2.947285,2.932815,2.966454,2.957483,2.924813,2.942606,2.916637
1863,2.942931,2.932819,2.930950,2.961133,2.934484,2.956811,2.940556,2.943197,2.962352,2.933949
1864,2.950372,2.951686,2.955902,2.933610,2.928958,2.930552,2.944342,2.941685,2.953097,2.962155
1865,2.920527,2.933903,2.950886,2.952286,2.927047,2.959826,2.938187,2.958489,2.931057,2.944883
1866,2.951843,2.936233,2.943307,2.964776,2.939507,2.951892,2.956408,2.945200,2.941934,2.951071
1867,2.949172,2.948026,2.927763,2.947425,2.952168,2.957575,2.945935,2.941043,2.941006,2.967711
1868,2.940520,2.962980,2.961358,2.952951,2.967912,2.972201,2.955879,2.975669,2.944657,2.927611
1869,2.947530,2.953881,2.939694,2.936202,2.942597,2.960231,2.954533,2.948005,2.950271,2.924499
1870,2.949918,2.955439,2.948801,2.936255,2.958227,2.953627,2.944743,2.935493,2.937807,2.969098
1871,2.958889,2.961166,2.941371,2.953592,2.967471,2.957358,2.972258,2.933306,2.947887,2.948911
1872,2.923509,2.984449,2.937618,2.961855,2.931261,2.981306,2.964484,2.972337,2.940827,2.941434
1873,2.944987,2.932383,2.941237,2.971770,2.932688,2.924124,2.957714,2.933317,2.939559,2.949728
1874,2.950635,2.926664,2.965416,2.950716,2.969142,2.947289,2.955503,2.935067,2.921594,2.962725
1875,2.946358,2.951860,2.956042,2.961644,2.947287,2.990732,2.970181,2.965012,2.944493,2.952240
1876,2.945472,2.939716,2.949907,2.965859,2.933734,2.937817,2.962580,2.944537,2.947532,2.954619
1877,2.981493,2.944886,2.954170,2.945031,2.953979,2.931174,2.941593,2.931809,2.961965,2.950080
1878,2.940016,2.932920,2.938144,2.944469,2.949368,2.950852,2.963869,2.941465,2.954677,2.947685
1879,2.935082,2.959978,2.935050,2.936042,2.938046,2.950881,2.939201,2.966424,2.943894,2.957873
1880,2.946459,2.949046,2.945567,2.937613,2.932454,2.953636,2.942180,2.965512,2.952101,2.947450
1881,2.952682,2.952629,2.949579,2.947333,2.976512,2.929149,2.979811,2.929244,2.942631,2.941087
1882,2.962805,2.950736,2.959153,2.953452,2.932818,2.958861,2.950184,2.947321,2.978042,2.955102
1883,2.920698,2.951970,2.959147,2.958805,2.937630,2.952996,2.953194,2.952602,2.957454,2.943675
1884,2.920255,2.935952,2.932187,2.951736,2.920306,2.942764,2.922868,2.903636,2.909544,2.923819
1885,2.932366,2.955338,2.932576,2.946316,2.905248,2.934265,2.927754,2.898466,2.909397,2.937882
1886,2.930441,2.916242,2.951122,2.924699,2.923138,2.925972,2.943153,2.925047,2.934019,2.938799
1887,2.936656,2.919006,2.935075,2.944898,2.921516,2.936416,2.933842,2.934273,2.967822,2.939044
1888,2.945127,2.936007,2.942934,2.965320,2.931962,2.943433,2.928981,2.937008,2.948766,2.922519
1889,2.930987,2.931802,2.942639,2.947699,2.940776,2.940060,2.958412,2.943797,2.923968,2.931131
1890,2.931410,2.936195,2.980266,2.922687,2.968362,2.942086,2.938635,2.938157,2.939205,2.929605
1891,2.942879,2.918710,2.941783,2.935664,2.948562,2.919862,2.931464,2.954322,2.962640,2.940235
1892,2.937414,2.959588,2.956012,2.950175,2.936013,2.942292,2.945241,2.931942,2.947601,2.948905
1893,2.952740,2.948406,2.959383,2.932263,2.947049,2.956570,2.937872,2.946741,2.924948,2.937870
1894,2.938479,2.956068,2.926456,2.951262,2.959140,2.912348,2.954332,2.977909,2.941714,2.931204
1895,2.921931,2.959104,2.934753,2.949179,2.942210,2.942800,2.931171,2.954220,2.947930,2.941851
1896,2.943638,2.960845,2.950577,2.946720,2.958531,2.934857,2.949783,2.947632,2.942640,2.952568
1897,2.956243,2.961290,2.949176,2.941014,2.956796,2.923335,2.956875,2.933707,2.941317,2.946667
1898,2.935758,2.958499,2.930978,2.953947,2.953549,2.937443,2.935581,2.964027,2.950908,2.952150
1899,2.940809,2.942958,2.918458,2.958033,2.963089,2.952181,2.960425,2.934569,2.942364,2.935555
1900,2.958272,2.960303,2.943659,2.964293,2.946067,2.944241,2.948189,2.953402,2.944364,2.971134
1901,2.933223,2.951253,2.948144,2.951151,2.941740,2.942268,2.969577,2.969942,2.960342,2.943666
1902,2.957431,2.972503,2.926365,2.933629,2.928994,2.963099,2.920556,2.942081,2.931255,2.939818
1903,2.937504,2.951998,2.926381,2.954715,2.936111,2.917802,2.922000,2.964049,2.923961,2.936721
1904,2.922907,2.954955,2.944696,2.943743,2.948174,2.933108,2.938584,2.946238,2.933628,2.947172
1905,2.933569,2.939510,2.940458,2.966254,2.935055,2.967699,2.915476,2.931914,2.927477,2.951072
1906,2.959879,2.927089,2.934616,2.945443,2.960778,2.919438,2.931260,2.963776,2.954662,2.948867
1907,2.941746,2.945246,2.952316,2.938603,2.952474,2.920116,2.949512,2.924089,2.934119,2.914802
1908,2.941969,2.939896,2.943258,2.928590,2.956258,2.930418,2.939634,2.937971,2.942480,2.951738
1909,2.958639,2.933031,2.935062,2.950492,2.944864,2.943682,2.918819,2.931418,2.945399,2.931280
1910,2.945419,2.956176,2.928009,2.911547,2.938918,2.938281,2.934616,2.933431,2.915526,2.920263
1911,2.936737,2.961718,2.943556,2.954923,2.937221,2.951544,2.939100,2.937412,2.938329,2.947245
1912,2.964801,2.943653,2.953544,2.944721,2.923470,2.931402,2.931707,2.945982,2.945251,2.933383
1913,2.923836,2.948147,2.946334,2.935425,2.945749,2.918699,2.930661,2.942352,2.915113,2.945768
1914,2.930279,2.957505,2.959133,2.935851,2.939432,2.927186,2.931887,2.953765,2.924979,2.939634
1915,2.923480,2.928727,2.925773,2.936406,2.945225,2.938509,2.926115,2.929798,2.925054,2.960265
1916,2.947450,2.929335,2.938304,2.948884,2.930746,2.914688,2.944054,2.960469,2.962170,2.936470
1917,2.937594,2.962863,2.943745,2.961326,2.943921,2.934168,2.965287,2.967538,2.919662,2.936082
1918,2.959552,2.936924,2.929114,2.960280,2.956761,2.958268,2.928780,2.941893,2.932671,2.933008
1919,2.947578,2.963809,2.930039,2.928627,2.919792,2.949737,2.926589,2.942870,2.952525,2.961837
1920,2.947814,2.956269,2.933493,2.944724,2.922190,2.945414,2.947921,2.952737,2.932645,2.941224
1921,2.943565,2.969690,2.916268,2.954363,2.947930,2.941921,2.943614,2.947441,2.948994,2.931653
1922,2.922361,2.944150,2.947665,2.965871,2.940229,2.941007,2.956826,2.938005,2.942902,2.934354
