year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
1850,2.946606,2.944605,2.929388,2.930834,2.910826,2.951087,2.932913,2.935525,2.952329,2.921829
1851,2.967095,2.917942,2.951277,2.936841,2.920084,2.934036,2.927290,2.946794,2.934455,2.956121
1852,2.938444,2.936167,2.954459,2.912986,2.938003,2.928986,2.952638,2.936379,2.949087,2.921993
1853,2.962734,2.919495,2.937886,2.949377,2.929371,2.899036,2.920181,2.924032,2.947858,2.943489
1854,2.925370,2.925667,2.944318,2.919459,2.940168,2.906343,2.937889,2.892216,2.954446,2.925802
1855,2.930453,2.960881,2.938909,2.957558,2.959656,2.920243,2.942379,2.972184,2.949679,2.953981
1856,2.959760,2.940515,2.920065,2.928504,2.950834,2.956807,2.934746,2.922290,2.928626,2.920460
1857,2.912096,2.948657,2.953844,2.933958,2.913430,2.960613,2.927477,2.926009,2.956315,2.928174
1858,2.952703,2.937902,2.956881,2.939994,2.906507,2.914609,2.926897,2.942874,2.919865,2.903416
1859,2.945951,2.953581,2.924905,2.902839,2.915415,2.933639,2.946069,2.932774,2.901492,2.929117
1860,2.946659,2.952010,2.940192,2.949048,2.930229,2.929036,2.939987,2.926528,2.934069,2.948341
1861,2.935496,2.899923,2.954125,2.935610,2.928109,2.930870,2.941087,2.938157,2.932108,2.934317
1862,2.916581,2.899262,2.922766,2.926264,2.909383,2.941309,2.943412,2.942544,2.913731,2.924476
1863,2.932927,2.971150,2.936590,2.956805,2.905106,2.941297,2.939098,2.952337,2.927934,2.951995
1864,2.922283,2.945681,2.937181,2.950789,2.923687,2.943710,2.957500,2.933224,2.939402,2.939229
1865,2.930339,2.952350,2.942112,2.891797,2.945312,2.938343,2.950289,2.943832,2.928462,2.937166
1866,2.951577,2.922034,2.928788,2.904548,2.945608,2.941206,2.929402,2.917635,2.946122,2.950164
1867,2.940103,2.912750,2.942579,2.963219,2.938998,2.924325,2.971812,2.914450,2.945000,2.929798
1868,2.938339,2.958449,2.931325,2.941699,2.927763,2.956143,2.947529,2.923846,2.962710,2.958054
1869,2.930985,2.921780,2.937736,2.909786,2.938899,2.943736,2.918348,2.920347,2.917241,2.953030
1870,2.942984,2.937163,2.953944,2.928127,2.944602,2.923038,2.914053,2.936172,2.921779,2.927225
1871,2.944554,2.941176,2.945749,2.949719,2.941121,2.927128,2.924688,2.912960,2.949257,2.949534
1872,2.954549,2.921485,2.910806,2.929425,2.949013,2.940385,2.962241,2.961003,2.943364,2.927995
1873,2.921220,2.946539,2.924943,2.931133,2.931644,2.921128,2.944389,2.943369,2.913650,2.913261
1874,2.957294,2.954637,2.952836,2.935932,2.924388,2.937406,2.934883,2.941921,2.934086,2.949355
1875,2.941207,2.922269,2.927277,2.940450,2.937273,2.931836,2.939087,2.950136,2.937700,2.946157
1876,2.937726,2.942907,2.927534,2.921687,2.919849,2.922120,2.929844,2.933959,2.942013,2.928350
1877,2.904846,2.940745,2.942567,2.960141,2.948102,2.942184,2.962562,2.949559,2.940774,2.936372
1878,2.917345,2.918049,2.912321,2.925653,2.964668,2.915556,2.964434,2.946020,2.921185,2.911230
1879,2.961628,2.937767,2.916209,2.926247,2.932565,2.944281,2.935054,2.941969,2.940563,2.946877
1880,2.934501,2.913539,2.921355,2.960246,2.946787,2.941926,2.967536,2.898141,2.918787,2.939276
1881,2.931027,2.929612,2.923462,2.925598,2.989676,2.938501,2.936052,2.917511,2.947972,2.948654
1882,2.935582,2.917396,2.932418,2.952753,2.925150,2.962615,2.913809,2.952173,2.925311,2.952681
1883,2.968383,2.923485,2.947631,2.914909,2.904269,2.916998,2.947966,2.935764,2.950748,2.927300
1884,2.925748,2.913352,2.944630,2.934801,2.947162,2.971930,2.942825,2.956433,2.934747,2.951514
1885,2.915143,2.925422,2.947576,2.947296,2.950890,2.932908,2.914003,2.919435,2.959413,2.910012
1886,2.916165,2.928245,2.938015,2.896764,2.906535,2.919713,2.925323,2.921075,2.910358,2.915081
1887,2.897877,2.946928,2.945675,2.906076,2.955868,2.934322,2.912428,2.934404,2.953831,2.919403
1888,2.926669,2.936731,2.927634,2.947882,2.922130,2.911779,2.933674,2.919984,2.927966,2.913030
1889,2.917040,2.904795,2.931466,2.922348,2.939987,2.949655,2.934546,2.923965,2.972813,2.913809
1890,2.943302,2.913832,2.935721,2.920810,2.929075,2.919761,2.912286,2.902734,2.908364,2.952283
1891,2.905462,2.934314,2.899504,2.946726,2.925672,2.937885,2.944858,2.889300,2.944514,2.950496
1892,2.949273,2.938549,2.941145,2.925470,2.942493,2.946830,2.940187,2.950322,2.910469,2.927752
1893,2.928130,2.943334,2.922330,2.912733,2.910582,2.893248,2.969140,2.913872,2.923774,2.938058
1894,2.942831,2.910252,2.917051,2.923014,2.915686,2.904119,2.937871,2.903517,2.936844,2.912070
1895,2.915742,2.923614,2.949465,2.943124,2.928604,2.920125,2.905005,2.939434,2.930818,2.940821
1896,2.926524,2.924198,2.931048,2.932846,2.918085,2.925819,2.946854,2.918876,2.936833,2.911814
1897,2.930770,2.947309,2.930747,2.900170,2.905351,2.919498,2.948542,2.945415,2.907467,2.949216
1898,2.935794,2.942328,2.915613,2.931211,2.923830,2.923056,2.931868,2.939239,2.904832,2.961368
1899,2.910923,2.939345,2.922999,2.940716,2.938575,2.929172,2.969729,2.923810,2.918498,2.907773
1900,2.891182,2.949178,2.916475,2.913161,2.947393,2.941493,2.906568,2.962743,2.970958,2.956043
1901,2.935375,2.963016,2.928520,2.915718,2.939886,2.942961,2.928754,2.919264,2.932719,2.906651
1902,2.927575,2.931761,2.921954,2.934575,2.933545,2.950048,2.917162,2.927987,2.926287,2.937023
1903,2.946640,2.945939,2.940044,2.955623,2.935025,2.928558,2.926343,2.905961,2.928214,2.936856
1904,2.920315,2.895690,2.941976,2.927169,2.947579,2.915132,2.914498,2.922009,2.929173,2.922934
1905,2.950570,2.948831,2.930671,2.927535,2.932743,2.954169,2.906249,2.945978,2.920248,2.941470
1906,2.897910,2.913910,2.933764,2.937915,2.909931,2.917391,2.920547,2.935082,2.928971,2.944219
1907,2.932338,2.951124,2.887507,2.913870,2.944616,2.925358,2.948515,2.924532,2.902359,2.930160
1908,2.890378,2.893043,2.937750,2.913872,2.942765,2.917669,2.927340,2.928981,2.926124,2.924244
1909,2.939516,2.956750,2.919383,2.968109,2.923578,2.922414,2.941582,2.923706,2.918374,2.913904
1910,2.929297,2.977385,2.928056,2.930852,2.898781,2.901506,2.916107,2.901648,2.922991,2.924271
1911,2.946785,2.923622,2.922706,2.914415,2.918178,2.927161,2.907589,2.907326,2.930314,2.914655
1912,2.941051,2.917318,2.913426,2.936663,2.933302,2.933381,2.957658,2.970945,2.938772,2.923297
1913,2.919578,2.924742,2.954726,2.929652,2.940875,2.920365,2.940487,2.928541,2.956249,2.930773
1914,2.941414,2.917185,2.950305,2.906724,2.926938,2.960161,2.945323,2.928188,2.947034,2.944584
1915,2.936446,2.919255,2.953141,2.869602,2.948361,2.967768,2.939750,2.918309,2.903224,2.905095
1916,2.942012,2.931883,2.930421,2.918341,2.954564,2.915547,2.927441,2.920154,2.927008,2.944934
1917,2.916331,2.954751,2.912426,2.937349,2.947462,2.913139,2.965394,2.927180,2.952428,2.910035
1918,2.919036,2.926361,2.943713,2.927418,2.934238,2.930418,2.914295,2.934583,2.933962,2.959311
1919,2.920564,2.932203,2.942110,2.938777,2.914037,2.929360,2.940988,2.946307,2.945673,2.928373
1920,2.942782,2.902573,2.913775,2.919436,2.915657,2.938847,2.959082,2.923720,2.950328,2.907863
1921,2.916504,2.955893,2.930427,2.906820,2.918686,2.902620,2.934518,2.901279,2.905610,2.927131
1922,2.902250,2.926666,2.932245,2.908050,2.929763,2.909011,2.937132,2.953987,2.942962,2.916078
1923,2.936859,2.916155,2.945661,2.908597,2.918406,2.934900,2.908403,2.931265,2.958089,2.944194
1924,2.926507,2.939457,2.939692,2.951911,2.928222,2.917438,2.919560,2.921243,2.940079,2.943415
1925,2.907562,2.922960,2.962309,2.899066,2.908409,2.956164,2.903992,2.927434,2.944626,2.925548
1926,2.944631,2.940138,2.971302,2.945105,2.921152,2.926762,2.924622,2.932791,2.906773,2.951775
1927,2.950108,2.927251,2.949942,2.948940,2.922400,2.920945,2.947829,2.950970,2.905474,2.937777
1928,2.950096,2.964190,2.925740,2.922823,2.948426,2.943235,2.925494,2.928907,2.961858,2.938608
1929,2.890108,2.934254,2.902159,2.929309,2.934635,2.933994,2.913124,2.922239,2.921384,2.927821
1930,2.955899,2.925570,2.908075,2.921370,2.960695,2.936021,2.920785,2.908557,2.941879,2.917410
1931,2.924428,2.940727,2.936851,2.917797,2.929272,2.943045,2.926030,2.901427,2.936832,2.921705
1932,2.920151,2.928581,2.937400,2.939788,2.914996,2.944277,2.932701,2.953498,2.921553,2.921260
1933,2.929779,2.915155,2.949552,2.967883,2.941842,2.944252,2.942223,2.957266,2.920058,2.933064
1934,2.914498,2.901753,2.905483,2.945347,2.924247,2.929998,2.924223,2.926694,2.935045,2.907259
1935,2.930714,2.933265,2.943597,2.940635,2.907232,2.936877,2.923821,2.924559,2.952032,2.923755
1936,2.957189,2.927931,2.932177,2.924869,2.939360,2.942315,2.939440,2.956397,2.911682,2.916577
1937,2.930887,2.926730,2.925229,2.929854,2.947194,2.953390,2.929866,2.928075,2.949494,2.942174
1938,2.933340,2.907131,2.966046,2.944942,2.929572,2.920968,2.943868,2.919770,2.909049,2.919765
1939,2.951943,2.939127,2.952727,2.945039,2.917379,2.939733,2.922355,2.919863,2.941529,2.923112
1940,2.946885,2.926278,2.934888,2.936596,2.940229,2.932065,2.908046,2.911863,2.930430,2.936454
1941,2.915489,2.938000,2.938417,2.933757,2.937147,2.934919,2.915276,2.950001,2.912451,2.931771
1942,2.932813,2.904271,2.940855,2.937407,2.918361,2.925643,2.927790,2.962914,2.949055,2.919884
1943,2.944949,2.928765,2.917049,2.940600,2.933798,2.943337,2.922615,2.944615,2.936473,2.925392
1944,2.928879,2.929774,2.921918,2.934941,2.932575,2.920760,2.950167,2.935177,2.945202,2.909849
1945,2.907774,2.955337,2.933264,2.931964,2.922696,2.954587,2.944375,2.918692,2.951582,2.959600
1946,2.926115,2.909164,2.920301,2.932193,2.927207,2.936743,2.932715,2.936910,2.942421,2.934118
1947,2.899950,2.959428,2.930239,2.902433,2.937678,2.933813,2.915629,2.924929,2.939485,2.921440
1948,2.937422,2.905652,2.922435,2.939287,2.936755,2.902858,2.960112,2.947775,2.941235,2.928932
1949,2.887612,2.907422,2.931641,2.916066,2.923487,2.939400,2.948772,2.918517,2.938220,2.915971
1950,2.923162,2.918297,2.924025,2.931276,2.923139,2.909555,2.930185,2.931353,2.933594,2.930561
1951,2.942457,2.915036,2.886790,2.893777,2.922183,2.967844,2.962723,2.946101,2.949366,2.908556
1952,2.899435,2.955212,2.907669,2.928691,2.952584,2.929536,2.927298,2.913964,2.939048,2.932467
1953,2.924549,2.915258,2.935473,2.936605,2.916987,2.930842,2.950511,2.934535,2.930718,2.932480
1954,2.899415,2.908830,2.911380,2.921821,2.910651,2.946148,2.923068,2.952956,2.903926,2.940393
1955,2.947857,2.924764,2.947740,2.930699,2.919876,2.947382,2.923889,2.954338,2.907670,2.929783
1956,2.911737,2.936603,2.913553,2.937143,2.925700,2.894103,2.919440,2.942186,2.932732,2.927473
1957,2.931538,2.909183,2.900182,2.915528,2.923573,2.913464,2.915902,2.952373,2.914479,2.908256
1958,2.948067,2.924022,2.918463,2.911665,2.913576,2.916173,2.909325,2.926199,2.922621,2.905883
1959,2.951898,2.929623,2.934679,2.932322,2.920722,2.945737,2.906142,2.891504,2.906656,2.919617
1960,2.921677,2.888126,2.904340,2.937128,2.916487,2.949077,2.899527,2.941773,2.939538,2.925977
1961,2.931114,2.909961,2.931152,2.936006,2.933961,2.922108,2.909503,2.891564,2.928604,2.910917
1962,2.934245,2.954089,2.930640,2.908634,2.917115,2.924527,2.915945,2.912780,2.895898,2.963992
1963,2.934572,2.923015,2.929245,2.932817,2.896330,2.918354,2.900188,2.908475,2.920607,2.909859
1964,2.896279,2.911528,2.924561,2.910364,2.925275,2.927099,2.941378,2.950537,2.934577,2.905591
1965,2.927538,2.923694,2.897527,2.923877,2.894700,2.903670,2.929338,2.924092,2.905521,2.906680
1966,2.918007,2.916572,2.909721,2.943577,2.921343,2.907708,2.910038,2.926307,2.917412,2.937890
1967,2.911301,2.945389,2.904995,2.939739,2.926117,2.915684,2.883308,2.948084,2.907398,2.943726
1968,2.924294,2.937127,2.932642,2.926436,2.911214,2.920414,2.896005,2.935616,2.919546,2.931910
1969,2.918825,2.936031,2.906228,2.914592,2.924564,2.931590,2.918436,2.936890,2.922213,2.943663
1970,2.945648,2.911143,2.918830,2.917547,2.940653,2.927313,2.879586,2.906550,2.903605,2.916659
1971,2.917748,2.905974,2.934372,2.921775,2.947310,2.912953,2.947553,2.926336,2.890754,2.921486
