year,LE2-1231.001,LE2-1231.002,LE2-1231.003,LE2-1231.004,LE2-1231.005,LE2-1231.011,LE2-1231.012,LE2-1231.013,LE2-1231.014,LE2-1231.015
2015,2.946228,2.954730,2.997237,2.953992,2.965866,2.937453,2.946760,2.939838,2.938311,2.982343
2016,2.962910,2.948351,2.951207,2.954246,3.009253,2.946370,2.966387,2.949137,2.927160,2.933882
2017,2.986796,2.940875,2.938241,2.965728,2.976960,2.959634,2.968151,2.967141,2.944873,2.933415
2018,2.945228,2.983711,2.962887,2.951249,2.949490,2.960797,2.964660,2.954623,2.984241,2.954461
2019,2.952388,2.955705,2.956240,2.969514,2.958140,2.966269,2.945597,2.969331,2.928050,2.975787
2020,2.949012,2.985169,2.958593,2.947856,2.985580,2.973437,2.960147,2.957071,2.934811,2.945210
2021,2.952616,2.988556,2.927609,2.956621,2.960254,2.937393,2.980145,2.968310,2.963380,2.960236
2022,2.979948,2.948022,2.950268,2.979420,2.948741,2.937792,2.957122,2.977572,2.965442,2.981084
2023,2.931249,2.956473,2.973311,2.939292,2.978969,2.966720,2.951451,2.966753,2.945775,2.973310
2024,2.954307,2.986532,2.957745,2.939804,2.959922,2.960574,2.952656,2.964912,2.930841,2.963231
2025,2.975383,2.949701,2.945760,2.972985,2.978372,2.960172,2.997719,2.992194,2.927707,2.980630
2026,2.945570,2.943398,2.961990,2.968915,2.974728,2.973182,2.975867,2.958105,2.952765,2.958834
2027,2.931481,2.951468,2.979250,2.964651,2.960514,2.975955,2.965928,2.961231,2.968889,2.955370
2028,2.951086,2.982450,2.990908,2.941338,2.955149,2.966632,2.952092,2.990799,2.988925,2.972611
2029,2.988533,2.975690,2.943051,2.962882,2.996081,2.957360,2.977463,3.001899,2.949708,2.968198
2030,2.976837,2.953254,2.969958,2.971152,2.959566,2.972596,2.992276,2.955662,2.933926,2.987652
2031,2.980215,2.963462,2.989594,2.966999,2.975417,2.969959,2.960007,2.956252,2.962739,2.953825
2032,2.963840,2.967509,2.963033,2.971056,3.001885,2.974383,2.968677,2.991954,2.968515,2.975672
2033,2.939535,2.984427,2.957185,2.974073,2.953350,3.009440,2.996998,2.996364,2.975312,2.950997
2034,2.970960,2.945726,2.991519,2.974712,2.957539,2.963996,2.961852,2.974186,2.960940,2.968669
2035,2.973909,2.951693,2.983458,2.966189,2.991225,2.962776,2.939285,2.967210,2.981317,2.994267
2036,2.990818,2.966460,2.970216,2.992362,2.988259,2.993814,2.988780,2.979836,2.966527,2.968507
2037,3.000932,2.986885,2.985649,2.978716,2.981342,2.981055,2.992706,2.995134,2.959115,2.976659
2038,2.970300,3.020573,2.990538,2.980527,2.973715,2.981573,3.002193,3.004627,2.953292,2.988564
2039,2.955992,2.979897,3.003870,2.966046,2.960567,3.014300,2.966885,3.002961,2.961726,3.001276
2040,2.991093,2.982850,2.967800,2.977999,3.003297,2.967670,2.984258,2.989047,2.968588,2.977587
2041,3.021543,3.006493,2.991427,3.000484,3.000807,2.956696,2.974029,2.998044,2.999399,2.975728
2042,2.970840,2.971751,3.011659,2.966270,2.982675,2.999985,3.005202,3.019653,2.984665,2.973950
2043,2.970892,2.989198,2.967712,2.977804,2.957216,2.982583,2.984496,2.967901,2.965599,3.006349
2044,3.008841,3.004348,2.964488,3.009109,3.000207,2.969639,2.993047,2.971768,2.971935,2.963393
2045,2.994131,2.998411,3.012797,2.986012,3.028763,2.988304,3.002578,2.975662,3.005982,3.014903
2046,3.001741,3.014278,2.992646,2.994080,2.980252,2.986069,2.986591,3.022230,2.983463,3.004348
2047,2.994484,2.991799,2.975934,3.001682,2.991752,3.000988,3.002624,3.003726,3.007611,3.005121
2048,3.031934,3.003781,3.016510,2.985021,3.025207,3.000245,3.023474,3.009583,2.968817,3.009360
2049,2.992226,3.024999,3.009766,3.003815,2.999413,2.991443,2.988176,2.995691,2.999158,2.986399
2050,3.021255,2.978694,2.980770,2.995820,2.986869,3.004389,3.003731,2.999396,3.021760,3.007283
2051,3.019367,3.002856,3.015287,2.986215,3.012288,2.997769,3.000548,3.021006,2.984499,3.040594
2052,2.997863,3.021864,3.021101,3.006768,3.006596,3.017442,3.032725,2.996116,3.013610,2.980878
2053,2.978286,3.004058,3.020583,3.024117,3.028388,3.008286,2.984774,3.008804,2.996865,2.996682
2054,3.019469,3.022844,3.008249,2.989338,3.035320,3.013899,3.012879,3.029376,2.997668,3.020910
2055,3.049492,3.023164,3.016420,2.991345,2.999282,2.993985,3.041029,3.011151,2.999760,3.026081
2056,3.005692,3.006476,3.035446,3.001710,3.020522,2.993305,3.000559,3.022420,3.002268,3.016614
2057,2.993885,3.035267,3.029873,3.026396,2.998179,3.035367,3.012684,3.030039,3.015842,3.025182
2058,3.031195,3.010438,3.027001,3.025093,3.014827,3.018789,3.058168,3.015817,3.011598,3.040999
2059,3.035903,3.018469,3.016901,3.005612,3.049779,3.024418,2.992694,3.034924,3.040984,3.027449
2060,3.041360,3.019566,3.022740,3.031175,3.001122,3.020666,2.987465,3.043172,3.018391,3.002191
2061,3.010439,3.025411,3.032217,3.029988,3.000232,3.024617,3.036814,3.024254,3.030360,3.036683
2062,3.028428,3.026615,3.026197,3.018038,3.045168,3.026736,3.029437,3.012512,3.020087,3.031903
2063,3.033071,3.024884,3.057213,3.025578,3.021251,3.038179,3.026891,3.031864,3.042797,3.053144
2064,3.031088,3.029946,3.023778,2.999108,3.023168,3.029317,3.015352,3.028265,3.000683,3.020997
2065,3.056241,3.049365,3.031522,3.032918,3.045466,3.014876,3.028027,3.045623,2.993841,3.030853
2066,3.024659,3.024690,3.063852,3.047546,3.048854,3.027468,3.045772,3.030673,3.048220,3.054703
2067,3.041630,3.036226,3.030755,3.039862,3.050443,3.039602,3.034096,3.047460,3.039102,3.052450
2068,3.048435,3.048894,3.058941,3.025736,3.040175,3.049978,3.048016,3.043309,3.033170,3.025406
2069,3.048327,3.022688,3.069106,3.034705,3.076018,3.015942,3.041514,3.046189,3.052619,3.059804
2070,3.044290,3.055439,3.017272,3.047785,3.018702,3.050653,3.045692,3.040518,3.052403,3.028961
2071,3.054121,3.058045,3.037697,3.017117,3.043714,3.041220,3.014178,3.044025,3.044734,3.041434
2072,3.055779,3.046980,3.059835,3.042146,3.068453,3.045916,3.039396,3.061935,3.047884,3.060092
2073,3.041588,3.027554,3.051685,3.054100,3.066959,3.052009,3.088479,3.037955,3.041338,3.051377
