year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
2015,2.956740,2.962976,2.937236,2.939478,2.918242,2.963193,2.949515,2.944716,2.962845,2.930074
2016,2.982592,2.929168,2.957680,2.948679,2.929616,2.955412,2.937023,2.959925,2.952750,2.969282
2017,2.952163,2.945957,2.963785,2.923970,2.947926,2.940121,2.960388,2.945599,2.961886,2.932998
2018,2.975024,2.937217,2.947130,2.965810,2.942831,2.908693,2.931487,2.935073,2.959594,2.953319
2019,2.938069,2.940841,2.956564,2.932798,2.962644,2.917072,2.952570,2.906047,2.962727,2.939419
2020,2.951895,2.980539,2.954324,2.973005,2.968675,2.932259,2.956049,2.995089,2.968024,2.965051
2021,2.974091,2.955065,2.934493,2.939223,2.965665,2.976256,2.946656,2.938909,2.952429,2.933019
2022,2.926587,2.965072,2.970012,2.955691,2.929895,2.982223,2.941573,2.974290,2.971970,2.942509
2023,2.970746,2.963595,2.972491,2.957498,2.926201,2.935393,2.943013,2.964074,2.938041,2.918979
2024,2.976310,2.975166,2.944977,2.925325,2.935928,2.959034,2.966455,2.950641,2.917142,2.955004
2025,2.968294,2.973344,2.964585,2.964337,2.955397,2.945359,2.958408,2.948640,2.959593,2.969049
2026,2.958867,2.919357,2.973555,2.962746,2.949952,2.949571,2.970852,2.960839,2.969821,2.964666
2027,2.938805,2.924792,2.949948,2.946944,2.932813,2.962205,2.967953,2.967025,2.935970,2.947706
2028,2.960528,3.000762,2.960449,2.977081,2.933039,2.966271,2.968246,2.979980,2.952624,2.990732
2029,2.949246,2.974734,2.961765,2.985851,2.948812,2.968617,2.996535,2.961047,2.974506,2.965576
2030,2.956522,2.990190,2.975547,2.959516,2.977537,2.963590,2.986500,2.972700,2.961743,2.982257
2031,2.985145,2.953213,2.957031,2.935064,2.972214,2.974220,2.967716,2.945223,2.989996,2.990782
2032,2.969295,2.944482,2.987081,3.002536,2.969085,2.959801,3.006878,2.950060,2.982758,2.960313
2033,2.968114,2.993755,2.965682,2.972989,2.971236,2.986637,2.989628,2.958183,3.004304,2.988186
2034,2.966604,2.962783,2.974617,2.945694,2.981366,2.988416,2.950182,2.953795,2.955158,2.985697
2035,2.979643,2.978416,2.998499,2.964389,2.989274,2.963201,2.953157,2.977914,2.958602,2.965391
2036,2.988542,2.974645,3.011756,2.991895,2.975866,2.974527,2.967241,2.948363,2.999870,2.997137
2037,3.004025,2.969519,2.952786,2.976256,2.988594,2.987752,3.011895,3.003369,2.987563,2.973815
2038,2.961971,2.992872,2.963060,2.970180,2.990938,2.963319,2.986634,2.987057,2.963659,2.957858
2039,3.007901,3.004038,3.015807,2.995235,2.972373,2.983098,2.981874,2.992308,2.987687,2.993456
2040,2.988749,2.972978,2.972736,3.006386,2.982330,2.996746,2.990056,3.006870,2.979693,3.002784
2041,2.985528,2.991432,2.974348,2.971043,2.964997,2.974435,2.977801,2.981182,2.988178,2.984414
2042,2.955217,3.021322,2.992932,3.017882,3.003269,3.005524,3.014037,3.000970,2.992103,2.988982
2043,2.973948,2.990566,2.970024,2.975870,3.032014,2.965734,3.018728,2.999587,2.977859,2.962757
2044,3.017197,2.991622,2.988571,2.994107,2.995164,2.998671,2.989349,2.997239,2.995875,3.008860
2045,3.003123,2.975209,2.985958,3.026111,3.006291,2.996577,3.036128,2.954633,2.976264,3.003953
2046,2.982664,3.005304,2.987214,2.986060,3.054165,2.995982,2.993206,2.976716,3.006924,3.007880
2047,2.995524,2.976053,3.001327,3.028666,2.986347,3.023768,2.970169,3.017928,2.983544,3.026959
2048,3.025640,2.986236,3.025691,2.972625,2.960556,2.979662,3.018759,2.995139,3.017579,2.988104
2049,2.988042,2.987833,3.018781,3.006674,3.010055,3.041308,3.001785,3.030421,3.000476,3.020572
2050,2.980036,3.028617,3.016177,3.011349,3.016345,2.993288,2.985071,2.988839,3.031525,2.970884
2051,2.979626,2.995484,3.015431,2.965870,2.968877,2.985647,2.998692,2.985408,2.975864,3.011610
2052,2.967743,3.019689,3.015921,2.969653,3.034582,3.010283,3.001577,3.015107,3.021117,2.990631
2053,2.998937,3.000806,2.999159,3.022185,2.988829,2.988757,3.007655,2.991480,2.996674,2.987828
2054,2.989846,2.976299,3.024427,3.008234,3.018394,3.019884,3.001099,3.006770,3.054855,2.985859
2055,3.015022,2.988401,3.025387,2.996724,3.003016,2.996888,2.997283,2.977159,2.989504,3.036579
2056,2.992202,3.019632,2.970499,3.053323,3.002966,3.020547,3.024632,2.960405,3.023313,3.038430
2057,3.031601,3.032528,3.015415,3.029732,3.037098,3.023695,3.029202,3.041854,2.985850,3.018537
2058,3.017920,3.032426,3.008629,2.995510,2.988375,2.983530,3.062888,2.992398,3.003386,3.019162
2059,3.027180,2.997713,3.011739,3.013909,2.995955,2.993816,3.018453,2.984893,3.018415,2.996629
2060,2.999653,3.006645,3.034860,3.049314,3.010392,3.004481,3.005912,3.042193,3.018844,3.023494
2061,3.036396,3.009986,3.016763,3.026756,2.999127,3.009458,3.044148,3.004071,3.045993,3.002887
2062,3.019058,3.039836,3.020577,3.002734,2.991440,3.005048,3.037218,3.040923,2.995335,3.051554
2063,3.022582,3.044326,3.024086,3.032345,3.014581,3.011641,3.018607,3.049983,2.993557,3.076725
2064,3.020786,3.030770,3.027595,3.037321,3.028794,3.030377,3.073917,3.044657,3.008177,3.010928
2065,2.986659,3.049764,3.012416,3.003572,3.040424,3.039054,2.996383,3.068253,3.073668,3.045747
2066,3.030979,3.066889,3.026693,3.008111,3.052241,3.051370,3.068403,3.021712,3.058732,3.007707
2067,3.031711,3.034835,3.034017,3.041200,3.028951,3.047809,3.055682,3.024493,3.017532,3.043838
2068,3.065345,3.045323,3.037182,3.067663,3.053782,3.033865,3.031727,3.012232,3.021022,3.037093
2069,3.029743,2.993190,3.048509,3.044640,3.060322,3.018851,3.013833,3.024715,3.030077,3.028545
2070,3.065967,3.068779,3.035319,3.036129,3.042940,3.068511,3.022567,3.064993,3.055723,3.053615
2071,3.008237,3.022318,3.054246,3.035302,3.042238,3.045181,3.031116,3.045211,3.037862,3.068354
2072,3.042790,3.059690,2.996767,3.032913,3.062244,3.041991,3.069895,3.029272,3.005666,3.050846
2073,3.001600,3.002499,3.065847,3.024612,3.073400,3.043375,3.043567,3.039313,3.053522,3.064088
2074,3.075989,3.088787,3.044302,3.094828,3.039492,3.031214,3.059928,3.052424,3.040216,3.022707
2075,3.063902,3.103960,3.041821,3.060511,3.033035,3.053276,3.025728,3.013909,3.049024,3.036603
2076,3.066148,3.059180,3.037355,3.043917,3.032027,3.050406,3.026098,3.036278,3.057886,3.045704
2077,3.060984,3.041911,3.038782,3.065195,3.062139,3.050628,3.084900,3.103898,3.054215,3.056156
2078,3.053414,3.051453,3.074916,3.063774,3.084992,3.042417,3.075081,3.051242,3.083625,3.052870
2079,3.084064,3.050825,3.084930,3.026125,3.050716,3.113282,3.080505,3.086541,3.099361,3.069826
2080,3.100930,3.054225,3.081807,2.992587,3.077887,3.100314,3.079729,3.049868,3.032881,3.039807
2081,3.085338,3.064036,3.054281,3.053090,3.086989,3.071022,3.053129,3.054759,3.060434,3.097270
2082,3.051435,3.098275,3.049061,3.080748,3.088330,3.051238,3.099632,3.056381,3.084402,3.052031
2083,3.051257,3.061212,3.090193,3.067056,3.074860,3.066958,3.065235,3.087820,3.069445,3.090574
2084,3.051806,3.070372,3.068399,3.082723,3.086310,3.076651,3.089291,3.099989,3.082499,3.100439
2085,3.087623,3.065141,3.059919,3.044030,3.047191,3.079154,3.094127,3.063533,3.093681,3.046614
2086,3.066188,3.099626,3.079547,3.042610,3.059880,3.057185,3.087397,3.037236,3.067983,3.063036
2087,3.044445,3.063781,3.090006,3.070867,3.076259,3.065148,3.072031,3.097714,3.091303,3.068707
2088,3.086968,3.061575,3.090681,3.050768,3.058823,3.087895,3.051122,3.094295,3.104446,3.090110
2089,3.077677,3.104458,3.081386,3.094697,3.084305,3.061665,3.073322,3.064070,3.094311,3.098653
2090,3.065024,3.069672,3.126078,3.056491,3.064086,3.118722,3.053472,3.078147,3.099254,3.088127
2091,3.096401,3.082157,3.137252,3.100559,3.073115,3.122978,3.077427,3.080055,3.066176,3.099006
2092,3.112224,3.078815,3.125971,3.115612,3.079180,3.091973,3.113441,3.108994,3.075962,3.095288
2093,3.110171,3.120267,3.085401,3.078282,3.108457,3.111674,3.099225,3.081687,3.122771,3.095708
2094,3.043747,3.111506,3.067641,3.097645,3.086160,3.105706,3.064291,3.099029,3.082810,3.090927
2095,3.089331,3.117870,3.087150,3.103214,3.127345,3.093768,3.082432,3.089292,3.094130,3.070652
2096,3.055630,3.084133,3.103932,3.106580,3.085600,3.095233,3.103859,3.085666,3.094648,3.105772
2097,3.095615,3.135605,3.105095,3.125610,3.097751,3.124245,3.086666,3.117991,3.092856,3.125442
2098,3.101758,3.081625,3.117599,3.097692,3.091811,3.080153,3.111069,3.126526,3.079337,3.084066
2099,3.073414,3.114461,3.097214,3.065216,3.103532,3.087556,3.071975,3.119645,3.120690,3.078657
2100,3.123589,3.066891,3.112731,3.131852,3.111033,3.109620,3.145919,3.100053,3.122035,3.111308
