year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
1850,14.022446,14.062519,13.915159,14.032825,13.991478,13.940116,13.831273,13.717019,14.038958,13.815193,13.907901
1851,13.892294,13.734463,14.010210,14.004154,13.629367,14.177204,14.088463,14.129027,13.984408,14.029176,14.053485
1852,13.861448,14.075033,14.090991,13.806383,13.831531,14.114791,14.100289,14.006209,13.952845,13.883532,13.937421
1853,13.822656,14.033908,13.772763,13.966690,13.794185,13.865291,13.760543,13.749503,14.065413,14.251505,14.125447
1854,13.907811,14.006311,13.742431,13.897117,13.952954,13.773700,13.835933,13.943361,14.134905,14.067639,14.048369
1855,13.998086,14.156258,13.998701,13.933100,13.759606,13.777562,14.067433,13.966503,13.798424,14.036178,14.195782
1856,13.901976,13.842512,13.810940,13.817159,13.976465,14.077322,13.811751,13.825359,14.048122,13.748037,13.963410
1857,13.859227,14.037192,13.939045,13.981434,13.832115,13.960901,13.861882,14.118960,14.112225,14.111269,13.992312
1858,13.946043,14.114402,14.105683,13.938995,13.808439,13.864527,13.740345,13.989989,13.978907,14.011231,14.035968
1859,14.112560,13.996957,13.754288,13.827080,14.016933,14.080646,13.983148,14.196948,13.794212,14.026702,13.987118
1860,13.880126,13.952761,14.043241,13.995115,13.842699,13.907397,14.005951,13.725241,13.971215,13.743149,13.858589
1861,13.864149,13.924993,13.873613,14.111316,13.878796,14.003759,13.870796,13.870265,14.135424,13.858991,13.832641
1862,13.900443,13.844529,13.855100,13.898896,13.755868,13.777234,14.162893,13.976929,13.791843,13.865827,13.904687
1863,13.949227,14.024216,13.976801,13.995381,13.982459,14.128920,13.939338,13.920614,13.862141,14.193230,13.989969
1864,13.657801,14.000258,13.973462,13.896619,13.847620,14.078346,13.947660,13.968612,13.906715,13.873842,13.939825
1865,13.648359,14.072628,14.096565,13.905352,14.008421,13.739857,14.251222,14.095378,13.999879,13.978636,13.730166
1866,13.995355,14.035570,13.701163,13.760136,13.902863,13.864626,13.887610,13.813598,13.779016,13.993966,13.813396
1867,13.906924,13.700402,14.255107,14.123295,13.909628,14.193041,14.243934,14.040441,14.106233,13.614455,13.904134
1868,13.805915,13.987606,13.722651,13.879378,14.107235,14.049749,13.973347,13.862114,13.892760,13.962893,13.987619
1869,13.986777,13.772656,14.112127,13.679864,13.909263,13.999707,13.875431,13.779904,13.798472,14.068572,14.058898
1870,13.986849,13.904886,13.899416,14.014895,14.036591,13.965647,13.752699,13.882025,13.740805,14.096305,13.808872
1871,13.929840,14.010336,13.936351,13.698535,13.962854,13.768342,13.803524,14.010802,14.108471,13.938180,14.160211
