year,m1,m2,m3,m4,m5,m6
1850,14.082967,14.086030,13.981607,14.088128,14.057725,14.008363
1851,13.958425,13.794515,14.076767,14.068650,13.697736,14.229683
1852,13.917006,14.143835,14.135001,13.875766,13.903366,14.180173
1853,13.893192,14.093658,13.846843,14.030781,13.876693,13.942722
1854,13.977483,14.068985,13.817125,13.968464,14.025911,13.848183
1855,14.080378,14.219057,14.065464,14.013347,13.845500,13.841283
1856,13.985796,13.914745,13.888616,13.892684,14.049957,14.150909
1857,13.922255,14.120123,14.017922,14.051061,13.902030,14.031248
1858,14.025136,14.179756,14.172911,14.010042,13.880830,13.943479
1859,14.181863,14.078951,13.828727,13.907833,14.091564,14.152478
1860,13.946337,14.021784,14.115768,14.066942,13.913784,13.981943
1861,13.945085,13.992095,13.947324,14.176142,13.951908,14.078820
1862,13.965204,13.914295,13.933117,13.968661,13.830104,13.857257
1863,14.030811,14.097795,14.065312,14.066502,14.064628,14.200450
1864,13.744518,14.068778,14.048769,13.966137,13.936571,14.157207
1865,13.740169,14.136734,14.165304,14.003420,14.080512,13.828875
1866,14.069247,14.103481,13.790771,13.848253,13.988313,13.948396
1867,13.988561,13.784419,14.331937,14.198832,14.002382,14.274770
1868,13.897530,14.084827,13.806376,13.969261,14.205992,14.138886
1869,14.075473,13.869153,14.196844,13.774530,13.996210,14.076132
1870,14.071552,14.003371,13.986581,14.108266,14.126159,14.057349
1871,14.019649,14.107835,14.044246,13.794427,14.062672,13.871375
1872,14.114553,13.997881,13.816018,13.995526,14.042464,14.058438
1873,13.985952,14.287752,13.952589,13.902684,13.940754,13.991049
1874,14.282322,14.093697,14.077308,14.156080,13.894082,13.725119
1875,14.021489,14.048145,14.122083,13.883279,13.899071,13.868541
1876,13.965257,14.053630,13.955359,14.136764,13.929959,14.044652
1877,13.836993,13.856034,14.202632,14.119595,14.050649,14.010785
1878,14.081674,13.845667,13.850887,13.980837,13.958066,13.954328
1879,14.078607,14.072520,14.161714,13.963182,13.988835,13.741180
1880,14.085965,13.823762,14.139487,14.138559,14.089021,13.942418
1881,14.002161,13.904684,14.051891,13.996270,14.351885,14.059233
1882,14.068568,13.832256,14.150454,14.215300,14.052662,14.295641
1883,14.097816,14.101066,14.019620,14.097399,14.164678,13.853259
1884,14.033412,14.116764,14.170597,13.973923,14.015589,14.240211
1885,14.028755,13.959498,14.191382,13.815570,13.838210,14.166111
1886,14.069081,14.333682,13.937945,13.945121,14.011939,14.002637
1887,13.864906,14.073355,14.128879,14.045508,13.916525,14.238378
1888,14.130775,14.124045,14.094146,14.213261,14.075452,14.011327
1889,13.823673,13.857830,14.177865,13.929640,14.089450,14.141302
1890,13.952670,13.933171,13.871198,14.135014,14.044375,13.938542
1891,14.026226,14.085573,14.183644,14.086218,14.101924,13.830351
1892,13.982458,13.967467,14.106520,13.985862,14.053528,14.175958
1893,14.095482,14.105669,14.080479,14.183217,14.060287,14.070597
1894,13.968378,13.935790,14.251017,14.201516,13.970226,13.983817
1895,13.997150,13.834413,14.159656,14.155676,14.055376,14.209505
1896,14.115732,14.085834,14.079322,14.243391,14.101098,14.033861
1897,14.067705,14.242703,14.195342,13.920598,13.965960,14.130735
1898,13.921728,14.232613,14.047753,14.038372,13.976598,13.910004
1899,13.959304,14.089787,14.196125,14.061836,13.812357,14.229210
1900,13.957861,14.146970,13.828193,14.196179,14.337381,14.069796
1901,13.975690,14.168283,14.030236,14.122211,14.102362,14.209260
1902,14.170324,14.236602,14.149354,14.248879,13.911827,13.984010
1903,13.969387,14.061757,14.293409,14.156863,14.231640,14.321286
1904,14.017881,14.034253,14.170292,14.169341,14.635112,14.023345
1905,14.250493,14.109266,14.149514,14.021246,14.092936,14.179815
1906,14.027164,14.165522,14.055993,14.022893,14.076926,14.116236
1907,14.110293,14.119455,14.167554,14.207865,14.077621,13.989078
1908,14.111110,14.155375,14.236705,14.139255,14.222556,13.976372
1909,14.056838,14.024425,14.138552,14.161207,14.108057,14.129185
1910,14.127838,14.382964,14.152813,14.299698,14.358640,14.164365
1911,14.198181,14.071642,13.977016,14.236667,14.081606,14.166853
1912,14.134587,14.238490,14.089824,13.815610,14.174298,14.015893
1913,14.097157,14.346733,14.267760,14.212453,14.231172,14.115025
1914,14.103629,14.104221,14.317251,13.890970,14.429973,14.306044
1915,14.011766,13.961624,14.100836,13.844364,14.431419,14.219589
1916,14.357390,14.248354,14.264379,14.068633,14.320791,14.219884
1917,14.261706,14.136343,14.159014,14.483273,14.156648,14.262279
1918,14.089789,14.186555,14.076911,14.120754,14.144395,14.356830
1919,14.150102,14.162570,14.168132,14.272632,14.169690,14.207292
1920,14.305812,14.243757,14.284657,14.124901,14.202141,14.301961
1921,14.020930,14.353547,14.125189,14.238210,14.175222,14.235009
1922,14.126342,14.317497,14.234929,14.112713,14.121536,14.541933
1923,14.386328,14.105578,14.268950,14.288449,14.164187,14.336795
1924,14.227961,14.179164,14.308439,14.315797,14.173580,14.281173
1925,14.113621,14.174528,14.420796,14.286128,14.140951,14.178019
1926,14.362713,14.025331,14.335691,14.222699,14.086690,14.209448
1927,14.437087,14.203685,14.270319,14.194595,14.232365,14.180171
1928,14.229902,14.105057,14.193955,14.060843,14.435277,14.341706
1929,14.301366,14.374258,14.254243,14.498740,14.128157,14.346728
1930,14.406859,14.262706,14.087025,14.128314,14.179148,14.259698
1931,14.336541,14.346048,14.257774,14.225722,14.186981,14.326153
1932,14.318676,14.246849,14.243826,14.345856,14.080508,14.085524
1933,14.056327,14.176343,14.453822,14.300904,14.355553,14.117302
1934,14.139881,14.138015,14.069434,14.212464,14.420882,14.026015
1935,14.410962,14.219644,14.459985,14.278245,14.139752,14.434713
1936,14.346693,14.104823,14.152573,14.347134,14.456287,14.428634
1937,14.190865,14.288911,14.144239,14.379393,14.296744,14.133758
1938,14.316696,14.230688,14.518760,14.665177,14.192780,14.209443
1939,14.391166,14.373524,14.397373,14.414259,14.157685,14.477672
1940,14.397922,14.465389,14.343492,14.314164,14.429531,14.481603
1941,14.484614,14.221061,14.257925,14.476749,14.277926,14.424544
1942,14.158371,14.388281,14.296457,14.257333,14.585626,14.325025
1943,14.587300,14.345971,14.210986,14.365265,14.462633,14.473182
1944,14.316611,14.269896,14.378996,14.350759,14.185809,14.351116
1945,14.158457,14.259928,14.522343,14.293880,14.204210,14.425031
1946,14.463557,14.474861,14.264951,14.399785,14.339517,14.378328
1947,14.345784,14.572126,14.430881,14.351432,14.387781,14.448292
1948,14.468909,14.422872,14.345534,14.801482,14.326294,14.227154
1949,14.248251,14.337762,14.185826,14.368125,14.646758,14.576576
1950,14.220670,14.589105,14.460865,14.348413,14.489454,14.408307
1951,14.432850,14.425759,14.389712,14.382512,14.485143,14.317905
1952,14.293219,14.445376,14.433553,14.403303,14.549921,14.582938
1953,14.681411,14.215507,14.426760,14.467049,14.407609,14.201594
1954,14.212967,14.181506,14.628624,14.215441,14.407402,14.733596
1955,14.567086,14.528134,14.334519,14.481757,14.420091,14.604327
1956,14.316413,14.572682,14.429138,14.283172,14.661604,14.248877
1957,14.425606,14.359032,14.238955,14.417853,14.456565,14.583913
1958,14.615587,14.511595,14.518803,14.459747,14.257065,14.348032
1959,14.500679,14.428972,14.476985,14.541751,14.332433,14.659143
1960,14.492298,14.347141,14.628550,14.616975,14.356691,14.529120
1961,14.425910,14.293784,14.356319,14.423374,14.350544,14.547442
1962,14.378584,14.474186,14.476222,14.471128,14.464829,14.538896
1963,14.539174,14.479491,14.491283,14.378076,14.628556,14.440182
1964,14.363342,14.435247,14.494833,14.460514,14.548397,14.534812
1965,14.523104,14.366305,14.561756,14.357491,14.269583,14.335356
1966,14.465779,14.356561,14.514850,14.421966,14.629984,14.274480
1967,14.571038,14.709832,14.432114,14.618677,14.664642,14.547965
1968,14.286544,14.859633,14.547809,14.494401,14.510675,14.619142
1969,14.602258,14.697597,14.216338,14.396512,14.335858,14.610181
1970,14.376465,14.731782,14.587440,14.509472,14.578093,14.481615
1971,14.608076,14.474642,14.433143,14.530039,14.676326,14.402383
1972,14.568030,14.727808,14.365712,14.785316,14.424249,14.536280
1973,14.357990,14.517904,14.653811,14.305147,14.490446,14.722396
1974,14.399465,14.753653,14.529335,14.799484,14.547466,14.519204
1975,14.577694,14.589680,14.581511,14.557904,14.549395,14.644166
1976,14.419905,14.599057,14.652571,14.777182,14.516136,14.743296
1977,14.358470,14.385823,14.781194,14.479103,14.598357,14.622995
1978,14.508953,14.720849,14.488315,14.727592,14.737607,14.589349
1979,14.709045,14.413126,14.677618,14.734464,14.428100,14.614358
1980,14.492900,14.697475,14.677967,14.872110,14.700745,14.812680
1981,14.920970,14.923505,14.760810,14.699765,14.770223,14.684295
1982,14.786616,14.762043,14.929702,14.610199,14.905867,14.655804
1983,14.697531,14.764055,14.991098,14.692184,14.742083,14.760825
1984,14.943471,14.735884,14.632526,14.996100,14.737162,14.724736
1985,14.930976,14.705209,15.025136,15.021891,14.789525,14.802520
1986,14.704584,14.851880,14.680749,14.816179,14.691219,15.024908
1987,14.919410,14.757195,14.998390,14.814820,14.855114,14.677960
1988,14.808999,14.993559,15.150930,15.106563,14.895415,15.045665
1989,15.035142,14.824893,14.844139,15.297131,14.760791,14.984765
1990,14.945862,14.823278,15.208204,15.023322,14.983526,15.207829
1991,14.844504,14.876876,14.834149,14.767537,14.806320,14.817381
1992,15.050553,15.002637,15.149568,14.995123,14.906397,15.039915
1993,15.033278,14.876468,14.861938,15.134322,15.017050,14.973669
1994,14.884248,15.152181,15.036815,15.043949,14.907899,15.005519
1995,15.008715,14.956375,14.912992,14.949547,14.939506,15.178437
1996,15.117966,15.005868,15.175819,15.232809,15.004672,15.004759
1997,15.340968,14.893020,15.109313,15.335312,15.179418,15.306239
1998,14.991712,15.176220,15.255647,15.233720,15.003710,15.110801
1999,14.924956,15.007740,15.111927,15.223990,15.038029,15.207751
2000,15.070739,15.243416,15.360376,15.018204,15.327634,15.101723
2001,15.218952,15.152682,14.941391,15.312111,15.246161,15.062287
2002,15.025387,15.100980,15.182892,15.148567,15.343782,15.223443
2003,15.335237,15.250263,15.153055,15.343177,15.373704,15.187478
2004,15.414055,15.296854,15.298059,15.323221,15.360149,15.250848
2005,15.526208,15.214375,15.037847,15.219453,15.345615,15.408555
2006,15.388345,15.242196,15.233835,15.110476,15.611246,15.244854
2007,15.161430,15.309693,15.140776,15.295341,15.311123,15.442680
2008,15.358816,15.062533,15.540171,15.573480,15.563410,15.523772
2009,15.221509,15.198543,15.423548,15.239629,15.592314,15.242024
2010,15.108651,15.335235,15.245481,15.142047,15.466226,15.402970
2011,15.422797,15.159150,15.233276,15.529590,15.520327,15.405981
2012,15.245787,15.402615,15.177105,15.428565,15.620580,14.955274
2013,15.391385,15.479807,15.437085,15.355755,15.276023,15.460045
2014,15.497522,15.376063,15.528268,15.583839,15.395184,15.318163
2015,15.409960,15.518587,15.442348,15.375373,15.573254,15.310664
2016,15.214273,15.287481,15.421613,15.356673,15.498700,15.469793
2017,15.457462,15.504730,15.592724,15.268879,15.333503,15.585988
2018,15.732198,15.444115,15.471052,15.632287,15.377759,15.585137
2019,15.634727,15.608230,15.447118,15.445427,15.664524,15.438548
2020,15.680868,15.649167,15.643624,15.472895,15.415231,15.698493
2021,15.511257,15.550863,15.565823,15.705211,15.593421,15.748480
