year,LE2-1231.001,LE2-1231.002,LE2-1231.003,LE2-1231.004,LE2-1231.005,LE2-1231.011,LE2-1231.012,LE2-1231.013,LE2-1231.014,LE2-1231.015
1850,14.276064,14.378796,14.340440,14.234152,14.297869,14.285646,14.219359,14.204746,14.250518,14.339760
1851,14.127768,14.094271,14.353314,14.156419,14.293323,14.039554,14.062159,14.140856,14.141948,14.249066
1852,14.254269,14.181094,14.213113,14.110960,14.300427,14.134201,14.243538,14.402762,14.300311,14.141365
1853,14.126922,14.184634,14.026590,14.077602,14.070036,14.107990,14.101735,14.054288,14.257890,14.141944
1854,14.002588,13.898219,13.834092,13.981517,14.047619,14.056491,14.085765,13.977783,14.106786,14.078215
1855,13.924114,14.033586,14.060809,13.999368,14.029356,14.118147,14.140598,14.059123,14.126418,13.992183
1856,14.022459,13.936198,14.054470,13.971867,14.004184,14.163302,13.951199,14.098191,13.935510,14.100460
1857,14.079606,14.019500,14.017599,14.011449,13.966407,14.104627,13.921550,14.125309,14.083011,14.153954
1858,14.139551,14.219314,14.037707,13.973774,13.890674,14.134206,14.155682,14.153106,13.988753,14.227103
1859,14.271075,14.105109,14.084052,13.973449,13.961664,14.023397,14.209268,14.355676,13.976376,14.297708
1860,14.127551,14.194202,14.183288,14.018499,13.891334,14.254979,14.231466,14.352723,14.091237,14.254339
1861,13.943524,14.142730,14.151252,14.104501,13.868324,14.358660,14.221447,14.122312,14.160038,14.112649
1862,13.992996,13.936846,13.931617,14.095566,13.954618,14.217049,14.125998,13.891332,14.101316,13.987461
1863,13.992327,13.902184,13.996491,14.062230,13.861976,14.052152,13.989318,14.075834,14.275782,14.042409
1864,13.886276,14.072376,14.103545,14.059756,13.844450,14.099126,14.042439,14.207068,14.167156,14.218265
1865,13.900409,13.974360,14.085027,14.137151,13.934459,14.290531,14.087963,14.272083,14.028250,14.034039
1866,14.134388,14.074825,13.947070,14.328673,14.073135,14.277253,14.125194,14.142643,14.068058,14.246798
1867,14.151211,14.114802,13.878139,14.148875,14.164587,14.235106,14.171908,14.107756,14.078976,14.209148
1868,14.165489,14.258113,14.117193,14.055570,14.242409,14.359684,14.324043,14.187139,14.054966,13.918491
1869,14.168002,14.252156,14.071640,14.096461,14.131753,14.252206,14.183075,13.972364,14.026476,14.088136
1870,14.182624,14.221240,14.045125,14.089375,14.334301,14.275965,14.257927,13.935378,13.992298,14.244725
1871,14.114127,14.314944,14.079850,14.219423,14.215298,14.307605,14.512207,14.031730,14.062203,14.152657
1872,14.062226,14.208596,14.065749,14.253824,13.938250,14.336186,14.348177,14.276914,13.936346,14.203323
1873,14.090608,13.853798,14.175657,14.327825,14.104436,14.162332,14.236681,13.972887,13.944193,14.243433
1874,14.010176,14.032318,14.244919,14.221872,14.190692,14.326042,14.297810,13.989807,13.936071,14.378125
1875,14.050991,14.012620,14.117055,14.369962,14.007057,14.313561,14.418175,14.055245,14.186042,14.283305
1876,14.155451,13.985978,14.195688,14.312440,13.981637,13.879136,14.207332,13.956327,14.334003,14.108984
1877,14.298306,14.007605,14.262587,14.027759,14.158650,14.032781,14.091239,13.974480,14.435838,14.070681
1878,13.969990,13.987537,14.079701,14.089729,14.076062,14.161543,14.200099,14.101297,14.182162,14.054416
1879,14.065090,14.158295,14.147788,14.045783,14.013185,14.249169,14.071321,14.246465,14.157164,14.353393
1880,14.129073,14.100986,14.100412,14.117763,14.114618,14.110815,14.249471,14.140846,14.189119,14.103082
1881,14.248130,14.111186,14.121357,14.182469,14.173993,14.116506,14.462700,13.963560,14.158831,14.084658
1882,14.079860,14.084940,14.331959,14.232369,13.901776,14.296472,14.226328,14.083964,14.355024,14.235491
1883,13.879233,14.213395,14.380192,14.317751,14.049166,14.255474,14.116249,13.974981,14.101889,14.183185
1884,13.842614,14.044945,14.057066,14.172752,13.796259,14.136862,13.950017,13.590104,13.674381,13.940841
1885,13.910535,13.925110,14.011678,13.918841,13.678139,14.024368,13.915636,13.684083,13.840292,13.978853
1886,13.933754,13.818498,13.960134,13.934802,13.795235,14.028143,14.035974,13.823907,14.026958,14.113413
1887,14.025094,13.950129,14.085370,14.209442,13.920527,13.899658,14.046942,13.811146,14.288237,13.913648
1888,14.042156,13.974331,14.201106,14.288025,13.955982,13.959591,14.108110,14.065161,14.087869,13.782220
1889,13.933830,13.920707,14.154754,13.979266,14.102174,14.004339,14.198007,14.099389,13.937863,13.843785
1890,13.989176,13.942506,14.267638,13.843856,14.218853,13.948419,14.007941,14.114742,14.073097,14.008680
1891,14.070475,13.987020,14.063677,14.045596,14.071809,13.832445,13.994925,14.117975,14.208638,14.079284
1892,14.147815,14.270689,14.243586,14.122861,14.052628,14.082060,14.097722,14.077941,13.995062,14.062082
1893,14.122069,14.166903,14.115668,14.017658,14.183305,14.094185,14.082069,14.090658,14.084071,13.880194
1894,13.958714,14.232663,13.946299,14.177059,14.150485,13.896426,14.086792,14.350607,14.070611,13.998964
1895,13.823864,14.209577,14.028083,14.174584,14.146431,14.006155,14.120784,14.139937,14.060962,14.045961
1896,14.055337,14.249407,14.181428,14.161749,14.282755,13.858689,14.221176,14.080751,14.004972,14.192671
1897,14.042567,14.227193,14.071899,14.111157,14.268382,13.900330,14.215402,14.079675,14.009981,14.082367
1898,14.044059,14.227553,13.971403,14.248385,14.289046,13.944227,14.237706,14.207370,14.217112,14.172450
1899,14.108341,14.225246,13.974370,14.354204,14.250300,14.106953,14.264783,14.214263,14.096200,14.179668
1900,14.176799,14.309489,14.231563,14.276558,14.171442,13.994128,14.190711,14.285058,14.080360,14.289049
1901,14.086990,14.329134,14.132832,14.141133,14.118299,14.206607,14.072078,14.398638,14.122952,14.230801
1902,14.219100,14.334052,13.953978,14.110364,14.006081,14.270039,13.780073,14.145405,13.904226,14.125410
1903,14.006782,14.126523,13.967897,14.180946,13.999335,13.909680,13.866126,14.239476,13.872953,13.976749
1904,13.974425,14.112971,14.165913,14.145380,14.105894,14.061059,13.840599,14.065874,13.942762,14.181927
1905,14.194134,14.108219,14.115049,14.332318,14.219480,14.048121,13.751774,14.109704,14.030873,14.182588
1906,14.157495,14.145138,14.233268,14.123864,14.242149,13.779837,13.965007,14.208267,14.082922,13.950413
1907,13.996438,14.069355,14.244110,13.995665,14.200829,13.811191,14.039379,13.998378,13.993685,14.033911
1908,14.184722,14.107550,14.143836,14.003558,14.326643,13.953613,13.819094,13.960755,13.996777,14.072285
1909,14.205647,14.183249,14.125386,14.062979,14.197499,14.076482,13.797481,14.048987,13.887099,13.985047
1910,14.119810,14.308089,14.125274,14.003526,14.086742,14.091131,14.031887,13.979573,13.831815,14.064662
1911,14.136180,14.243705,14.234641,14.337483,14.024616,14.048499,14.071067,14.079365,14.035032,14.118960
