year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
1850,14.113143,14.117831,14.012036,14.119871,14.083003,14.031414,13.921262,13.811604,14.141472,13.892758
1851,13.982482,13.818113,14.103048,14.090568,13.722593,14.256319,14.179477,14.224744,14.061121,14.115209
1852,13.932999,14.161926,14.153128,13.896592,13.919317,14.200626,14.178798,14.076440,14.036174,13.967108
1853,13.912166,14.108694,13.863243,14.046355,13.895506,13.963614,13.852554,13.845888,14.147018,14.332507
1854,13.989448,14.081022,13.827111,13.982223,14.045691,13.860664,13.923571,14.022815,14.215361,14.144826
1855,14.096042,14.225825,14.073992,14.026197,13.851182,13.850570,14.138968,14.037625,13.897601,14.114133
1856,13.992459,13.917058,13.887985,13.894809,14.055476,14.151081,13.899416,13.899252,14.119628,13.838879
1857,13.927176,14.122575,14.019402,14.048954,13.905534,14.029116,13.928347,14.177081,14.187711,14.181021
1858,14.019630,14.176109,14.166941,14.006245,13.880284,13.938595,13.808373,14.062133,14.051908,14.080014
1859,14.176825,14.073469,13.825087,13.904754,14.090471,14.143906,14.052652,14.261900,13.872081,14.109106
1860,13.940814,14.018275,14.110826,14.059877,13.907433,13.976106,14.070650,13.797453,14.048612,13.809822
1861,13.936755,13.985448,13.937830,14.167627,13.944189,14.070914,13.916357,13.930327,14.185623,13.929153
1862,13.956390,13.903001,13.922181,13.957634,13.814849,13.841172,14.220638,14.041968,13.862654,13.930691
1863,14.015609,14.087625,14.049892,14.056389,14.050042,14.192804,13.997655,13.991821,13.929292,14.234053
1864,13.728260,14.054213,14.034524,13.953151,13.923932,14.144069,14.001550,14.029524,13.960470,13.932698
1865,13.720133,14.122827,14.148370,13.974170,14.066608,13.810198,14.311076,14.160973,14.056568,14.055781
1866,14.057118,14.085613,13.769224,13.833062,13.973382,13.932558,13.951191,13.888371,13.846417,14.046885
1867,13.965261,13.762183,14.308799,14.183824,13.978767,14.253141,14.293505,14.110586,14.166082,13.679899
1868,13.869855,14.054952,13.787609,13.941657,14.176718,14.113678,14.039793,13.925170,13.954333,14.025730
1869,14.049960,13.840158,14.169304,13.746245,13.973493,14.050359,13.935636,13.845722,13.863348,14.125794
1870,14.044954,13.970744,13.959944,14.080778,14.095475,14.027716,13.817892,13.949003,13.807610,14.158683
1871,13.994228,14.076037,14.016357,13.763733,14.030981,13.844321,13.870589,14.075522,14.177821,14.002880
1872,14.071310,13.959237,13.776760,13.963723,13.996295,14.020807,14.016307,14.158365,14.089242,14.142708
1873,13.943804,14.238040,13.913805,13.855172,13.897459,13.950850,14.021272,13.854197,13.964564,13.895400
1874,14.239400,14.036334,14.034022,14.115665,13.854670,13.679839,14.082642,14.174343,14.107402,14.020633
1875,13.982171,14.003032,14.067376,13.841901,13.854372,13.816420,13.792399,14.116263,14.037624,14.078519
1876,13.927080,14.012480,13.909258,14.096216,13.892672,14.000945,13.693990,13.636234,13.859710,14.004046
1877,13.787771,13.810557,14.157061,14.077766,14.006266,13.965426,13.935761,13.879727,13.765980,13.996713
1878,14.032615,13.803101,13.809724,13.939189,13.932646,13.903335,13.930538,14.129396,14.063465,14.001263
1879,14.023911,14.022450,14.111696,13.893407,13.934249,13.684190,13.867956,14.163238,14.014269,14.023827
1880,14.031740,13.764106,14.090783,14.085970,14.034483,13.888737,14.083625,13.832916,13.628417,14.036971
1881,13.938115,13.841731,13.991116,13.933402,14.305290,13.995218,14.334014,13.892483,13.995990,13.856698
