year,LE2-1231.001,LE2-1231.002,LE2-1231.003,LE2-1231.004,LE2-1231.005,LE2-1231.011,LE2-1231.012,LE2-1231.013,LE2-1231.014,LE2-1231.015
2015,15.233965,15.195577,15.472336,15.336279,15.602149,15.126877,15.231030,15.197836,15.048092,15.347939
2016,15.428116,15.161877,15.081650,15.247374,15.601257,15.139300,15.350382,15.186724,14.895587,14.961165
2017,15.345770,15.250606,15.107119,15.195493,15.350197,15.318650,15.340340,15.342047,15.208020,15.013803
2018,15.053481,15.328856,15.227540,15.263140,15.226747,15.199474,15.291899,15.368335,15.154708,15.240641
2019,15.155713,15.290974,15.370614,15.249480,15.359445,15.330008,15.192862,15.424267,14.916945,15.272530
2020,15.120709,15.521160,15.170694,15.152281,15.539123,15.394658,15.417778,15.382637,15.053905,15.118583
2021,15.362844,15.433956,15.073324,15.317369,15.417388,15.202584,15.493679,15.493646,15.266343,15.366661
2022,15.369233,15.291511,15.167466,15.353211,15.481981,15.227135,15.255292,15.509136,15.209891,15.456847
2023,15.138714,15.394457,15.445256,15.190570,15.548225,15.403699,15.259247,15.496384,15.143429,15.482422
2024,15.255263,15.511736,15.219322,15.260918,15.383810,15.474747,15.431687,15.512644,14.998596,15.448557
2025,15.429584,15.316692,15.307767,15.519822,15.521829,15.390774,15.607773,15.799366,15.138047,15.523633
2026,15.223776,15.316917,15.557950,15.459418,15.516615,15.662754,15.480727,15.523919,15.366177,15.349666
2027,15.228385,15.496139,15.591652,15.400763,15.350273,15.708963,15.458759,15.676573,15.495048,15.419748
2028,15.460940,15.757975,15.593912,15.376296,15.531803,15.531714,15.457519,15.881972,15.469038,15.546205
2029,15.737935,15.641438,15.385357,15.457262,15.739506,15.565138,15.709517,15.733324,15.234804,15.597971
2030,15.629563,15.509612,15.633692,15.540737,15.587729,15.679044,15.791285,15.472903,15.263052,15.615718
2031,15.698802,15.512002,15.718227,15.572642,15.755927,15.651002,15.555329,15.593245,15.573565,15.442653
2032,15.570794,15.673396,15.516370,15.597271,15.835893,15.701719,15.669851,15.876587,15.630689,15.602580
2033,15.460016,15.701161,15.614777,15.766957,15.616897,15.767455,15.784786,15.989741,15.580165,15.597904
