year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
2015,15.292240,15.326175,15.125277,15.227699,15.206218,15.199457,15.123734,14.968660,15.291148,15.038993
2016,15.167687,15.039783,15.251935,15.291823,14.870409,15.445175,15.333154,15.383896,15.272004,15.283251
2017,15.094390,15.320782,15.352412,15.058673,15.067268,15.350990,15.309280,15.224320,15.261153,15.134510
2018,15.080220,15.297659,15.038471,15.264639,15.070076,15.137965,15.062893,15.024905,15.315427,15.465758
2019,15.177200,15.276138,15.001825,15.180465,15.336580,15.098012,15.122066,15.229858,15.384257,15.372340
2020,15.383537,15.475694,15.316631,15.251577,15.036661,15.069692,15.371354,15.321493,15.148389,15.336263
2021,15.239658,15.139181,15.100338,15.096777,15.320112,15.429242,15.119096,15.161706,15.430103,15.066083
2022,15.167372,15.432530,15.289786,15.344995,15.169209,15.334848,15.162817,15.631505,15.430867,15.482044
2023,15.313173,15.530749,15.416493,15.298288,15.223499,15.234944,15.081641,15.397526,15.412856,15.334613
2024,15.554698,15.405201,15.148595,15.274029,15.396228,15.503892,15.400164,15.591076,15.160051,15.536144
2025,15.289071,15.395577,15.503671,15.391268,15.277958,15.296471,15.410078,15.183465,15.466828,15.164488
2026,15.358683,15.330984,15.309979,15.569921,15.318161,15.445723,15.344073,15.348420,15.638484,15.345051
2027,15.382701,15.304341,15.336685,15.348788,15.244187,15.240215,15.648586,15.469276,15.290534,15.360534
2028,15.459932,15.571474,15.500701,15.472293,15.505465,15.653511,15.461597,15.475834,15.342775,15.757518
2029,15.196054,15.581230,15.519481,15.482910,15.377797,15.611285,15.480258,15.529892,15.502319,15.394863
2030,15.219446,15.707080,15.698025,15.798369,15.606276,15.286298,15.877461,15.659387,15.608682,15.731551
2031,15.662996,15.684926,15.316561,15.383518,15.521528,15.509166,15.539007,15.451754,15.476404,15.648852
2032,15.590964,15.338768,15.960787,15.871894,15.552243,15.878713,15.873648,15.740155,15.817111,15.295320
2033,15.470992,15.752505,15.465301,15.535136,15.872563,15.741089,15.744180,15.564256,15.586749,15.657496
2034,15.724534,15.595460,15.811410,15.434077,15.653433,15.813114,15.604439,15.558149,15.563363,15.793466
2035,15.716636,15.707968,15.686095,15.856500,15.817530,15.762809,15.516151,15.697339,15.504304,15.877058
2036,15.742046,15.793108,15.957965,15.559538,15.725467,15.673029,15.644279,15.837334,15.985238,15.795049
2037,15.906422,15.785675,15.561453,15.815593,15.774260,15.837373,15.878806,15.976030,15.966902,15.967929
2038,15.743359,16.081719,15.764849,15.661786,15.853658,15.786504,15.818765,15.679977,15.823171,15.772185
2039,16.161732,15.977048,16.046741,16.095572,15.803011,15.571440,16.009506,16.089402,16.024608,15.926044
2040,15.910348,16.005286,16.035636,15.918232,15.770881,15.875943,15.724359,16.190122,15.959439,16.054832
2041,15.868720,15.996720,15.848288,16.068440,15.862736,15.991326,15.666619,15.585058,15.811758,16.008255
2042,15.793335,15.982004,16.149242,16.152029,16.017832,16.052426,15.943938,15.884986,15.766166,16.041810
2043,16.101431,15.992618,15.882535,15.972554,16.058473,15.940643,15.966781,16.202474,16.117389,16.010331
2044,16.164821,16.081352,16.306905,16.108623,16.129437,15.755948,15.899575,16.255604,16.096578,16.163792
2045,16.264706,15.938530,16.255026,16.198057,16.156745,16.010597,16.196066,15.907775,15.738900,16.183449
2046,16.077507,16.090151,16.133210,16.142699,16.464539,16.156150,16.458024,16.113202,16.133592,16.024952
2047,16.218478,15.946202,16.345781,16.424701,16.186404,16.458055,16.299270,16.150201,16.125488,16.217054
2048,16.243889,16.293595,16.353690,16.300526,16.351300,15.998305,16.266521,16.098441,16.244379,15.921617
2049,16.244113,16.409173,16.424126,16.296309,16.247058,16.438061,16.398482,16.223332,16.313618,16.307393
2050,16.335049,16.517939,16.423913,16.024264,16.060867,16.377340,16.439260,16.378049,16.320454,16.281999
2051,16.314810,16.585676,16.320344,16.244090,16.241845,16.255550,16.442973,16.281036,16.428021,16.470841
2052,16.216544,16.406393,16.438913,16.276002,16.265710,16.638728,16.374672,16.403580,16.301862,16.211731
2053,16.455899,16.425006,16.468502,16.506955,16.387238,16.381280,16.286089,16.390201,16.143501,16.300415
2054,16.152847,16.283431,16.705744,16.353409,16.501142,16.478262,16.403627,16.384300,16.592269,16.417195
2055,16.299707,16.383864,16.418066,16.540534,16.424262,16.385057,16.578809,16.473105,16.742544,16.558917
2056,16.545111,16.595496,16.635216,16.667428,16.562356,16.327987,16.697163,16.402755,16.581142,16.380547
2057,16.501446,16.484672,16.618885,16.560774,16.655295,16.684224,16.762385,16.864969,16.532293,16.463230
2058,16.679183,16.683662,16.622935,16.744338,16.626919,16.597085,16.595219,16.613106,16.555027,16.926263
2059,16.546471,16.551816,16.834036,16.857871,16.555747,16.635488,16.610564,16.323092,16.660443,16.749358
2060,16.648743,16.370356,16.770437,16.926824,16.669491,16.783185,16.679396,16.842130,16.654051,16.786767
2061,16.859538,16.748466,16.716669,16.955677,16.763071,16.680733,16.755343,16.510930,16.813304,16.743142
2062,16.764135,17.016462,16.912061,16.730192,16.648674,16.774621,16.773366,16.798434,16.896948,16.838828
2063,16.677470,16.978356,16.892691,16.869437,16.719156,16.611989,16.653824,16.996110,16.823686,16.991552
2064,16.851399,16.889092,17.032862,16.869858,16.588263,17.076405,17.087741,17.083318,16.984963,16.904897
2065,16.775857,16.991461,16.678048,16.991168,17.150480,16.871218,16.831501,17.150029,17.219402,16.723220
2066,16.831810,17.039699,16.903980,16.975926,17.049243,17.133627,17.158228,16.988664,17.147903,16.809385
2067,17.022232,17.179968,17.139725,17.174429,16.770864,16.928010,17.097860,17.163898,16.937871,16.987556
2068,17.011722,17.016667,17.248649,17.110113,17.253730,17.189115,17.204112,16.901749,17.009381,17.112339
2069,17.017014,17.015731,17.125593,17.210335,17.632102,16.981158,17.102000,16.975619,16.909310,17.176218
2070,17.250997,17.212037,17.181561,17.037919,17.160531,17.223742,17.235739,17.139440,17.290056,17.236669
2071,17.180511,17.263099,17.138839,16.992824,17.309054,17.287284,17.330575,17.269730,17.200945,17.203503
2072,17.180979,17.173718,17.272514,17.340747,17.258598,17.151039,17.292614,17.143891,17.078378,17.312628
2073,17.337460,17.279371,17.464676,17.261504,17.494207,17.195672,17.429555,17.050170,17.618968,17.269295
2074,17.371102,17.249127,17.370712,17.357265,17.290515,17.245592,17.365084,17.447065,17.516750,17.390834
2075,17.418389,17.624057,17.341224,17.546068,17.642576,17.554829,17.264916,17.355253,17.327477,17.179750
2076,17.479098,17.471964,17.240214,17.671260,17.295652,17.525519,17.317848,17.335560,17.529819,17.447652
2077,17.440260,17.515988,17.415013,17.191403,17.566699,17.300253,17.605048,17.561277,17.311676,17.755095
2078,17.529468,17.591211,17.644247,17.586139,17.737868,17.560320,17.558927,17.603499,17.696989,17.532998
2079,17.533721,17.522414,17.766935,17.213214,17.816297,17.826006,17.681146,17.842839,17.780269,17.679851
2080,17.722227,17.536580,17.588127,17.260832,17.889557,17.679585,17.867582,17.731075,17.602678,17.611691
2081,17.890923,17.757825,17.755092,17.580836,17.864919,17.808199,17.665013,17.853998,17.601563,17.959877
2082,17.750509,17.865755,17.724335,18.029337,17.677279,17.828716,17.979720,17.550801,17.818735,17.725205
2083,17.679385,17.802386,17.661283,17.680389,17.802960,17.956242,17.729860,17.874689,17.790756,17.826080
2084,17.745149,17.800813,17.738749,17.898690,17.940682,17.905000,17.873432,17.808254,17.906639,18.000014
2085,18.017990,17.967650,17.973728,17.690438,17.845856,17.902034,17.835966,17.617629,17.996368,17.803508
2086,17.811097,18.086270,17.894503,17.937046,17.990845,18.026661,18.204450,17.720861,18.005848,17.879781
2087,17.868752,18.025728,18.113682,18.032414,17.970030,18.274810,17.771914,18.210659,18.119262,17.881717
2088,18.225868,17.916294,18.077481,18.057817,18.013992,18.270363,18.181527,18.241702,18.076714,18.000063
2089,18.181118,18.115027,18.134762,18.180384,18.085396,18.126278,18.078236,18.109435,18.206812,18.165275
