scenario,member,year,gmean_K
hist,LE2-1231.001,1850,287.4260576061084
hist,LE2-1231.001,1851,287.2777620488298
hist,LE2-1231.001,1852,287.4042632439405
hist,LE2-1231.001,1853,287.2769154037564
hist,LE2-1231.001,1854,287.1525817637917
hist,LE2-1231.001,1855,287.0741079836507
hist,LE2-1231.001,1856,287.1724530631359
hist,LE2-1231.001,1857,287.22959990485424
hist,LE2-1231.001,1858,287.28954503588074
hist,LE2-1231.001,1859,287.421069294681
hist,LE2-1231.001,1860,287.2775444869277
hist,LE2-1231.001,1861,287.09351745531194
hist,LE2-1231.001,1862,287.142990147771
hist,LE2-1231.001,1863,287.1423205115485
hist,LE2-1231.001,1864,287.0362697970674
hist,LE2-1231.001,1865,287.05040276887087
hist,LE2-1231.001,1866,287.28438234536145
hist,LE2-1231.001,1867,287.3012050419658
hist,LE2-1231.001,1868,287.31548278486605
hist,LE2-1231.001,1869,287.31799637705996
hist,LE2-1231.001,1870,287.3326180566923
hist,LE2-1231.001,1871,287.26412106895725
hist,LE2-1231.001,1872,287.21222018515937
hist,LE2-1231.001,1873,287.24060234468914
hist,LE2-1231.001,1874,287.16016942486254
hist,LE2-1231.001,1875,287.2009851809688
hist,LE2-1231.001,1876,287.3054445731362
hist,LE2-1231.001,1877,287.44829988500913
hist,LE2-1231.001,1878,287.1199836775044
hist,LE2-1231.001,1879,287.21508438439366
hist,LE2-1231.001,1880,287.2790665190962
hist,LE2-1231.001,1881,287.39812344550285
hist,LE2-1231.001,1882,287.2298537111205
hist,LE2-1231.001,1883,287.029226719682
hist,LE2-1231.001,1884,286.99260829372776
hist,LE2-1231.001,1885,287.0605285574477
hist,LE2-1231.001,1886,287.08374754608025
hist,LE2-1231.001,1887,287.17508811539636
hist,LE2-1231.001,1888,287.19215018547527
hist,LE2-1231.001,1889,287.08382378476483
hist,LE2-1231.001,1890,287.1391696534193
hist,LE2-1231.001,1891,287.2204691725037
hist,LE2-1231.001,1892,287.29780875154825
hist,LE2-1231.001,1893,287.2720631087847
hist,LE2-1231.001,1894,287.10870820992005
hist,LE2-1231.001,1895,286.9738577440122
hist,LE2-1231.001,1896,287.20533111077185
hist,LE2-1231.001,1897,287.19256130235885
hist,LE2-1231.001,1898,287.1940529678445
hist,LE2-1231.001,1899,287.25833452385393
hist,LE2-1231.001,1900,287.3267929389865
hist,LE2-1231.001,1901,287.2369834553313
hist,LE2-1231.001,1902,287.3690935414081
hist,LE2-1231.001,1903,287.1567762169912
hist,LE2-1231.001,1904,287.12441924937343
hist,LE2-1231.001,1905,287.3441281746378
hist,LE2-1231.001,1906,287.3074893661983
hist,LE2-1231.001,1907,287.14643201019516
hist,LE2-1231.001,1908,287.33471613800293
hist,LE2-1231.001,1909,287.3556413332629
hist,LE2-1231.001,1910,287.2698040401391
hist,LE2-1231.001,1911,287.28617396870004
hist,LE2-1231.001,1912,287.38015074161103
hist,LE2-1231.001,1913,286.99379365371016
hist,LE2-1231.001,1914,287.1370593967175
hist,LE2-1231.001,1915,287.13172968432184
hist,LE2-1231.001,1916,287.25218372129
hist,LE2-1231.001,1917,287.17496282380915
hist,LE2-1231.001,1918,287.407543192886
hist,LE2-1231.001,1919,287.3567757216801
hist,LE2-1231.001,1920,287.34745730783646
hist,LE2-1231.001,1921,287.3258687558493
hist,LE2-1231.001,1922,287.18686515373463
hist,LE2-1231.001,1923,287.26880690203996
hist,LE2-1231.001,1924,287.34301417330687
hist,LE2-1231.001,1925,287.2555307651251
hist,LE2-1231.001,1926,287.2613656541528
hist,LE2-1231.001,1927,287.4760315219626
hist,LE2-1231.001,1928,287.34173884811156
hist,LE2-1231.001,1929,287.25900521500813
hist,LE2-1231.001,1930,287.3139261239836
hist,LE2-1231.001,1931,287.33124756710237
hist,LE2-1231.001,1932,287.4452213874458
hist,LE2-1231.001,1933,287.53718537409515
hist,LE2-1231.001,1934,287.52899625726707
hist,LE2-1231.001,1935,287.46020188559226
hist,LE2-1231.001,1936,287.26512867812875
hist,LE2-1231.001,1937,287.2491471269732
hist,LE2-1231.001,1938,287.3956310151224
hist,LE2-1231.001,1939,287.6061197703947
hist,LE2-1231.001,1940,287.6753003694104
hist,LE2-1231.001,1941,287.34676175541216
hist,LE2-1231.001,1942,287.57835314553137
hist,LE2-1231.001,1943,287.47300281035433
hist,LE2-1231.001,1944,287.47532091992974
hist,LE2-1231.001,1945,287.59884742093965
hist,LE2-1231.001,1946,287.65998185256416
hist,LE2-1231.001,1947,287.314950694592
hist,LE2-1231.001,1948,287.2532416335771
hist,LE2-1231.001,1949,287.44039370109397
hist,LE2-1231.001,1950,287.4267751188383
hist,LE2-1231.001,1951,287.56380748461834
hist,LE2-1231.001,1952,287.4124724864656
hist,LE2-1231.001,1953,287.34544019292525
hist,LE2-1231.001,1954,287.3735380582504
hist,LE2-1231.001,1955,287.5518268353639
hist,LE2-1231.001,1956,287.47040832984226
hist,LE2-1231.001,1957,287.31698841397565
hist,LE2-1231.001,1958,287.4960690656195
hist,LE2-1231.001,1959,287.63204101799255
hist,LE2-1231.001,1960,287.3837454169524
hist,LE2-1231.001,1961,287.1222398375906
hist,LE2-1231.001,1962,287.37323354662516
hist,LE2-1231.001,1963,287.3161344196255
hist,LE2-1231.001,1964,287.2721587328984
hist,LE2-1231.001,1965,287.1871376224949
hist,LE2-1231.001,1966,287.2763791753782
hist,LE2-1231.001,1967,287.3349112104518
hist,LE2-1231.001,1968,287.37121037966403
hist,LE2-1231.001,1969,287.3308725090935
hist,LE2-1231.001,1970,287.3594534333411
hist,LE2-1231.001,1971,287.4643438921279
hist,LE2-1231.001,1972,287.4601614858882
hist,LE2-1231.001,1973,287.5254725611733
hist,LE2-1231.001,1974,287.553893107531
hist,LE2-1231.001,1975,287.4597748619372
hist,LE2-1231.001,1976,287.52233244594976
hist,LE2-1231.001,1977,287.40774356578135
hist,LE2-1231.001,1978,287.40585403643263
hist,LE2-1231.001,1979,287.53150219847356
hist,LE2-1231.001,1980,287.5052276727331
hist,LE2-1231.001,1981,287.6654707328235
hist,LE2-1231.001,1982,287.48998298167675
hist,LE2-1231.001,1983,287.4746360712935
hist,LE2-1231.001,1984,287.3087890892476
hist,LE2-1231.001,1985,287.628835502267
hist,LE2-1231.001,1986,287.7525825197541
hist,LE2-1231.001,1987,287.44025448128326
hist,LE2-1231.001,1988,287.43704577491667
hist,LE2-1231.001,1989,287.56253326232746
hist,LE2-1231.001,1990,287.75819144097005
hist,LE2-1231.001,1991,287.68698856018534
hist,LE2-1231.001,1992,287.6403487033091
hist,LE2-1231.001,1993,287.7027799593627
hist,LE2-1231.001,1994,287.89100082329196
hist,LE2-1231.001,1995,287.77764874681606
hist,LE2-1231.001,1996,287.5979504618333
hist,LE2-1231.001,1997,287.9928784561692
hist,LE2-1231.001,1998,288.0877914706258
hist,LE2-1231.001,1999,287.96176649244916
hist,LE2-1231.001,2000,287.9859402216505
hist,LE2-1231.001,2001,288.0727728644951
hist,LE2-1231.001,2002,288.2338306981472
hist,LE2-1231.001,2003,288.1867173136344
hist,LE2-1231.001,2004,288.1440466198894
hist,LE2-1231.001,2005,288.09825171835683
hist,LE2-1231.001,2006,287.91853521780195
hist,LE2-1231.001,2007,288.02729766552864
hist,LE2-1231.001,2008,288.24335833029
hist,LE2-1231.001,2009,288.37381957243997
hist,LE2-1231.001,2010,288.1172829096821
hist,LE2-1231.001,2011,288.35802485840014
hist,LE2-1231.001,2012,288.46182639346347
hist,LE2-1231.001,2013,288.17746350757665
hist,LE2-1231.001,2014,288.19552271127037
hist,LE2-1231.002,1850,287.5287894385721
hist,LE2-1231.002,1851,287.24426494053546
hist,LE2-1231.002,1852,287.3310874790971
hist,LE2-1231.002,1853,287.3346282638063
hist,LE2-1231.002,1854,287.0482128791112
hist,LE2-1231.002,1855,287.1835802802137
hist,LE2-1231.002,1856,287.0861921745657
hist,LE2-1231.002,1857,287.1694935999989
hist,LE2-1231.002,1858,287.3693076517184
hist,LE2-1231.002,1859,287.2551030040868
hist,LE2-1231.002,1860,287.3441956726321
hist,LE2-1231.002,1861,287.29272343402357
hist,LE2-1231.002,1862,287.0868397318308
hist,LE2-1231.002,1863,287.05217772224034
hist,LE2-1231.002,1864,287.222369989703
hist,LE2-1231.002,1865,287.1243534666482
hist,LE2-1231.002,1866,287.22481895608456
hist,LE2-1231.002,1867,287.2647959870732
hist,LE2-1231.002,1868,287.40810702301934
hist,LE2-1231.002,1869,287.4021502861847
hist,LE2-1231.002,1870,287.37123375431145
hist,LE2-1231.002,1871,287.46493741494976
hist,LE2-1231.002,1872,287.3585901170752
hist,LE2-1231.002,1873,287.00379229703776
hist,LE2-1231.002,1874,287.18231227677774
hist,LE2-1231.002,1875,287.1626135019218
hist,LE2-1231.002,1876,287.135971535772
hist,LE2-1231.002,1877,287.1575986138138
hist,LE2-1231.002,1878,287.1375305450552
hist,LE2-1231.002,1879,287.3082893569752
hist,LE2-1231.002,1880,287.2509798592835
hist,LE2-1231.002,1881,287.2611801385099
hist,LE2-1231.002,1882,287.2349339176957
hist,LE2-1231.002,1883,287.363388439837
hist,LE2-1231.002,1884,287.19493887462596
hist,LE2-1231.002,1885,287.075104059108
hist,LE2-1231.002,1886,286.96849205338754
hist,LE2-1231.002,1887,287.1001229244927
hist,LE2-1231.002,1888,287.12432466454254
hist,LE2-1231.002,1889,287.0707004253659
hist,LE2-1231.002,1890,287.0925001780253
hist,LE2-1231.002,1891,287.13701340440025
hist,LE2-1231.002,1892,287.4206832835314
hist,LE2-1231.002,1893,287.31689679476966
hist,LE2-1231.002,1894,287.38265693086385
hist,LE2-1231.002,1895,287.3595708700139
hist,LE2-1231.002,1896,287.39940045412555
hist,LE2-1231.002,1897,287.37718729774514
hist,LE2-1231.002,1898,287.3775469381317
hist,LE2-1231.002,1899,287.37524024340667
hist,LE2-1231.002,1900,287.4594824996442
hist,LE2-1231.002,1901,287.47912820287104
hist,LE2-1231.002,1902,287.48404634936674
hist,LE2-1231.002,1903,287.27651675407014
hist,LE2-1231.002,1904,287.262964430694
hist,LE2-1231.002,1905,287.25821319166306
hist,LE2-1231.002,1906,287.2951323072545
hist,LE2-1231.002,1907,287.2193488378827
hist,LE2-1231.002,1908,287.2575438428815
hist,LE2-1231.002,1909,287.33324339216944
hist,LE2-1231.002,1910,287.4580827961555
hist,LE2-1231.002,1911,287.3936993208659
hist,LE2-1231.002,1912,287.3834946354807
hist,LE2-1231.002,1913,287.2818768782369
hist,LE2-1231.002,1914,287.25447307078576
hist,LE2-1231.002,1915,287.20451304405816
hist,LE2-1231.002,1916,287.24662270203623
hist,LE2-1231.002,1917,287.4658611336428
hist,LE2-1231.002,1918,287.41091190813813
hist,LE2-1231.002,1919,287.496813926773
hist,LE2-1231.002,1920,287.44891451020356
hist,LE2-1231.002,1921,287.4528140408561
hist,LE2-1231.002,1922,287.302085745674
hist,LE2-1231.002,1923,287.45331010199834
hist,LE2-1231.002,1924,287.28924663769703
hist,LE2-1231.002,1925,287.2097400879755
hist,LE2-1231.002,1926,287.3509894441401
hist,LE2-1231.002,1927,287.34647755759096
hist,LE2-1231.002,1928,287.4420949336454
hist,LE2-1231.002,1929,287.5222661740045
hist,LE2-1231.002,1930,287.47947964788216
hist,LE2-1231.002,1931,287.46999966036634
hist,LE2-1231.002,1932,287.50451103785144
hist,LE2-1231.002,1933,287.52190138175854
hist,LE2-1231.002,1934,287.5854075926196
hist,LE2-1231.002,1935,287.64427346486536
hist,LE2-1231.002,1936,287.6145833264924
hist,LE2-1231.002,1937,287.39922553991477
hist,LE2-1231.002,1938,287.4218886726723
hist,LE2-1231.002,1939,287.3204597136455
hist,LE2-1231.002,1940,287.23702199999735
hist,LE2-1231.002,1941,287.4056330452656
hist,LE2-1231.002,1942,287.5783677584123
hist,LE2-1231.002,1943,287.5522973492202
hist,LE2-1231.002,1944,287.5009489226467
hist,LE2-1231.002,1945,287.4995418482198
hist,LE2-1231.002,1946,287.5008830315364
hist,LE2-1231.002,1947,287.62726285411577
hist,LE2-1231.002,1948,287.76079988574776
hist,LE2-1231.002,1949,287.540886898544
hist,LE2-1231.002,1950,287.6251063956691
hist,LE2-1231.002,1951,287.4703584535028
hist,LE2-1231.002,1952,287.48220182898297
hist,LE2-1231.002,1953,287.6346335903287
hist,LE2-1231.002,1954,287.57881794588906
hist,LE2-1231.002,1955,287.3299957951537
hist,LE2-1231.002,1956,287.38193874246525
hist,LE2-1231.002,1957,287.45590437669637
hist,LE2-1231.002,1958,287.3996662962676
hist,LE2-1231.002,1959,287.63611926084866
hist,LE2-1231.002,1960,287.80866920735986
hist,LE2-1231.002,1961,287.6862178254222
hist,LE2-1231.002,1962,287.5865184637016
hist,LE2-1231.002,1963,287.61767825085764
hist,LE2-1231.002,1964,287.2480597350621
hist,LE2-1231.002,1965,287.18909796146676
hist,LE2-1231.002,1966,287.31599247099564
hist,LE2-1231.002,1967,287.39053663277673
hist,LE2-1231.002,1968,287.22340258958644
hist,LE2-1231.002,1969,287.2645406000282
hist,LE2-1231.002,1970,287.35310141796117
hist,LE2-1231.002,1971,287.3591604580775
hist,LE2-1231.002,1972,287.402790375442
hist,LE2-1231.002,1973,287.27251688556123
hist,LE2-1231.002,1974,287.50178730480275
hist,LE2-1231.002,1975,287.53673802641896
hist,LE2-1231.002,1976,287.71009461592837
hist,LE2-1231.002,1977,287.29922192107273
hist,LE2-1231.002,1978,287.3160993328102
hist,LE2-1231.002,1979,287.52298138523366
hist,LE2-1231.002,1980,287.6565368268202
hist,LE2-1231.002,1981,287.73389622700415
hist,LE2-1231.002,1982,287.73535183087097
hist,LE2-1231.002,1983,287.5656275703526
hist,LE2-1231.002,1984,287.54726438978054
hist,LE2-1231.002,1985,287.63623402702996
hist,LE2-1231.002,1986,287.58832729661725
hist,LE2-1231.002,1987,287.5240115224294
hist,LE2-1231.002,1988,287.6232218415361
hist,LE2-1231.002,1989,287.61066921440914
hist,LE2-1231.002,1990,287.45603330116086
hist,LE2-1231.002,1991,287.5853113776058
hist,LE2-1231.002,1992,287.4382434679254
