scenario,year,gmean_K
hist,1850,287.4260576061084
hist,1851,287.2777620488298
hist,1852,287.4042632439405
hist,1853,287.2769154037564
hist,1854,287.1525817637917
hist,1855,287.0741079836507
hist,1856,287.1724530631359
hist,1857,287.22959990485424
hist,1858,287.28954503588074
hist,1859,287.421069294681
hist,1860,287.2775444869277
hist,1861,287.09351745531194
hist,1862,287.142990147771
hist,1863,287.1423205115485
hist,1864,287.0362697970674
hist,1865,287.05040276887087
hist,1866,287.28438234536145
hist,1867,287.3012050419658
hist,1868,287.31548278486605
hist,1869,287.31799637705996
hist,1870,287.3326180566923
hist,1871,287.26412106895725
hist,1872,287.21222018515937
hist,1873,287.24060234468914
hist,1874,287.16016942486254
hist,1875,287.2009851809688
hist,1876,287.3054445731362
hist,1877,287.44829988500913
hist,1878,287.1199836775044
hist,1879,287.21508438439366
hist,1880,287.2790665190962
hist,1881,287.39812344550285
hist,1882,287.2298537111205
hist,1883,287.029226719682
hist,1884,286.99260829372776
hist,1885,287.0605285574477
hist,1886,287.08374754608025
hist,1887,287.17508811539636
hist,1888,287.19215018547527
hist,1889,287.08382378476483
hist,1890,287.1391696534193
hist,1891,287.2204691725037
hist,1892,287.29780875154825
hist,1893,287.2720631087847
hist,1894,287.10870820992005
hist,1895,286.9738577440122
hist,1896,287.20533111077185
hist,1897,287.19256130235885
hist,1898,287.1940529678445
hist,1899,287.25833452385393
hist,1900,287.3267929389865
hist,1901,287.2369834553313
hist,1902,287.3690935414081
hist,1903,287.1567762169912
hist,1904,287.12441924937343
hist,1905,287.3441281746378
hist,1906,287.3074893661983
hist,1907,287.14643201019516
hist,1908,287.33471613800293
hist,1909,287.3556413332629
hist,1910,287.2698040401391
hist,1911,287.28617396870004
hist,1912,287.38015074161103
hist,1913,286.99379365371016
hist,1914,287.1370593967175
hist,1915,287.13172968432184
hist,1916,287.25218372129
hist,1917,287.17496282380915
hist,1918,287.407543192886
hist,1919,287.3567757216801
hist,1920,287.34745730783646
hist,1921,287.3258687558493
hist,1922,287.18686515373463
hist,1923,287.26880690203996
hist,1924,287.34301417330687
hist,1925,287.2555307651251
hist,1926,287.2613656541528
hist,1927,287.4760315219626
hist,1928,287.34173884811156
hist,1929,287.25900521500813
hist,1930,287.3139261239836
hist,1931,287.33124756710237
hist,1932,287.4452213874458
hist,1933,287.53718537409515
hist,1934,287.52899625726707
hist,1935,287.46020188559226
hist,1936,287.26512867812875
hist,1937,287.2491471269732
hist,1938,287.3956310151224
hist,1939,287.6061197703947
hist,1940,287.6753003694104
hist,1941,287.34676175541216
hist,1942,287.57835314553137
hist,1943,287.47300281035433
hist,1944,287.47532091992974
hist,1945,287.59884742093965
hist,1946,287.65998185256416
hist,1947,287.314950694592
hist,1948,287.2532416335771
hist,1949,287.44039370109397
hist,1950,287.4267751188383
hist,1951,287.56380748461834
hist,1952,287.4124724864656
hist,1953,287.34544019292525
hist,1954,287.3735380582504
hist,1955,287.5518268353639
hist,1956,287.47040832984226
hist,1957,287.31698841397565
hist,1958,287.4960690656195
hist,1959,287.63204101799255
hist,1960,287.3837454169524
hist,1961,287.1222398375906
hist,1962,287.37323354662516
hist,1963,287.3161344196255
hist,1964,287.2721587328984
hist,1965,287.1871376224949
hist,1966,287.2763791753782
hist,1967,287.3349112104518
hist,1968,287.37121037966403
hist,1969,287.3308725090935
hist,1970,287.3594534333411
hist,1971,287.4643438921279
hist,1972,287.4601614858882
hist,1973,287.5254725611733
hist,1974,287.553893107531
hist,1975,287.4597748619372
hist,1976,287.52233244594976
hist,1977,287.40774356578135
hist,1978,287.40585403643263
hist,1979,287.53150219847356
hist,1980,287.5052276727331
hist,1981,287.6654707328235
hist,1982,287.48998298167675
hist,1983,287.4746360712935
hist,1984,287.3087890892476
hist,1985,287.628835502267
hist,1986,287.7525825197541
hist,1987,287.44025448128326
hist,1988,287.43704577491667
hist,1989,287.56253326232746
hist,1990,287.75819144097005
hist,1991,287.68698856018534
hist,1992,287.6403487033091
hist,1993,287.7027799593627
hist,1994,287.89100082329196
hist,1995,287.77764874681606
hist,1996,287.5979504618333
hist,1997,287.9928784561692
hist,1998,288.0877914706258
hist,1999,287.96176649244916
hist,2000,287.9859402216505
hist,2001,288.0727728644951
hist,2002,288.2338306981472
hist,2003,288.1867173136344
hist,2004,288.1440466198894
hist,2005,288.09825171835683
hist,2006,287.91853521780195
hist,2007,288.02729766552864
hist,2008,288.24335833029
hist,2009,288.37381957243997
hist,2010,288.1172829096821
hist,2011,288.35802485840014
hist,2012,288.46182639346347
hist,2013,288.17746350757665
hist,2014,288.19552271127037
ssp370,2015,288.38395922902345
ssp370,2016,288.5781095312763
ssp370,2017,288.49576390553733
ssp370,2018,288.2034748650008
ssp370,2019,288.3057067696089
ssp370,2020,288.27070244455297
ssp370,2021,288.512838325973
ssp370,2022,288.5192265745052
ssp370,2023,288.2887075769547
ssp370,2024,288.4052570876167
ssp370,2025,288.57957830104107
ssp370,2026,288.37376946893875
ssp370,2027,288.37837924730195
ssp370,2028,288.6109339081263
ssp370,2029,288.88792854341756
ssp370,2030,288.77955640873836
ssp370,2031,288.84879579729835
ssp370,2032,288.7207883444976
ssp370,2033,288.6100101412983
ssp370,2034,288.82158306903233
ssp370,2035,288.9464150372329
ssp370,2036,289.100852770749
ssp370,2037,289.00520004096865
ssp370,2038,288.95007878677575
ssp370,2039,288.9720396895143
ssp370,2040,289.3407349275135
ssp370,2041,289.3131663517865
ssp370,2042,288.99835999379405
ssp370,2043,289.1685675453368
ssp370,2044,289.35183553000394
ssp370,2045,289.39821192770484
ssp370,2046,289.46717081738535
ssp370,2047,289.56245108871093
ssp370,2048,289.7049121783736
ssp370,2049,289.5162769775568
ssp370,2050,289.66591199466876
ssp370,2051,289.6158591864598
ssp370,2052,289.5252091616259
ssp370,2053,289.5510004269838
ssp370,2054,289.8579478703856
ssp370,2055,289.9645193820342
ssp370,2056,289.6309052073804
ssp370,2057,289.6930204108944
ssp370,2058,289.93403787745626
ssp370,2059,290.04397642559235
ssp370,2060,290.06131632730035
ssp370,2061,289.9544207156992
ssp370,2062,290.089911858712
ssp370,2063,290.1712831153711
ssp370,2064,290.1207133994898
ssp370,2065,290.30125907821804
ssp370,2066,290.205048801121
ssp370,2067,290.3337746592129
ssp370,2068,290.40912533958465
ssp370,2069,290.4264714103497
ssp370,2070,290.4200604096617
ssp370,2071,290.5610374635634
ssp370,2072,290.54397764137246
ssp370,2073,290.48334224336253
ssp370,2074,290.6411365443456
ssp370,2075,290.5912684794082
ssp370,2076,290.5437621980884
ssp370,2077,290.77718050939734
ssp370,2078,290.8108954824227
ssp370,2079,290.8447293116853
ssp370,2080,290.83738736432304
ssp370,2081,290.8587861778118
ssp370,2082,291.0307612274918
ssp370,2083,291.0332195167281
ssp370,2084,291.15958905651627
ssp370,2085,290.92944246670197
ssp370,2086,291.1936339337125
ssp370,2087,291.3582988682939
ssp370,2088,291.22185321206507
ssp370,2089,291.33486537489074
ssp370,2090,291.4764253178787
ssp370,2091,291.5044805648035
ssp370,2092,291.50017406203096
ssp370,2093,291.389391028189
ssp370,2094,291.69872035948606
ssp370,2095,291.82673399347107
ssp370,2096,291.9389610973022
ssp370,2097,291.7852650103901
ssp370,2098,291.9749385440455
ssp370,2099,292.0373190215695
ssp370,2100,292.15452938901353
aaer,1850,287.518500334819
aaer,1851,287.44328962038276
aaer,1852,287.38012806583686
aaer,1853,287.243238941944
aaer,1854,287.286925760305
aaer,1855,287.3446069445889
aaer,1856,287.2616843919172
aaer,1857,287.13847232630394
aaer,1858,287.18684721664215
aaer,1859,287.1021500748103
aaer,1860,287.1655895530151
aaer,1861,287.07166779725134
aaer,1862,287.1181093985928
aaer,1863,287.17346484633975
aaer,1864,286.92205699453154
aaer,1865,286.9767848480127
aaer,1866,286.9924551047428
aaer,1867,287.0391780626567
aaer,1868,287.1842143041891
aaer,1869,287.270843946733
aaer,1870,287.1336577858845
aaer,1871,287.24810167967934
aaer,1872,287.3121571509378
aaer,1873,287.11283117954235
aaer,1874,287.27538599172107
aaer,1875,287.1883697681471
aaer,1876,286.9801953540625
aaer,1877,287.18339166468957
aaer,1878,287.2587729302436
aaer,1879,286.9577069871909
aaer,1880,287.10209996775956
aaer,1881,287.1460429067415
aaer,1882,287.2764944670754
aaer,1883,287.1233600363818
aaer,1884,287.0238133647284
aaer,1885,287.2511992472331
aaer,1886,287.19343202077675
aaer,1887,287.2154560106442
aaer,1888,287.3302081954968
aaer,1889,287.05550528259164
aaer,1890,287.0631462317297
aaer,1891,287.02860289082173
aaer,1892,287.0609895966354
aaer,1893,287.11309295664034
aaer,1894,287.05555204297224
aaer,1895,287.16112178348743
aaer,1896,287.23401497764394
