mode,var,scenario,side,city,n_members,n_values,mean,sd,sd_deseason,p05,p95,unit
annual,PRECT,aaer,CESM2,Helsinki,10,100,1.636,0.216,,1.274,1.987,mm/day
annual,PRECT,aaer,CESM2,Paris,10,100,1.959,0.269,,1.485,2.366,mm/day
annual,PRECT,aaer,CESM2,Sydney,10,100,3.425,0.811,,2.405,4.958,mm/day
annual,PRECT,aaer,emulator,Helsinki,25,250,1.62,0.182,,1.314,1.918,mm/day
annual,PRECT,aaer,emulator,Paris,25,250,2.035,0.255,,1.642,2.453,mm/day
annual,PRECT,aaer,emulator,Sydney,25,250,3.595,0.746,,2.36,4.889,mm/day
annual,PRECT,ghg,CESM2,Helsinki,10,100,1.871,0.252,,1.427,2.27,mm/day
annual,PRECT,ghg,CESM2,Paris,10,100,1.954,0.311,,1.428,2.485,mm/day
annual,PRECT,ghg,CESM2,Sydney,10,100,3.343,0.686,,2.354,4.596,mm/day
annual,PRECT,ghg,emulator,Helsinki,25,250,1.836,0.202,,1.508,2.188,mm/day
annual,PRECT,ghg,emulator,Paris,25,250,1.88,0.277,,1.461,2.343,mm/day
annual,PRECT,ghg,emulator,Sydney,25,250,3.38,0.646,,2.285,4.463,mm/day
annual,PRECT,hist,CESM2,Helsinki,5,50,1.876,0.208,,1.518,2.17,mm/day
annual,PRECT,hist,CESM2,Paris,5,50,2.047,0.298,,1.585,2.6,mm/day
annual,PRECT,hist,CESM2,Sydney,5,50,3.415,0.655,,2.533,4.255,mm/day
annual,PRECT,hist,emulator,Helsinki,25,250,1.86,0.202,,1.537,2.193,mm/day
annual,PRECT,hist,emulator,Paris,25,250,2.105,0.265,,1.694,2.581,mm/day
annual,PRECT,hist,emulator,Sydney,25,250,3.349,0.74,,2.294,4.698,mm/day
annual,PRECT,ssp370,CESM2,Helsinki,5,50,2.124,0.277,,1.651,2.542,mm/day
annual,PRECT,ssp370,CESM2,Paris,5,50,2.013,0.363,,1.441,2.546,mm/day
annual,PRECT,ssp370,CESM2,Sydney,5,50,3.231,0.746,,2.212,4.58,mm/day
annual,PRECT,ssp370,emulator,Helsinki,25,250,2.07,0.229,,1.729,2.454,mm/day
annual,PRECT,ssp370,emulator,Paris,25,250,2.026,0.247,,1.616,2.418,mm/day
annual,PRECT,ssp370,emulator,Sydney,25,250,3.384,0.615,,2.506,4.375,mm/day
annual,TREFHT,aaer,CESM2,Helsinki,10,100,4.799,1.25,,2.698,6.747,°C
annual,TREFHT,aaer,CESM2,Paris,10,100,11.939,0.665,,10.872,13.004,°C
annual,TREFHT,aaer,CESM2,Sydney,10,100,16.159,0.328,,15.644,16.738,°C
annual,TREFHT,aaer,emulator,Helsinki,25,250,4.479,0.745,,3.125,5.614,°C
annual,TREFHT,aaer,emulator,Paris,25,250,11.699,0.477,,10.86,12.397,°C
annual,TREFHT,aaer,emulator,Sydney,25,250,15.91,0.344,,15.359,16.481,°C
annual,TREFHT,ghg,CESM2,Helsinki,10,100,8.545,0.791,,7.389,9.649,°C
annual,TREFHT,ghg,CESM2,Paris,10,100,14.356,0.648,,13.295,15.411,°C
annual,TREFHT,ghg,CESM2,Sydney,10,100,19.476,0.352,,18.935,20.042,°C
annual,TREFHT,ghg,emulator,Helsinki,25,250,8.464,0.585,,7.462,9.398,°C
annual,TREFHT,ghg,emulator,Paris,25,250,14.493,0.502,,13.684,15.24,°C
annual,TREFHT,ghg,emulator,Sydney,25,250,19.336,0.413,,18.741,20.088,°C
annual,TREFHT,hist,CESM2,Helsinki,11,110,7.574,1.029,,5.706,8.916,°C
annual,TREFHT,hist,CESM2,Paris,11,110,13.727,0.607,,12.768,14.588,°C
annual,TREFHT,hist,CESM2,Sydney,11,110,17.575,0.411,,16.943,18.278,°C
annual,TREFHT,hist,emulator,Helsinki,25,250,7.606,0.656,,6.481,8.747,°C
annual,TREFHT,hist,emulator,Paris,25,250,13.404,0.553,,12.464,14.195,°C
annual,TREFHT,hist,emulator,Sydney,25,250,17.72,0.424,,17.083,18.465,°C
annual,TREFHT,ssp370,CESM2,Helsinki,3,30,10.168,0.656,,9.171,11.168,°C
annual,TREFHT,ssp370,CESM2,Paris,3,30,16.354,0.693,,15.588,17.699,°C
annual,TREFHT,ssp370,CESM2,Sydney,3,30,21.632,0.51,,20.781,22.558,°C
annual,TREFHT,ssp370,emulator,Helsinki,25,250,10.354,0.607,,9.426,11.31,°C
annual,TREFHT,ssp370,emulator,Paris,25,250,16.514,0.493,,15.695,17.283,°C
annual,TREFHT,ssp370,emulator,Sydney,25,250,21.622,0.48,,20.791,22.311,°C
