mode,var,scenario,side,city,n_members,n_values,mean,sd,sd_deseason,p05,p95,unit
monthly,PRECT,aaer,CESM2,Helsinki,1,120,1.633,0.841,0.695,0.595,3.028,mm/day
monthly,PRECT,aaer,CESM2,Paris,1,120,2.004,0.966,0.768,0.641,3.903,mm/day
monthly,PRECT,aaer,CESM2,Sydney,1,120,4.015,2.71,2.41,1.031,9.581,mm/day
monthly,PRECT,aaer,emulator,Helsinki,3,360,1.625,0.848,0.664,0.469,3.019,mm/day
monthly,PRECT,aaer,emulator,Paris,3,360,1.974,1.009,0.848,0.606,3.745,mm/day
monthly,PRECT,aaer,emulator,Sydney,3,360,3.964,2.563,2.249,1.177,9.193,mm/day
monthly,PRECT,ghg,CESM2,Helsinki,1,120,1.893,0.99,0.895,0.425,3.606,mm/day
monthly,PRECT,ghg,CESM2,Paris,1,120,1.879,1.138,0.82,0.244,3.9,mm/day
monthly,PRECT,ghg,CESM2,Sydney,1,120,3.244,2.226,1.97,0.508,7.684,mm/day
monthly,PRECT,ghg,emulator,Helsinki,3,360,1.933,0.952,0.823,0.534,3.619,mm/day
monthly,PRECT,ghg,emulator,Paris,3,360,1.83,1.14,0.841,0.161,3.958,mm/day
monthly,PRECT,ghg,emulator,Sydney,3,360,3.383,2.287,1.943,0.55,7.495,mm/day
monthly,PRECT,hist,CESM2,Helsinki,1,120,1.891,0.888,0.772,0.509,3.514,mm/day
monthly,PRECT,hist,CESM2,Paris,1,120,1.96,1.113,0.903,0.264,3.847,mm/day
monthly,PRECT,hist,CESM2,Sydney,1,120,3.778,2.52,2.118,0.909,9.231,mm/day
monthly,PRECT,hist,emulator,Helsinki,3,360,1.798,0.893,0.77,0.501,3.362,mm/day
monthly,PRECT,hist,emulator,Paris,3,360,1.816,1.165,0.963,0.248,3.885,mm/day
monthly,PRECT,hist,emulator,Sydney,3,360,3.659,2.301,1.904,0.77,8.382,mm/day
monthly,PRECT,ssp370,CESM2,Helsinki,1,120,2.102,1.086,0.829,0.436,3.855,mm/day
monthly,PRECT,ssp370,CESM2,Paris,1,120,2.082,1.489,1.147,0.175,4.62,mm/day
monthly,PRECT,ssp370,CESM2,Sydney,1,120,3.0,2.24,2.031,0.612,6.921,mm/day
monthly,PRECT,ssp370,emulator,Helsinki,3,360,2.011,1.143,0.88,0.453,4.093,mm/day
monthly,PRECT,ssp370,emulator,Paris,3,360,1.97,1.409,1.051,0.138,4.443,mm/day
monthly,PRECT,ssp370,emulator,Sydney,3,360,2.983,2.09,1.874,0.592,7.071,mm/day
monthly,TREFHT,aaer,CESM2,Helsinki,1,120,5.71,7.045,1.953,-4.947,15.755,°C
monthly,TREFHT,aaer,CESM2,Paris,1,120,11.844,5.63,1.62,4.395,20.453,°C
monthly,TREFHT,aaer,CESM2,Sydney,1,120,16.273,3.523,0.805,11.163,21.452,°C
monthly,TREFHT,aaer,emulator,Helsinki,3,360,5.736,6.841,1.806,-4.559,15.538,°C
monthly,TREFHT,aaer,emulator,Paris,3,360,12.055,5.547,1.55,4.459,20.631,°C
monthly,TREFHT,aaer,emulator,Sydney,3,360,16.303,3.432,0.791,11.296,21.308,°C
monthly,TREFHT,ghg,CESM2,Helsinki,1,120,7.839,6.816,2.157,-3.238,17.256,°C
monthly,TREFHT,ghg,CESM2,Paris,1,120,13.829,6.161,1.814,5.864,23.53,°C
monthly,TREFHT,ghg,CESM2,Sydney,1,120,19.594,3.493,0.761,14.279,24.388,°C
monthly,TREFHT,ghg,emulator,Helsinki,3,360,7.785,6.611,1.957,-1.113,17.122,°C
monthly,TREFHT,ghg,emulator,Paris,3,360,13.767,5.913,1.765,6.103,23.244,°C
monthly,TREFHT,ghg,emulator,Sydney,3,360,19.455,3.431,0.784,14.194,24.306,°C
monthly,TREFHT,hist,CESM2,Helsinki,1,120,8.101,6.082,1.45,-0.417,17.299,°C
monthly,TREFHT,hist,CESM2,Paris,1,120,13.867,5.5,1.482,6.639,22.774,°C
monthly,TREFHT,hist,CESM2,Sydney,1,120,17.494,3.498,0.759,12.599,22.595,°C
monthly,TREFHT,hist,emulator,Helsinki,3,360,7.816,5.972,1.407,-0.631,16.894,°C
monthly,TREFHT,hist,emulator,Paris,3,360,13.568,5.419,1.487,6.278,22.401,°C
monthly,TREFHT,hist,emulator,Sydney,3,360,17.59,3.455,0.747,12.687,22.812,°C
monthly,TREFHT,ssp370,CESM2,Helsinki,1,120,10.409,6.741,1.335,1.263,20.453,°C
monthly,TREFHT,ssp370,CESM2,Paris,1,120,16.603,6.591,1.563,8.028,27.775,°C
monthly,TREFHT,ssp370,CESM2,Sydney,1,120,21.79,3.409,0.764,16.621,26.37,°C
monthly,TREFHT,ssp370,emulator,Helsinki,3,360,10.354,6.62,1.276,1.361,20.273,°C
monthly,TREFHT,ssp370,emulator,Paris,3,360,16.431,6.343,1.474,8.333,27.047,°C
monthly,TREFHT,ssp370,emulator,Sydney,3,360,21.71,3.275,0.751,16.707,26.159,°C
