var,decade,unit,cesm,cesm_se,emulator,emulator_se,difference
TREFHT,2020-2029,K,1.571,0.04,1.632,0.053,0.061
TREFHT,2030-2039,K,2.076,0.044,2.142,0.067,0.066
TREFHT,2040-2049,K,2.587,0.045,2.572,0.049,-0.016
TREFHT,2050-2059,K,3.124,0.031,2.922,0.055,-0.203
TREFHT,2060-2069,K,3.667,0.038,3.386,0.07,-0.281
TREFHT,2070-2079,K,4.163,0.042,3.853,0.048,-0.31
PRECT,2020-2029,%,1.514,0.179,1.447,0.278,-0.067
PRECT,2030-2039,%,2.627,0.166,2.515,0.235,-0.112
PRECT,2040-2049,%,3.581,0.171,3.213,0.326,-0.368
PRECT,2050-2059,%,4.616,0.134,3.649,0.3,-0.967
PRECT,2060-2069,%,5.567,0.144,4.41,0.277,-1.158
PRECT,2070-2079,%,6.394,0.169,5.159,0.355,-1.235
