var,decade,unit,cesm,cesm_se,emulator,emulator_se,difference
TREFHT,2020-2029,K,0.207,0.056,0.261,0.058,0.054
TREFHT,2030-2039,K,0.318,0.059,0.405,0.067,0.087
TREFHT,2040-2049,K,0.463,0.06,0.432,0.06,-0.031
TREFHT,2050-2059,K,0.609,0.055,0.432,0.058,-0.177
TREFHT,2060-2069,K,0.722,0.053,0.437,0.064,-0.285
TREFHT,2070-2079,K,0.785,0.058,0.439,0.055,-0.346
PRECT,2020-2029,mm/day,0.028,0.007,0.018,0.008,-0.01
PRECT,2030-2039,mm/day,0.046,0.007,0.03,0.007,-0.017
PRECT,2040-2049,mm/day,0.059,0.007,0.033,0.009,-0.026
PRECT,2050-2059,mm/day,0.071,0.007,0.034,0.009,-0.037
PRECT,2060-2069,mm/day,0.076,0.006,0.033,0.009,-0.043
PRECT,2070-2079,mm/day,0.08,0.007,0.033,0.009,-0.048
