emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
h,high-extension,H,1850,-0.1591445649245578,-0.0966116636664782,-0.045045674608543,-0.0044100979188685,0.0391414824839537,0.0922611594163254,0.1655812389066238
h,high-extension,H,1851,-0.1639503719030677,-0.0884178396034859,-0.0379649555982677,0.0037117698776323,0.0415830356591603,0.0971934512844373,0.1619710248532194
h,high-extension,H,1852,-0.1504696967441993,-0.0796998228679254,-0.0341307662707433,0.0042794446888423,0.0457741263293403,0.0946812853425111,0.1614294059123995
h,high-extension,H,1853,-0.139977077711135,-0.0745695775648344,-0.0315933554695566,0.0102385171722901,0.0459287527242646,0.103029160527107,0.1766498634621381
h,high-extension,H,1854,-0.1500764402165859,-0.0774251261635598,-0.02681450324843,0.0111656715229889,0.0537697534621195,0.1034420570201366,0.1790878207876285
h,high-extension,H,1855,-0.1418641766556534,-0.069250913152254,-0.0257315979659522,0.0094185411838616,0.0480545360058117,0.0989910069704025,0.1740006163619528
h,high-extension,H,1856,-0.1819058723708704,-0.1080604996229579,-0.059105090428626,-0.014306307949335,0.0216587087463783,0.0732568206312171,0.1595451153717438
h,high-extension,H,1857,-0.1878551003818854,-0.1109762147733654,-0.0573071194651077,-0.0213732354158732,0.0146783847692883,0.064630154714092,0.1494211602050195
h,high-extension,H,1858,-0.1754567300694451,-0.1022219031929642,-0.0533816604816259,-0.0105827736412628,0.0298964703262763,0.0807565036224612,0.1537890650079429
h,high-extension,H,1859,-0.1475549873856965,-0.0808228621773986,-0.0341783958218722,0.0032014476207677,0.0380090449596483,0.0936360861073506,0.1571173709694451
h,high-extension,H,1860,-0.1410982510596383,-0.0768586633229802,-0.0285696691088235,0.0078144728211332,0.0441158433977178,0.0878893560244046,0.1495592420542957
h,high-extension,H,1861,-0.1311126351869009,-0.0661731270892409,-0.0225382194381925,0.0174154893855967,0.0539540721568643,0.1043235008480075,0.1796671167533989
h,high-extension,H,1862,-0.1419614181597497,-0.0753262003183722,-0.0254813338508953,0.0116934094861057,0.0444607003511954,0.0996799294395603,0.1818839470824717
h,high-extension,H,1863,-0.1447235133024294,-0.0765822366863309,-0.0266407251637329,0.0117593482012245,0.0446045406688598,0.0947101140523924,0.166643403757932
h,high-extension,H,1864,-0.2140496214729836,-0.1459698195979798,-0.096243393219333,-0.057586752686715,-0.0204774626275368,0.0278441525739546,0.0988426717878303
h,high-extension,H,1865,-0.223989748502901,-0.1506871941930323,-0.104678923902469,-0.0691018817900491,-0.0329276568628157,0.0128296098695572,0.0790388251852211
h,high-extension,H,1866,-0.1883510979084462,-0.1181291985764945,-0.0754757781016428,-0.0372520321058655,-0.0011736197962769,0.0514305580564466,0.1097687200384634
h,high-extension,H,1867,-0.1719867157793503,-0.1063118274895884,-0.0516972589069577,-0.0102464800613408,0.027462834969306,0.0751599289987365,0.1494429092965353
h,high-extension,H,1868,-0.1481940397590392,-0.0791522153694589,-0.0386518637824962,0.0002465459269419,0.0332439579238111,0.0860431422202371,0.1524597372308364
h,high-extension,H,1869,-0.1480526809649643,-0.0752193806062555,-0.0286270560623534,0.0077796370041857,0.0402447695847118,0.0912955163282364,0.1718348424624288
h,high-extension,H,1870,-0.1372488775945347,-0.0714694346311395,-0.0272904007366666,0.0117961980501003,0.0481035250798659,0.099791731244833,0.1679761268152112
h,high-extension,H,1871,-0.1394341909993841,-0.0722321227273724,-0.0209554938208659,0.0147364632684982,0.0506590171886158,0.1006814290423434,0.1647600110293603
