emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
h,high-extension,H,1850,-0.1563425885930259,-0.0981637490269196,-0.0449180980861085,0.0003670215249079,0.0366743917270726,0.0857220785923966,0.1654401205024972
h,high-extension,H,1851,-0.1685060073729269,-0.0906163158825125,-0.0375168890327194,-0.0004406009210319,0.0352054165454324,0.0899017883080514,0.1557041651207464
h,high-extension,H,1852,-0.1600803825357097,-0.0849922092021868,-0.0410585390504006,-0.0046047963973319,0.034259575824298,0.084557406948603,0.1480299709572586
h,high-extension,H,1853,-0.1548852036771875,-0.0880479870518304,-0.0473195679574883,-0.0077483772868524,0.0286913991284137,0.0837832656493942,0.1655810463470745
h,high-extension,H,1854,-0.1630482583039724,-0.0960034475597289,-0.0521925700132662,-0.0079713750835521,0.0312107094495551,0.07973379258713,0.1541726436064292
h,high-extension,H,1855,-0.16497747533612,-0.0893720384510616,-0.0460582823609345,-0.0110908674504435,0.0249587205055815,0.0726465115134594,0.1561737483884719
h,high-extension,H,1856,-0.173650785388802,-0.0951012688215529,-0.0469909246381976,-0.0059507548110433,0.0302156531639591,0.0766366475222953,0.1603976366777909
h,high-extension,H,1857,-0.1723385543635968,-0.0905229326922086,-0.0425381126547632,-0.0036288343788527,0.0278115284419617,0.0834977207745499,0.1597737121074728
h,high-extension,H,1858,-0.1704393776080266,-0.0995675872977641,-0.0478769656049428,-0.0027881667330829,0.0326579737450755,0.0864170034497945,0.1551723756992311
h,high-extension,H,1859,-0.1620585572869984,-0.0872719721660682,-0.0396566935711412,-0.0046731402739687,0.0315569296196436,0.0886852752132613,0.1431868456781761
h,high-extension,H,1860,-0.1525043065674224,-0.0892919523210545,-0.0430038483907071,-0.0070818788943218,0.0267266953131381,0.073879533927842,0.1318175030103012
h,high-extension,H,1861,-0.1575206676382047,-0.0865025504975681,-0.0415486386517154,-0.0043200334995266,0.0302290579411023,0.0847780250514146,0.1556210543964136
h,high-extension,H,1862,-0.1589555214047406,-0.0937575984731215,-0.0394049910945142,-0.0043094874194147,0.0294523341860345,0.0859989944241519,0.1633473277445696
h,high-extension,H,1863,-0.1534568019160287,-0.0860410910338462,-0.037684673633718,-0.0009268354955688,0.0307525666108173,0.0772813783242722,0.1514199545999005
h,high-extension,H,1864,-0.1557047962431048,-0.0898081174001328,-0.0433893333844705,-0.0074333104687555,0.0276532358007105,0.078026186833523,0.1471933292708035
h,high-extension,H,1865,-0.1553082136372708,-0.0864164479528142,-0.0388707259949982,-0.0023116322123547,0.0273294293694185,0.0802039631979349,0.1472717990112292
h,high-extension,H,1866,-0.1441176707600965,-0.0794754257084553,-0.0350324673700675,0.0033829294736624,0.0377048867829111,0.0921092175853045,0.1522497048360481
h,high-extension,H,1867,-0.1546779003154625,-0.0913025548129229,-0.0350431712562149,0.0019003304224221,0.0416245258088677,0.0875420367956108,0.1657118459763251
h,high-extension,H,1868,-0.1550316231524724,-0.0840403096496511,-0.0402522907107098,-0.0033004931258559,0.0306550024866102,0.0835552758059666,0.1518968569615575
h,high-extension,H,1869,-0.1576527679781612,-0.0868679819635365,-0.0410769360229515,-0.0019940962103202,0.0299284180364808,0.0811203446032646,0.1549402587430002
h,high-extension,H,1870,-0.1611335741952024,-0.0912160262113,-0.0462577467430255,-0.005212373578054,0.0304417408694879,0.0789016378837544,0.1461585343333578
h,high-extension,H,1871,-0.1709013227786899,-0.0954391307259203,-0.0455618339142954,-0.0094515765196921,0.03008653747605,0.0772704955438638,0.1398648227130082
h,high-extension,H,1872,-0.1503160696440305,-0.0954346284173526,-0.0444095411260373,-0.0052558755121747,0.0329146973682985,0.0832522649698171,0.142383000580766
h,high-extension,H,1873,-0.1469914916555851,-0.0889272499127976,-0.0421986483816207,-0.0061257245864847,0.0266838409783326,0.078189712338224,0.145116321097147
h,high-extension,H,1874,-0.1471393725890461,-0.0902757168838037,-0.0392156847058236,-0.0026261896527645,0.0356242049777059,0.0824790052538611,0.151733698750443
h,high-extension,H,1875,-0.1622506771865357,-0.0905520995607947,-0.0450039057037437,-0.0002274262607593,0.0380959962699368,0.0876096556677103,0.1544853061880222
h,high-extension,H,1876,-0.1503635262602347,-0.084856330075332,-0.0341681706838653,-0.0001700215459381,0.0382004691742232,0.0827609507848567,0.1427401808450655
h,high-extension,H,1877,-0.1596816889971977,-0.0857937535623858,-0.0327127870506074,0.0041690226952894,0.0382691077838439,0.0833304863932906,0.1453028577189263
h,high-extension,H,1878,-0.1586026723909687,-0.0854645207748958,-0.0379829806951335,0.0060544847130797,0.0457182859388676,0.0913424379519519,0.166556734493641
