scenario,short,year,p5,p17,p33,p50,p66,p83,p95
high-extension,H,1750.0,-0.06145554960093431,-0.034896936429715926,-0.018295214815376288,-0.004735450602732081,0.008157523048063121,0.024785230425128757,0.05045641587145824
high-extension,H,1751.0,-0.15904593886645593,-0.08638050104720064,-0.03792366162985971,-0.0027074510361946766,0.0316489797751062,0.08142343031519357,0.13970833444537217
high-extension,H,1752.0,-0.1533898106141891,-0.09045333607540806,-0.041061890985091186,-0.0009228712446998771,0.034759051500551204,0.08100468613305602,0.1514587535390954
high-extension,H,1753.0,-0.16835356392889628,-0.09670172115908685,-0.044498700446575355,-0.0040056357320740685,0.033848677960243004,0.08860005916645886,0.18613710176771456
high-extension,H,1754.0,-0.18001564670242545,-0.09575429513257218,-0.038896384817036056,0.0033262003761826836,0.04078257495811429,0.09466535798177106,0.1725134370609597
high-extension,H,1755.0,-0.16364956013535253,-0.09867734072900976,-0.04179829264502712,0.0011996850504047097,0.040269694075443105,0.090899763013993,0.16836830473213993
high-extension,H,1756.0,-0.1798300764109753,-0.101721653974393,-0.051609266285972774,-0.005695314432520873,0.03460735335734901,0.0915324384426881,0.16671978546470356
high-extension,H,1757.0,-0.15912826416225867,-0.09637184485699515,-0.04538899523805821,0.001752553550912573,0.04104506795034364,0.0876625105340148,0.1597841510094535
high-extension,H,1758.0,-0.17011631888677625,-0.09248601470311703,-0.041856099040776806,0.002149150412867812,0.0404270284392947,0.09497744914681597,0.1841938083774722
high-extension,H,1759.0,-0.1659565880418652,-0.0897365441720844,-0.044798814653763175,-0.004375310319709199,0.038580803487971715,0.09436902425637243,0.16229025395931038
high-extension,H,1760.0,-0.17712075954100562,-0.09479387760452886,-0.042589008903893104,0.0007556718918060347,0.03736697854847021,0.09132940273818344,0.1638187113428119
high-extension,H,1761.0,-0.1690423866951435,-0.09135249307807809,-0.042162855371239885,-0.004991990673789252,0.030463852937201354,0.08511191142355248,0.16148380668877835
high-extension,H,1762.0,-0.18582663676078265,-0.10964968350587236,-0.0521636871696915,-0.009570963130130585,0.03694544129006859,0.09075940213748404,0.15126730423966406
high-extension,H,1763.0,-0.17815967973899896,-0.09710714058201259,-0.04900012018218945,-0.0019063999422822032,0.03922906995805869,0.09393812520454196,0.1863803134317173
high-extension,H,1764.0,-0.17414958964150842,-0.09154655660136048,-0.03795049078163298,0.0029275577205000597,0.034853609952490414,0.08719027910570572,0.18206571278915082
high-extension,H,1765.0,-0.17492790123999472,-0.10062197440230733,-0.04092070716924046,-0.001830520920383355,0.03162856452684089,0.09001062780502637,0.1623686953750424
high-extension,H,1766.0,-0.1921122562520786,-0.10962218161102198,-0.05241029210380821,-0.011584922124776374,0.026706993956415705,0.08922558136144268,0.16357451265433606
high-extension,H,1767.0,-0.16748155972294435,-0.09915360847661797,-0.049434991060672784,-0.0071101101078690915,0.02736543289647952,0.09091395963419631,0.17052183893078676
high-extension,H,1768.0,-0.1836421917455269,-0.10286057883944671,-0.052684201393541574,-0.010209359212417161,0.035904762100147446,0.09671755873145882,0.16617218411805357
high-extension,H,1769.0,-0.18622480942423317,-0.11003800161240855,-0.05661117313655334,-0.008357672572085854,0.03601753262841657,0.09061008444473975,0.17020376603422174
high-extension,H,1770.0,-0.1727725909662366,-0.09706292315745534,-0.04904214133297597,-0.008544388663803915,0.03366648927705902,0.08500546998015766,0.1779163518710351
high-extension,H,1771.0,-0.18500680679680054,-0.10345697033871198,-0.04971437039618109,-0.0059623797146969235,0.03609509533527642,0.09420216729079148,0.17284904149143504
high-extension,H,1772.0,-0.17051911980637874,-0.09274906927603242,-0.04411409129878027,-0.0017928873619980912,0.03390214558673654,0.08219882440158728,0.1610346942745144
